trigger_time,trigger_date,source_file,symbol_code,symbol_name_raw,signal_group,buy_decision,signal_tier,buy_score,probability_value,expected_return_t1_pct,entry_date,entry_price,t1_close,t3_close,t5_close,t1_return_pct,t3_return_pct,t5_return_pct,max_gain_pct,max_loss_pct,max_drawdown_pct,weekly_trend_score,relative_strength_score,daily_entry_score,catalyst_score,capital_flow_score,technical_score,market_regime_score,tradeability_score,risk_reward_score,data_quality_score,ma20_deviation_pct,prev_day_gain_pct,flow_data_available,primary_catalyst,consensus_score,future_evidence_count,tier_confidence,recommended_position_size_pct,strategy,_eval_error
2026-08-08 20:19:46,20260808,2026-08-08_20-19-46.json,600519,贵州茅台,buy_passed,buy,,78.2,0.72,1.15,20260810,1325.0,1346.5,1355.29,,1.6226,2.286,,2.6113,0.0,0.0,,,,,,,,,,,,,,,,,,,,
2026-08-08 20:19:46,20260808,2026-08-08_20-19-46.json,600519,,research,,,,,,20260810,1325.0,1346.5,1355.29,,1.6226,2.286,,2.6113,0.0,0.0,,,,,,,,,,,,,,,,,,,,
2026-08-08 20:19:46,20260808,2026-08-08_20-19-46.json,600519,,consensus,,,,,,20260810,1325.0,1346.5,1355.29,,1.6226,2.286,,2.6113,0.0,0.0,,,,,,,,,,,,,,,,,,,,
2026-08-08 20:20:46,20260808,2026-08-08_20-20-46.json,300502,新易盛,watch,watch,,96.73,0.5636,0.632,20260810,420.06,415.3,429.9,,-1.1332,2.3425,,7.8132,-5.0421,-5.0421,,,,,,,,,,,,,,,,,,,,
2026-08-08 20:20:46,20260808,2026-08-08_20-20-46.json,300502,,research,,,,,,20260810,420.06,415.3,429.9,,-1.1332,2.3425,,7.8132,-5.0421,-5.0421,,,,,,,,,,,,,,,,,,,,
2026-08-11 22:45:36,20260811,2026-08-11_22-45-36.json,601138,工业富联,watch,watch,,100.0,0.674,2.088,20260812,66.46,65.23,,,-1.8507,,,2.4376,-2.4977,-2.4977,100.0,58.91,82.0,66.8,30.0,62.36,77.0,68.0,52.66,70.0,8.4,-4.58,True,False,10.0,0.0,,,,
2026-08-11 22:45:36,20260811,2026-08-11_22-45-36.json,600938,中国海油,watch,watch,,100.0,0.7384,1.796,20260812,33.53,32.63,,,-2.6842,,,0.0,-4.8613,-4.8613,46.0,79.9,74.0,60.0,30.0,55.84,77.0,68.0,61.54,70.0,7.1,5.31,True,False,10.0,0.0,,,,
2026-08-11 22:45:36,20260811,2026-08-11_22-45-36.json,300274,阳光电源,watch,watch,,96.95,0.6559,1.138,20260812,120.9,118.13,,,-2.2911,,,0.976,-3.8875,-3.8875,0.0,59.67,82.0,59.24,60.0,57.0,77.0,65.0,46.54,70.0,10.2,5.59,True,False,10.0,0.0,,,,
2026-08-11 22:45:36,20260811,2026-08-11_22-45-36.json,301308,江波龙,watch,watch,,96.03,0.6648,1.051,20260812,418.05,397.0,,,-5.0353,,,1.8251,-5.0377,-5.0377,54.0,0.0,82.0,75.26,30.0,56.92,77.0,68.0,50.49,70.0,9.8,1.21,True,True,10.0,0.0,,,,
2026-08-11 22:45:36,20260811,2026-08-11_22-45-36.json,002384,东山精密,watch,watch,,90.65,0.6481,0.401,20260812,194.06,202.11,,,4.1482,,,9.966,0.0,0.0,54.0,0.0,50.0,60.0,40.0,33.4,77.0,68.0,55.22,70.0,-4.4,4.26,True,False,10.0,0.0,,,,
2026-08-11 22:45:36,20260811,2026-08-11_22-45-36.json,601138,工业富联,research,,,,,,20260812,66.46,65.23,,,-1.8507,,,2.4376,-2.4977,-2.4977,100.0,58.91,82.0,,,,,,,,8.4,-4.58,,,,,,,,
2026-08-11 22:45:36,20260811,2026-08-11_22-45-36.json,301308,江波龙,research,,,,,,20260812,418.05,397.0,,,-5.0353,,,1.8251,-5.0377,-5.0377,54.0,0.0,82.0,,,,,,,,9.8,1.21,,,,,,,,
2026-08-11 22:45:36,20260811,2026-08-11_22-45-36.json,300274,阳光电源,research,,,,,,20260812,120.9,118.13,,,-2.2911,,,0.976,-3.8875,-3.8875,0.0,59.67,82.0,,,,,,,,10.2,5.59,,,,,,,,
2026-08-11 22:45:36,20260811,2026-08-11_22-45-36.json,300502,新易盛,research,,,,,,20260812,410.01,429.9,,,4.8511,,,10.4558,0.0,0.0,54.0,2.15,34.0,,,,,,,,-9.1,3.93,,,,,,,,
2026-08-11 22:45:36,20260811,2026-08-11_22-45-36.json,002384,东山精密,research,,,,,,20260812,194.06,202.11,,,4.1482,,,9.966,0.0,0.0,54.0,0.0,50.0,,,,,,,,-4.4,4.26,,,,,,,,
2026-08-11 22:45:36,20260811,2026-08-11_22-45-36.json,300308,中际旭创,research,,,,,,20260812,880.13,921.04,,,4.6482,,,9.7633,0.0,0.0,54.0,0.0,34.0,,,,,,,,-10.3,2.59,,,,,,,,
2026-08-11 22:45:36,20260811,2026-08-11_22-45-36.json,600938,中国海油,research,,,,,,20260812,33.53,32.63,,,-2.6842,,,0.0,-4.8613,-4.8613,46.0,79.9,74.0,,,,,,,,7.1,5.31,,,,,,,,
2026-08-11 22:45:36,20260811,2026-08-11_22-45-36.json,301308,江波龙,consensus,,,,,,20260812,418.05,397.0,,,-5.0353,,,1.8251,-5.0377,-5.0377,54.0,0.0,82.0,,,,,,,,9.8,1.21,,,,,,,,
2026-08-11 22:45:36,20260811,2026-08-11_22-45-36.json,300274,阳光电源,consensus,,,,,,20260812,120.9,118.13,,,-2.2911,,,0.976,-3.8875,-3.8875,0.0,59.67,82.0,,,,,,,,10.2,5.59,,,,,,,,
2026-08-11 22:45:36,20260811,2026-08-11_22-45-36.json,601138,工业富联,consensus,,,,,,20260812,66.46,65.23,,,-1.8507,,,2.4376,-2.4977,-2.4977,100.0,58.91,82.0,,,,,,,,8.4,-4.58,,,,,,,,
2026-08-11 22:45:36,20260811,2026-08-11_22-45-36.json,300308,中际旭创,consensus,,,,,,20260812,880.13,921.04,,,4.6482,,,9.7633,0.0,0.0,54.0,0.0,34.0,,,,,,,,-10.3,2.59,,,,,,,,
2026-08-11 22:45:36,20260811,2026-08-11_22-45-36.json,002384,东山精密,consensus,,,,,,20260812,194.06,202.11,,,4.1482,,,9.966,0.0,0.0,54.0,0.0,50.0,,,,,,,,-4.4,4.26,,,,,,,,
2026-08-11 22:45:36,20260811,2026-08-11_22-45-36.json,600938,中国海油,consensus,,,,,,20260812,33.53,32.63,,,-2.6842,,,0.0,-4.8613,-4.8613,46.0,79.9,74.0,,,,,,,,7.1,5.31,,,,,,,,
2026-08-11 22:45:36,20260811,2026-08-11_22-45-36.json,300502,新易盛,consensus,,,,,,20260812,410.01,429.9,,,4.8511,,,10.4558,0.0,0.0,54.0,2.15,34.0,,,,,,,,-9.1,3.93,,,,,,,,
2026-08-12 15:54:46,20260812,2026-08-12_15-54-46.json,600667,太极实业,watch,watch,,98.0,0.628,2.405,20260813,22.8,22.95,,,0.6579,,,5.9211,-0.8333,-0.8333,100.0,100.0,82.0,68.0,46.0,57.0,69.0,68.0,53.52,65.0,27.2,7.12,False,False,10.0,0.0,,,,
2026-08-12 15:54:46,20260812,2026-08-12_15-54-46.json,600667,太极实业,research,,,,,,20260813,22.8,22.95,,,0.6579,,,5.9211,-0.8333,-0.8333,100.0,100.0,82.0,,,,,,,,27.2,7.12,,,,,,,,
2026-08-12 15:54:46,20260812,2026-08-12_15-54-46.json,600667,太极实业,consensus,,,,,,20260813,22.8,22.95,,,0.6579,,,5.9211,-0.8333,-0.8333,100.0,100.0,82.0,,,,,,,,27.2,7.12,,,,,,,,
