fold,train_start,train_end,test_start,test_end,factor,train_n,test_n,train_ic,test_ic,train_top_quartile_avg,test_top_quartile_avg
1,20260808,20260808,20260811,20260812,buy_score,5,22,,-0.6291,,
1,20260808,20260808,20260811,20260812,probability_value,5,22,,-0.4387,,
1,20260808,20260808,20260811,20260812,weekly_trend_score,5,22,,0.1175,,-0.5964
1,20260808,20260808,20260811,20260812,relative_strength_score,5,22,,-0.3595,,-1.0132
1,20260808,20260808,20260811,20260812,daily_entry_score,5,22,,-0.8709,,-2.1298
1,20260808,20260808,20260811,20260812,catalyst_score,5,22,,-0.4762,,
1,20260808,20260808,20260811,20260812,capital_flow_score,5,22,,0.2551,,
1,20260808,20260808,20260811,20260812,market_regime_score,5,22,,-0.2825,,
1,20260808,20260808,20260811,20260812,risk_reward_score,5,22,,0.2134,,
1,20260808,20260808,20260811,20260812,tradeability_score,5,22,,0.1718,,
1,20260808,20260808,20260811,20260812,data_quality_score,5,22,,-0.2825,,
1,20260808,20260808,20260811,20260812,ma20_deviation_pct,5,22,,-0.5737,,-0.8166
1,20260808,20260808,20260811,20260812,prev_day_gain_pct,5,22,,0.2293,,-0.8166
