symbol_code,symbol_name,factor_date,factor_value,metadata_json
301717,超纯应材,20260811,738000000.0,"{""change_pct"": 662.24, ""price"": 503.0, ""super_large_net"": 0.0, ""main_pct"": 0.0}"
688828,国仪公司,20260811,-13147500.0,"{""change_pct"": 419.46, ""price"": 110.23, ""super_large_net"": 0.0, ""main_pct"": 0.0}"
301520,万邦医药,20260811,-5732100.0,"{""change_pct"": 20.0, ""price"": 70.39, ""super_large_net"": 0.0, ""main_pct"": 0.0}"
301529,福赛科技,20260811,10077000.0,"{""change_pct"": 20.0, ""price"": 96.16, ""super_large_net"": 0.0, ""main_pct"": 0.0}"
301550,斯菱智驱,20260811,168000000.0,"{""change_pct"": 20.0, ""price"": 87.42, ""super_large_net"": 0.0, ""main_pct"": 0.0}"
300426,华智数媒,20260811,41712400.0,"{""change_pct"": 20.0, ""price"": 7.8, ""super_large_net"": 0.0, ""main_pct"": 0.0}"
300862,蓝盾光电,20260811,-17084900.0,"{""change_pct"": 19.99, ""price"": 27.37, ""super_large_net"": 0.0, ""main_pct"": 0.0}"
301209,联合化学,20260811,57744100.0,"{""change_pct"": 15.04, ""price"": 58.74, ""super_large_net"": 0.0, ""main_pct"": 0.0}"
300158,振东制药,20260811,152000000.0,"{""change_pct"": 14.26, ""price"": 6.01, ""super_large_net"": 0.0, ""main_pct"": 0.0}"
301566,达利凯普,20260811,-133000000.0,"{""change_pct"": 13.21, ""price"": 28.19, ""super_large_net"": 0.0, ""main_pct"": 0.0}"
300693,盛弘股份,20260811,192000000.0,"{""change_pct"": 12.92, ""price"": 43.87, ""super_large_net"": 0.0, ""main_pct"": 0.0}"
301596,瑞迪智驱,20260811,59370300.0,"{""change_pct"": 11.88, ""price"": 54.71, ""super_large_net"": 0.0, ""main_pct"": 0.0}"
300461,田中精机,20260811,34225100.0,"{""change_pct"": 10.92, ""price"": 35.36, ""super_large_net"": 0.0, ""main_pct"": 0.0}"
301008,宏昌科技,20260811,89526800.0,"{""change_pct"": 10.84, ""price"": 42.45, ""super_large_net"": 0.0, ""main_pct"": 0.0}"
301119,正强股份,20260811,-4861800.0,"{""change_pct"": 10.39, ""price"": 23.48, ""super_large_net"": 0.0, ""main_pct"": 0.0}"
300161,华中数控,20260811,21018200.0,"{""change_pct"": 10.32, ""price"": 31.63, ""super_large_net"": 0.0, ""main_pct"": 0.0}"
300886,华业香料,20260811,13154700.0,"{""change_pct"": 10.24, ""price"": 26.06, ""super_large_net"": 0.0, ""main_pct"": 0.0}"
002721,金一文化,20260811,-389000000.0,"{""change_pct"": 10.11, ""price"": 3.05, ""super_large_net"": 0.0, ""main_pct"": 0.0}"
600611,大众交通,20260811,-199000000.0,"{""change_pct"": 10.09, ""price"": 5.02, ""super_large_net"": 0.0, ""main_pct"": 0.0}"
002329,皇氏集团,20260811,-85285200.0,"{""change_pct"": 10.09, ""price"": 3.82, ""super_large_net"": 0.0, ""main_pct"": 0.0}"
002248,华东数控,20260811,-137000000.0,"{""change_pct"": 10.05, ""price"": 11.06, ""super_large_net"": 0.0, ""main_pct"": 0.0}"
002585,双星新材,20260811,-411000000.00000006,"{""change_pct"": 10.04, ""price"": 10.52, ""super_large_net"": 0.0, ""main_pct"": 0.0}"
000779,甘咨询,20260811,-5073500.0,"{""change_pct"": 10.03, ""price"": 12.73, ""super_large_net"": 0.0, ""main_pct"": 0.0}"
002715,登云股份,20260811,-25286300.0,"{""change_pct"": 10.03, ""price"": 15.03, ""super_large_net"": 0.0, ""main_pct"": 0.0}"
002762,金发拉比,20260811,9439600.0,"{""change_pct"": 10.03, ""price"": 10.31, ""super_large_net"": 0.0, ""main_pct"": 0.0}"
002229,鸿博股份,20260811,-111000000.00000001,"{""change_pct"": 10.03, ""price"": 11.74, ""super_large_net"": 0.0, ""main_pct"": 0.0}"
002963,豪尔赛,20260811,-14957900.0,"{""change_pct"": 10.02, ""price"": 20.09, ""super_large_net"": 0.0, ""main_pct"": 0.0}"
603887,城地香江,20260811,-91965700.0,"{""change_pct"": 10.02, ""price"": 10.32, ""super_large_net"": 0.0, ""main_pct"": 0.0}"
603797,联泰环保,20260811,-56485400.0,"{""change_pct"": 10.02, ""price"": 5.05, ""super_large_net"": 0.0, ""main_pct"": 0.0}"
600667,太极实业,20260811,-282000000.0,"{""change_pct"": 10.02, ""price"": 21.2, ""super_large_net"": 0.0, ""main_pct"": 0.0}"
600272,开开实业,20260811,-200000000.0,"{""change_pct"": 10.02, ""price"": 15.7, ""super_large_net"": 0.0, ""main_pct"": 0.0}"
002235,安妮股份,20260811,348000.0,"{""change_pct"": 10.02, ""price"": 9.55, ""super_large_net"": 0.0, ""main_pct"": 0.0}"
603137,恒尚节能,20260811,-120000000.0,"{""change_pct"": 10.01, ""price"": 30.34, ""super_large_net"": 0.0, ""main_pct"": 0.0}"
001258,立新能源,20260811,-250000000.0,"{""change_pct"": 10.01, ""price"": 15.93, ""super_large_net"": 0.0, ""main_pct"": 0.0}"
600721,百花医药,20260811,-518000000.0,"{""change_pct"": 10.01, ""price"": 12.75, ""super_large_net"": 0.0, ""main_pct"": 0.0}"
603179,新泉股份,20260811,227000000.0,"{""change_pct"": 10.01, ""price"": 41.66, ""super_large_net"": 0.0, ""main_pct"": 0.0}"
603106,恒银科技,20260811,-23899300.0,"{""change_pct"": 10.01, ""price"": 9.34, ""super_large_net"": 0.0, ""main_pct"": 0.0}"
000802,北京文化,20260811,-254000000.0,"{""change_pct"": 10.0, ""price"": 5.17, ""super_large_net"": 0.0, ""main_pct"": 0.0}"
603284,林平发展,20260811,25698000.0,"{""change_pct"": 10.0, ""price"": 44.44, ""super_large_net"": 0.0, ""main_pct"": 0.0}"
603897,长城科技,20260811,10161100.0,"{""change_pct"": 10.0, ""price"": 29.14, ""super_large_net"": 0.0, ""main_pct"": 0.0}"
603823,百合花,20260811,108000000.0,"{""change_pct"": 10.0, ""price"": 75.22, ""super_large_net"": 0.0, ""main_pct"": 0.0}"
603009,北特科技,20260811,31461300.0,"{""change_pct"": 10.0, ""price"": 44.0, ""super_large_net"": 0.0, ""main_pct"": 0.0}"
600881,亚泰集团,20260811,52126700.0,"{""change_pct"": 10.0, ""price"": 1.87, ""super_large_net"": 0.0, ""main_pct"": 0.0}"
600162,香江控股,20260811,20421800.0,"{""change_pct"": 10.0, ""price"": 4.29, ""super_large_net"": 0.0, ""main_pct"": 0.0}"
600126,杭钢股份,20260811,-49535200.00000001,"{""change_pct"": 10.0, ""price"": 7.37, ""super_large_net"": 0.0, ""main_pct"": 0.0}"
603087,甘李药业,20260811,-173000000.0,"{""change_pct"": 10.0, ""price"": 74.47, ""super_large_net"": 0.0, ""main_pct"": 0.0}"
002859,洁美科技,20260811,-520000000.0,"{""change_pct"": 10.0, ""price"": 81.32, ""super_large_net"": 0.0, ""main_pct"": 0.0}"
002194,武汉凡谷,20260811,-103000000.0,"{""change_pct"": 10.0, ""price"": 11.0, ""super_large_net"": 0.0, ""main_pct"": 0.0}"
605286,同力天启,20260811,-10982600.0,"{""change_pct"": 10.0, ""price"": 28.17, ""super_large_net"": 0.0, ""main_pct"": 0.0}"
600683,京投发展,20260811,-90531700.0,"{""change_pct"": 9.99, ""price"": 10.68, ""super_large_net"": 0.0, ""main_pct"": 0.0}"
688449,联芸科技,20260811,183000000.0,"{""change_pct"": 9.99, ""price"": 63.63, ""super_large_net"": 0.0, ""main_pct"": 0.0}"
605179,一鸣食品,20260811,-163000000.0,"{""change_pct"": 9.99, ""price"": 27.63, ""super_large_net"": 0.0, ""main_pct"": 0.0}"
605288,凯迪股份,20260811,35781600.0,"{""change_pct"": 9.99, ""price"": 63.39, ""super_large_net"": 0.0, ""main_pct"": 0.0}"
603655,朗博科技,20260811,-1845700.0,"{""change_pct"": 9.99, ""price"": 33.79, ""super_large_net"": 0.0, ""main_pct"": 0.0}"
600833,第一医药,20260811,-94522700.0,"{""change_pct"": 9.99, ""price"": 12.11, ""super_large_net"": 0.0, ""main_pct"": 0.0}"
002246,北化股份,20260811,18925800.0,"{""change_pct"": 9.99, ""price"": 22.47, ""super_large_net"": 0.0, ""main_pct"": 0.0}"
600863,华能蒙电,20260811,-200000000.0,"{""change_pct"": 9.98, ""price"": 5.18, ""super_large_net"": 0.0, ""main_pct"": 0.0}"
