symbol_code,symbol_name,factor_date,factor_value,metadata_json
510050,50ETF,20260820,59234973.0,"{""rz_balance"": 1526030223.0, ""rz_buy"": 202648302.0, ""rz_repay"": 143413329.0, ""rq_balance"": 36651740.0}"
510100,SZ50ETF,20260820,835617.0,"{""rz_balance"": 24111681.0, ""rz_buy"": 5790581.0, ""rz_repay"": 4954964.0, ""rq_balance"": 0.0}"
510150,消费ETF,20260820,-285984.0,"{""rz_balance"": 27324037.0, ""rz_buy"": 2052178.0, ""rz_repay"": 2338162.0, ""rq_balance"": 0.0}"
510170,商品ETF,20260820,61252.0,"{""rz_balance"": 1370600.0, ""rz_buy"": 1243884.0, ""rz_repay"": 1182632.0, ""rq_balance"": 0.0}"
510180,180ETF,20260820,284459.0,"{""rz_balance"": 80555677.0, ""rz_buy"": 2250951.0, ""rz_repay"": 1966492.0, ""rq_balance"": 580900.0}"
510210,综指ETF,20260820,-30098704.0,"{""rz_balance"": 215944489.0, ""rz_buy"": 76119047.0, ""rz_repay"": 106217751.0, ""rq_balance"": 0.0}"
510230,金融ETF,20260820,1542891.0,"{""rz_balance"": 20658622.0, ""rz_buy"": 6700958.0, ""rz_repay"": 5158067.0, ""rq_balance"": 0.0}"
510300,300ETF,20260820,-237410551.0,"{""rz_balance"": 2878926971.0, ""rz_buy"": 163214604.0, ""rz_repay"": 400625155.0, ""rq_balance"": 50434312.0}"
510310,HS300ETF,20260820,923600.0,"{""rz_balance"": 276183049.0, ""rz_buy"": 14115156.0, ""rz_repay"": 13191556.0, ""rq_balance"": 1688400.0}"
510320,300中金,20260820,-5856.0,"{""rz_balance"": 1517356.0, ""rz_buy"": 374.0, ""rz_repay"": 6230.0, ""rq_balance"": 0.0}"
510330,华夏300,20260820,-6085102.0,"{""rz_balance"": 76566166.0, ""rz_buy"": 8736859.0, ""rz_repay"": 14821961.0, ""rq_balance"": 1545100.0}"
510350,工银300,20260820,-34210.0,"{""rz_balance"": 1402263.0, ""rz_buy"": 33975.0, ""rz_repay"": 68185.0, ""rq_balance"": 0.0}"
510360,广发300,20260820,839433.0,"{""rz_balance"": 10406939.0, ""rz_buy"": 1457150.0, ""rz_repay"": 617717.0, ""rq_balance"": 0.0}"
510410,资源ETF,20260820,636985.0,"{""rz_balance"": 5195210.0, ""rz_buy"": 2411994.0, ""rz_repay"": 1775009.0, ""rq_balance"": 0.0}"
510500,500ETF,20260820,-177963469.0,"{""rz_balance"": 1045835214.0, ""rz_buy"": 181847951.0, ""rz_repay"": 359811420.0, ""rq_balance"": 300049223.0}"
510510,广发500,20260820,1288075.0,"{""rz_balance"": 8277930.0, ""rz_buy"": 2228525.0, ""rz_repay"": 940450.0, ""rq_balance"": 247400.0}"
510580,ZZ500ETF,20260820,-1466536.0,"{""rz_balance"": 12755943.0, ""rz_buy"": 3990931.0, ""rz_repay"": 5457467.0, ""rq_balance"": 0.0}"
510720,红利国泰,20260820,-332427.0,"{""rz_balance"": 12962731.0, ""rz_buy"": 8732048.0, ""rz_repay"": 9064475.0, ""rq_balance"": 260700.0}"
510760,上证ETF,20260820,-1589338.0,"{""rz_balance"": 112055224.0, ""rz_buy"": 17433527.0, ""rz_repay"": 19022865.0, ""rq_balance"": 0.0}"
510880,红利ETF,20260820,-17773507.0,"{""rz_balance"": 79139382.0, ""rz_buy"": 15660032.0, ""rz_repay"": 33433539.0, ""rq_balance"": 707400.0}"
510900,恒生中国,20260820,-3330712.0,"{""rz_balance"": 1539382274.0, ""rz_buy"": 15987786.0, ""rz_repay"": 19318498.0, ""rq_balance"": 0.0}"
510980,上证综合,20260820,9610.0,"{""rz_balance"": 27078205.0, ""rz_buy"": 5955834.0, ""rz_repay"": 5946224.0, ""rq_balance"": 0.0}"
511010,国债ETF,20260820,1361499.0,"{""rz_balance"": 47798500.0, ""rz_buy"": 15083010.0, ""rz_repay"": 13721511.0, ""rq_balance"": 0.0}"
511020,活跃国债,20260820,0.0,"{""rz_balance"": 129756.0, ""rz_buy"": 47272426.0, ""rz_repay"": 47272426.0, ""rq_balance"": 0.0}"
511030,公司债,20260820,-21617.0,"{""rz_balance"": 4694196.0, ""rz_buy"": 11403196.0, ""rz_repay"": 11424813.0, ""rq_balance"": 0.0}"
511090,30年国债,20260820,17687240.0,"{""rz_balance"": 539867195.0, ""rz_buy"": 350901253.0, ""rz_repay"": 333214013.0, ""rq_balance"": 0.0}"
511130,国债30年,20260820,3441546.0,"{""rz_balance"": 253353518.0, ""rz_buy"": 309829668.0, ""rz_repay"": 306388122.0, ""rq_balance"": 0.0}"
511160,国债东财,20260820,0.0,"{""rz_balance"": 10224.0, ""rz_buy"": 449020.0, ""rz_repay"": 449020.0, ""rq_balance"": 0.0}"
511180,上证转债,20260820,467135.0,"{""rz_balance"": 32321373.0, ""rz_buy"": 29961642.0, ""rz_repay"": 29494507.0, ""rq_balance"": 0.0}"
511220,城投ETF,20260820,3199279.0,"{""rz_balance"": 246507589.0, ""rz_buy"": 143194262.0, ""rz_repay"": 139994983.0, ""rq_balance"": 0.0}"
511260,十年国债,20260820,-1338286.0,"{""rz_balance"": 252573024.0, ""rz_buy"": 56179052.0, ""rz_repay"": 57517338.0, ""rq_balance"": 0.0}"
511270,10年地债,20260820,-326677.0,"{""rz_balance"": 196997.0, ""rz_buy"": 11529150.0, ""rz_repay"": 11855827.0, ""rq_balance"": 0.0}"
511360,短融ETF,20260820,-614368519.0,"{""rz_balance"": 1960644621.0, ""rz_buy"": 5362305459.0, ""rz_repay"": 5976673978.0, ""rq_balance"": 0.0}"
511380,转债ETF,20260820,59998984.0,"{""rz_balance"": 975992538.0, ""rz_buy"": 461186475.0, ""rz_repay"": 401187491.0, ""rq_balance"": 18387500.0}"
511520,政金债,20260820,-3763832.0,"{""rz_balance"": 1772715005.0, ""rz_buy"": 192749668.0, ""rz_repay"": 196513500.0, ""rq_balance"": 0.0}"
511580,国债政金,20260820,0.0,"{""rz_balance"": 109881.0, ""rz_buy"": 679815.0, ""rz_repay"": 679815.0, ""rq_balance"": 0.0}"
512000,券商ETF,20260820,51463738.0,"{""rz_balance"": 2720699309.0, ""rz_buy"": 341214635.0, ""rz_repay"": 289750897.0, ""rq_balance"": 4145200.0}"
512010,医药ETF,20260820,8058450.0,"{""rz_balance"": 426455090.0, ""rz_buy"": 200172346.0, ""rz_repay"": 192113896.0, ""rq_balance"": 33730300.0}"
512020,A500,20260820,-2722898.0,"{""rz_balance"": 356090.0, ""rz_buy"": 1693683.0, ""rz_repay"": 4416581.0, ""rq_balance"": 0.0}"
