symbol_code,symbol_name,factor_date,factor_value,metadata_json
IT服务,IT服务,20260812,0.0,"{""change_pct"": 1.169, ""prev_date"": ""2026-08-11""}"
专用设备,专用设备,20260812,0.0,"{""change_pct"": 1.573, ""prev_date"": ""2026-08-11""}"
中药,中药,20260812,0.0,"{""change_pct"": 0.137, ""prev_date"": ""2026-08-11""}"
互联网电商,互联网电商,20260812,0.0,"{""change_pct"": 1.39, ""prev_date"": ""2026-08-11""}"
保险,保险,20260812,0.0,"{""change_pct"": 0.222, ""prev_date"": ""2026-08-11""}"
元件,元件,20260812,0.0,"{""change_pct"": 2.473, ""prev_date"": ""2026-08-11""}"
光伏设备,光伏设备,20260812,0.0,"{""change_pct"": 2.203, ""prev_date"": ""2026-08-11""}"
光学光电子,光学光电子,20260812,0.0,"{""change_pct"": 1.902, ""prev_date"": ""2026-08-11""}"
公路铁路运输,公路铁路运输,20260812,0.0,"{""change_pct"": 0.877, ""prev_date"": ""2026-08-11""}"
其他电子,其他电子,20260812,0.0,"{""change_pct"": 1.92, ""prev_date"": ""2026-08-11""}"
其他电源设备,其他电源设备,20260812,0.0,"{""change_pct"": 2.178, ""prev_date"": ""2026-08-11""}"
其他社会服务,其他社会服务,20260812,0.0,"{""change_pct"": 1.358, ""prev_date"": ""2026-08-11""}"
养殖业,养殖业,20260812,0.0,"{""change_pct"": 0.822, ""prev_date"": ""2026-08-11""}"
军工电子,军工电子,20260812,0.0,"{""change_pct"": 0.886, ""prev_date"": ""2026-08-11""}"
军工装备,军工装备,20260812,0.0,"{""change_pct"": 0.985, ""prev_date"": ""2026-08-11""}"
农产品加工,农产品加工,20260812,0.0,"{""change_pct"": 1.387, ""prev_date"": ""2026-08-11""}"
农化制品,农化制品,20260812,0.0,"{""change_pct"": 0.489, ""prev_date"": ""2026-08-11""}"
包装印刷,包装印刷,20260812,0.0,"{""change_pct"": 1.519, ""prev_date"": ""2026-08-11""}"
化学制品,化学制品,20260812,0.0,"{""change_pct"": 1.1, ""prev_date"": ""2026-08-11""}"
化学制药,化学制药,20260812,0.0,"{""change_pct"": 0.647, ""prev_date"": ""2026-08-11""}"
化学原料,化学原料,20260812,0.0,"{""change_pct"": 0.511, ""prev_date"": ""2026-08-11""}"
化学纤维,化学纤维,20260812,0.0,"{""change_pct"": 0.515, ""prev_date"": ""2026-08-11""}"
医疗器械,医疗器械,20260812,0.0,"{""change_pct"": 0.889, ""prev_date"": ""2026-08-11""}"
医疗服务,医疗服务,20260812,0.0,"{""change_pct"": 0.596, ""prev_date"": ""2026-08-11""}"
医药商业,医药商业,20260812,0.0,"{""change_pct"": 0.322, ""prev_date"": ""2026-08-11""}"
半导体,半导体,20260812,0.0,"{""change_pct"": 2.033, ""prev_date"": ""2026-08-11""}"
