factor,ic_t1,n,q1_avg_t1,q4_avg_t1,monotonic_q1_q4_up
tradeability_score,0.4054,22,,,False
probability_value,0.2755,24,-1.6411,-1.0411,True
market_regime_score,0.2053,22,-1.511,-0.1642,True
risk_reward_score,0.1991,22,-1.3095,-0.4641,True
catalyst_score,0.1655,22,-1.5464,-0.0236,True
prev_day_gain_pct,0.1337,31,0.1082,0.3338,True
data_quality_score,0.0329,22,-0.5139,-0.7695,False
weekly_trend_score,-0.0624,31,,,False
capital_flow_score,-0.1238,22,-0.4241,-2.7874,False
ma20_deviation_pct,-0.1433,31,0.9867,-0.1499,False
daily_entry_score,-0.2798,31,-0.4451,0.3985,True
buy_score,-0.2989,24,-0.294,-0.8445,False
relative_strength_score,-0.3282,31,0.6357,-0.3125,False
