rule,n,win_rate,avg_t1,median_t1,sum_t1,avg_max_loss
buy+cons&VR>=1.1,5,80.0,2.69,1.779,13.45,-1.899
buy+cons&VR>=1.0,7,71.4,2.54,1.779,17.78,-2.212
buy+cons&RSI<=75,9,66.7,1.702,1.779,15.32,-1.778
buy+cons&RSI<=65,8,62.5,1.692,1.518,13.54,-1.52
buy+cons&RSI<=70,8,62.5,1.692,1.518,13.54,-1.52
buy+cons,11,54.5,1.312,1.235,14.43,-2.158
RR>=1.0&RSI<=65,4,50.0,1.29,0.936,5.16,-1.42
RR>=0.6&VR>=1.0,4,50.0,1.156,0.936,4.62,-1.829
RR>=0.6&VR>=1.1,4,50.0,1.156,0.936,4.62,-1.829
RR>=0.8&VR>=1.0,4,50.0,1.156,0.936,4.62,-1.829
RR>=0.8&VR>=1.1,4,50.0,1.156,0.936,4.62,-1.829
RR>=1.0&VR>=1.0,4,50.0,1.156,0.936,4.62,-1.829
RR>=1.0&VR>=1.1,4,50.0,1.156,0.936,4.62,-1.829
VR>=1.2&RSI<=75,4,75.0,1.101,1.266,4.41,-2.301
VR>=1.1&RSI<=65,9,55.6,0.9,0.307,8.1,-2.45
VR>=1.2,5,60.0,0.724,0.754,3.62,-2.214
VR>=1.0&VR>=1.2,5,60.0,0.724,0.754,3.62,-2.214
VR>=1.1&VR>=1.2,5,60.0,0.724,0.754,3.62,-2.214
VR>=1.1&RSI<=75,15,53.3,0.702,0.307,10.54,-2.829
VR>=1.0&RSI<=65,12,58.3,0.688,0.448,8.26,-2.65
RR>=1.0,5,40.0,0.654,-1.294,3.27,-1.796
RR>=0.6&RR>=1.0,5,40.0,0.654,-1.294,3.27,-1.796
RR>=0.8&RR>=1.0,5,40.0,0.654,-1.294,3.27,-1.796
RR>=1.0&RSI<=70,5,40.0,0.654,-1.294,3.27,-1.796
RR>=1.0&RSI<=75,5,40.0,0.654,-1.294,3.27,-1.796
VR>=1.1,16,50.0,0.609,0.072,9.75,-2.769
VR>=1.0&VR>=1.1,16,50.0,0.609,0.072,9.75,-2.769
VR>=1.0&RSI<=75,18,55.6,0.594,0.448,10.69,-2.899
VR>=1.1&RSI<=70,12,50.0,0.567,0.072,6.8,-2.575
VR>=1.0,20,50.0,0.49,0.101,9.8,-2.996
VR>=1.0&RSI<=70,15,53.3,0.464,0.307,6.95,-2.71
RR>=0.8&RSI<=65,7,42.9,0.319,-0.82,2.23,-2.155
RR>=0.6&RSI<=65,9,44.4,0.126,-0.82,1.14,-2.157
RR>=0.8,8,37.5,0.042,-1.057,0.34,-2.298
RR>=0.6&RR>=0.8,8,37.5,0.042,-1.057,0.34,-2.298
RR>=0.8&RSI<=70,8,37.5,0.042,-1.057,0.34,-2.298
RR>=0.8&RSI<=75,8,37.5,0.042,-1.057,0.34,-2.298
RR>=0.6&stop>=-5,7,42.9,0.015,-0.82,0.11,-1.892
RR>=0.8&stop>=-5,6,33.3,-0.066,-1.057,-0.39,-1.999
RR>=0.8&stop>=-8,6,33.3,-0.066,-1.057,-0.39,-1.999
RR>=0.6,10,40.0,-0.075,-1.057,-0.75,-2.272
RR>=0.6&RSI<=70,10,40.0,-0.075,-1.057,-0.75,-2.272
RR>=0.6&RSI<=75,10,40.0,-0.075,-1.057,-0.75,-2.272
RSI<=75,31,41.9,-0.08,-0.82,-2.48,-2.964
RSI<=65,24,41.7,-0.097,-0.858,-2.33,-2.771
RSI<=65&RSI<=70,24,41.7,-0.097,-0.858,-2.33,-2.771
RSI<=65&RSI<=75,24,41.7,-0.097,-0.858,-2.33,-2.771
RSI<=70,27,40.7,-0.134,-0.82,-3.63,-2.791
RSI<=70&RSI<=75,27,40.7,-0.134,-0.82,-3.63,-2.791
RR>=0.6&stop>=-8,8,37.5,-0.186,-1.057,-1.49,-2.041
RSI<=65&stop>=-5,8,37.5,-0.244,-1.057,-1.95,-2.113
RR>=1.0&stop>=-5,4,25.0,-0.344,-1.324,-1.38,-2.128
RR>=1.0&stop>=-8,4,25.0,-0.344,-1.324,-1.38,-2.128
stop>=-5,9,33.3,-0.427,-1.294,-3.84,-2.246
RSI<=70&stop>=-5,9,33.3,-0.427,-1.294,-3.84,-2.246
RSI<=75&stop>=-5,9,33.3,-0.427,-1.294,-3.84,-2.246
stop>=-5&stop>=-8,9,33.3,-0.427,-1.294,-3.84,-2.246
RSI<=65&stop>=-8,10,30.0,-0.526,-1.324,-5.26,-2.302
stop>=-8,11,27.3,-0.65,-1.355,-7.16,-2.393
RSI<=70&stop>=-8,11,27.3,-0.65,-1.355,-7.16,-2.393
RSI<=75&stop>=-8,11,27.3,-0.65,-1.355,-7.16,-2.393
buy+cons&stop>=-8,4,25.0,-0.838,-1.537,-3.35,-2.062
