rule,n,win_rate,avg_t1,median_t1,sum_t1,avg_max_loss
buy+cons & RR>=0.8,3,66.7,1.696,1.801,5.089,-0.885
buy+consensus,11,54.5,1.312,1.235,14.428,-2.158
RR>=0.8 & VR>=0.9,4,50.0,1.156,0.936,4.623,-1.829
RR>=1.0 & VR>=1.0,4,50.0,1.156,0.936,4.623,-1.829
RR>=1 & VR>=1 & RSI<=75,4,50.0,1.156,0.936,4.623,-1.829
VR>=1.2,5,60.0,0.724,0.754,3.62,-2.214
RR>=1.0,5,40.0,0.654,-1.294,3.268,-1.796
RR>=1 & RSI<=70,5,40.0,0.654,-1.294,3.268,-1.796
VR>=1.0,20,50.0,0.49,0.101,9.8,-2.996
RR>=0.8,8,37.5,0.042,-1.057,0.338,-2.298
RR>=1.2 & VR>=1.0,3,33.3,-0.007,-1.294,-0.021,-2.283
RR>=1.5 & VR>=1.0,3,33.3,-0.007,-1.294,-0.021,-2.283
VR>=0.8,28,39.3,-0.023,-0.726,-0.646,-3.217
RSI 30-75,31,41.9,-0.08,-0.82,-2.48,-2.964
RR>=0.5,13,38.5,-0.09,-1.294,-1.174,-2.712
RSI<=65,24,41.7,-0.097,-0.858,-2.326,-2.771
ALL,33,39.4,-0.102,-0.785,-3.371,-3.019
VR has value,33,39.4,-0.102,-0.785,-3.371,-3.019
RSI<=70,27,40.7,-0.134,-0.82,-3.628,-2.791
RR>=1.2,4,25.0,-0.344,-1.325,-1.376,-2.128
RR>=1.5,4,25.0,-0.344,-1.325,-1.376,-2.128
RR>=2.0,4,25.0,-0.344,-1.325,-1.376,-2.128
RR>=3.0,4,25.0,-0.344,-1.325,-1.376,-2.128
stop>=-5%,9,33.3,-0.427,-1.294,-3.842,-2.246
stop>=-8%,11,27.3,-0.65,-1.355,-7.155,-2.393
