date,code,name,weekly_close_vs_ma20_pct,weekly_ma20_slope_pct,short_score,volume_ratio,opportunity_rank_score,rsi,ma20_deviation_pct,t3,t5
20260803,603228,景旺电子,5.887,3.45,77.25,1.07,,55.7,4.9,12.1,24.68
20260803,000333,美的集团,10.262,3.209,79.25,1.13,,66.9,3.0,-0.78,-0.8
20260803,002142,宁波银行,5.414,1.106,78.25,1.0,,59.2,2.7,-1.28,-0.47
20260803,000429,粤高速Ａ,8.974,3.221,77.5,1.26,,61.6,2.2,-3.34,-5.76
20260803,600919,江苏银行,5.567,2.215,77.75,1.12,,61.3,2.3,0.69,1.2
20260803,601939,建设银行,6.966,3.403,80.5,1.3,,58.4,2.2,-1.84,-1.65
20260803,600236,桂冠电力,10.472,2.642,79.75,1.07,,57.2,5.8,-0.81,-1.54
20260803,601678,滨化股份,9.421,2.172,74.25,1.15,,63.3,4.9,18.57,21.01
20260803,601665,齐鲁银行,5.745,2.213,79.25,1.03,,63.2,3.5,-1.73,-1.73
20260803,601988,中国银行,4.824,2.65,78.25,1.11,,57.0,1.7,-3.18,-2.68
20260803,002948,青岛银行,8.466,2.526,79.25,1.1,,71.4,4.3,-2.55,-1.53
20260803,002258,利尔化学,9.045,-2.111,81.5,1.46,,61.1,5.3,-1.45,-0.21
20260803,301273,瑞晨环保,21.232,8.587,71.75,0.95,,60.1,5.4,4.83,7.04
20260803,300001,特锐德,5.946,2.335,69.25,0.85,,60.9,5.9,-1.46,-0.84
20260803,600900,长江电力,8.422,1.981,70.25,0.95,,62.1,2.8,-3.95,-2.91
20260803,600060,海信视像,9.499,3.735,73.25,1.12,,52.4,1.5,-4.36,-2.33
20260803,600750,华润江中,8.177,0.825,71.75,0.99,,63.9,4.8,-5.48,-6.01
20260803,600285,羚锐制药,9.788,1.732,70.75,0.92,,54.0,2.6,-4.02,-3.16
20260803,601838,成都银行,4.59,2.914,75.25,1.06,,62.3,1.0,-2.07,-1.36
20260803,600674,川投能源,7.101,1.135,68.75,0.75,,69.6,3.4,-4.27,-4.02
20260803,600886,国投电力,9.953,1.387,68.75,0.78,,68.5,4.2,-2.38,-3.13
20260803,600483,福能股份,6.463,1.192,68.75,0.68,,62.7,3.5,-3.7,-5.06
20260803,600025,华能水电,6.347,0.279,67.25,0.72,,62.4,2.3,-3.66,-3.75
20260803,600971,恒源煤电,6.624,1.214,71.75,0.91,,63.7,5.3,2.86,4.98
20260803,000636,风华高科,21.803,12.637,73.62,1.6,,41.5,2.9,16.51,23.35
20260803,605098,行动教育,1.01,1.962,76.5,1.21,,62.7,4.8,-0.65,2.25
20260803,300628,亿联网络,11.188,2.148,77.0,1.14,,72.2,6.7,1.2,2.17
20260803,002415,海康威视,14.958,3.364,77.0,1.17,,72.7,8.0,-2.04,-2.07
20260803,001872,招商港口,5.394,0.827,69.75,0.81,,58.2,3.8,-0.63,-0.09
20260803,000951,中国重汽,2.862,1.102,78.0,1.2,,56.7,2.9,-2.43,-3.54
20260803,002216,三全食品,3.394,1.886,73.0,1.2,,58.8,1.7,-1.46,0.84
20260803,603558,健盛集团,2.397,0.101,76.5,1.2,,64.7,4.7,-0.54,-0.62
20260803,600228,返利科技,5.046,3.048,74.25,1.49,,54.1,10.0,7.92,14.58
20260803,601339,百隆东方,7.756,2.946,67.25,0.83,,57.9,5.3,-0.37,-2.2
20260803,600901,江苏金租,0.877,0.528,72.75,1.03,,64.9,1.2,-0.47,1.24
20260803,002563,森马服饰,14.456,2.199,76.25,1.36,,66.3,10.3,-3.48,-2.22
20260803,000690,宝新能源,0.391,0.869,76.5,1.24,,65.5,5.1,-3.4,-2.8
20260803,300408,三环集团,9.377,10.381,69.5,1.13,,46.1,1.5,13.39,13.3
20260803,688777,中控技术,5.702,3.774,69.88,1.18,,44.9,0.6,11.53,9.93
20260803,688253,英诺特,7.214,7.278,65.75,0.98,,45.4,1.2,17.64,27.39
20260803,600885,宏发股份,11.714,2.575,74.75,1.07,,56.3,4.4,-1.22,-1.92
20260803,002199,东晶电子,4.837,7.816,78.5,2.52,,53.6,4.6,9.33,9.8
20260803,600872,中炬高新,7.262,1.177,74.5,1.1,,74.6,7.6,-4.37,-2.88
20260803,002606,大连电瓷,5.053,1.359,74.75,1.38,,56.3,7.6,-2.03,0.54
20260803,002440,闰土股份,20.63,-1.581,74.0,1.09,,65.2,11.7,0.31,6.69
20260803,000582,北部湾港,10.078,1.53,69.0,1.17,,70.7,10.3,-2.03,3.91
20260803,603980,吉华集团,8.861,-3.036,81.25,1.78,,59.6,7.6,1.04,3.43
20260803,002039,黔源电力,1.605,1.292,63.75,0.76,,61.6,3.6,-3.18,-2.11
20260803,003013,地铁设计,19.144,3.404,70.0,0.84,,56.5,9.4,5.21,6.19
20260803,000703,恒逸石化,11.195,4.595,69.5,0.81,,63.6,9.1,6.97,13.06
20260803,601677,明泰铝业,0.263,0.135,64.75,0.86,,59.1,5.0,0.65,3.51
20260803,603162,海通发展,2.303,2.513,62.0,0.83,,49.1,1.3,8.93,19.17
20260803,002762,金发拉比,7.249,3.426,71.25,1.42,,68.0,13.4,7.01,6.0
20260803,300453,三鑫医疗,3.146,0.158,74.5,1.45,,58.4,3.4,0.86,4.07
20260803,603259,药明康德,17.996,6.507,61.75,0.84,,51.2,3.3,3.79,17.35
20260803,600962,国投中鲁,13.463,2.605,74.5,1.02,,54.7,14.3,11.96,3.3
20260803,601233,桐昆股份,7.473,0.673,66.75,0.85,,64.2,4.9,4.8,9.52
