trigger_time,trigger_date,source_file,symbol_code,symbol_name_raw,signal_group,buy_decision,signal_tier,buy_score,probability_value,expected_return_t1_pct,expected_net_edge_pct,expected_upside_pct,expected_downside_pct,payoff_ratio,entry_date,entry_price,t1_close,t3_close,t5_close,t1_return_pct,t3_return_pct,t5_return_pct,max_gain_pct,max_loss_pct,max_drawdown_pct,weekly_trend_score,relative_strength_score,daily_entry_score,catalyst_score,capital_flow_score,technical_score,market_regime_score,tradeability_score,risk_reward_score,data_quality_score,ma20_deviation_pct,prev_day_gain_pct,flow_data_available,primary_catalyst,consensus_score,future_evidence_count,tier_confidence,recommended_position_size_pct,forward_opportunity_score,fundamental_score,valuation_score,atr_pct,daily_volatility_20d_pct,trade_plan_status,trade_plan_rsi,trade_plan_vwap20,trade_plan_ema8,trade_plan_ema13,trade_plan_ema21,trade_plan_volume_ratio,trade_plan_support_1,trade_plan_support_2,trade_plan_resistance_1,trade_plan_resistance_2,trade_plan_entry_zone_low,trade_plan_entry_zone_high,trade_plan_stop_loss,trade_plan_stop_loss_pct,trade_plan_take_profit_1,trade_plan_take_profit_2,trade_plan_rr_1,trade_plan_rr_ok,trade_plan_pass,trade_plan_reject_reasons,strategy,_eval_error
2026-06-17 18:00:00,20260617,2026-06-17_18-00-00.json,000831,中国稀土,watch,watch,,74.79,0.582,-0.753,-0.753,3.848,6.776,0.568,20260618,58.57,61.87,59.64,57.61,5.6343,1.8269,-1.6391,14.1369,-3.8757,-3.8757,100.0,88.12,82.0,55.0,70.0,57.0,62.0,68.0,48.08,65.0,11.0,-3.09,True,False,10.0,0.0,,,74.79,78.0,50.0,6.16,3.618,ok,64.2,54.5,56.84,55.6,54.59,1.59,47.4,44.95,64.52,66.34,54.5,59.06,47.16,-20.14,64.52,66.34,0.46,False,False,"['low_signal_group', 'rr_below_1.0']",momentum,
2026-06-17 18:00:00,20260617,2026-06-17_18-00-00.json,688012,中微公司,watch,watch,,67.29,0.5636,-0.713,-0.713,3.997,6.43,0.622,20260618,350.0,360.0,371.72,399.13,2.8571,6.2057,14.0371,17.8571,-1.4286,-1.4286,100.0,100.0,82.0,55.0,70.0,57.0,62.0,65.0,56.34,65.0,16.6,10.03,True,False,10.0,0.0,,,67.29,86.0,50.0,5.652,4.33,ok,64.9,302.35,313.65,305.93,297.7,1.04,261.6,195.96,357.7,390.67,302.35,351.0,260.29,-25.84,357.7,390.67,0.07,False,False,"['low_signal_group', 'rr_below_1.0']",momentum,
2026-06-17 18:00:00,20260617,2026-06-17_18-00-00.json,300308,中际旭创,watch,watch,,65.79,0.6556,-0.206,-0.206,3.338,6.488,0.514,20260618,1270.0,1367.88,1310.01,1323.4,7.7071,3.1504,4.2047,11.5654,-0.1,-0.1,100.0,100.0,58.0,51.67,70.0,56.84,62.0,65.0,55.52,65.0,9.6,2.25,True,False,10.0,0.0,,,65.79,86.0,50.0,5.898,4.242,ok,56.8,1165.25,1211.92,1189.31,1149.62,1.0,993.34,554.0,1320.0,1426.65,1165.25,1276.11,988.37,-22.55,1320.0,1426.65,0.15,False,False,"['low_signal_group', 'rr_below_1.0']",momentum,
2026-06-17 18:00:00,20260617,2026-06-17_18-00-00.json,300502,新易盛,watch,watch,,64.09,0.6188,-1.018,-1.018,3.455,7.86,0.44,20260618,552.66,581.48,552.0,610.49,5.2148,-0.1194,10.4639,10.52,-2.2907,-2.2907,100.0,100.0,58.0,55.0,76.0,56.36,62.0,65.0,49.55,65.0,8.4,1.62,True,False,10.0,0.0,,,64.09,86.0,50.0,7.145,4.803,ok,57.8,513.65,539.13,528.96,510.21,1.33,403.05,309.79,575.0,583.84,513.65,557.88,401.03,-28.11,575.0,583.84,0.11,False,False,"['low_signal_group', 'rr_below_1.0']",momentum,
2026-06-17 18:00:00,20260617,2026-06-17_18-00-00.json,300394,天孚通信,watch,watch,,61.55,0.6004,-1.65,-1.65,3.415,8.859,0.385,20260618,325.0,336.6,311.06,341.97,3.5692,-4.2892,5.2215,6.4615,-5.8462,-5.8462,100.0,100.0,58.0,55.0,70.0,55.96,62.0,65.0,53.32,65.0,7.4,1.42,True,False,10.0,0.0,,,61.55,78.0,50.0,8.054,5.732,ok,52.3,306.66,312.48,309.07,301.64,1.0,239.49,207.0,351.2,374.5,306.66,329.33,238.29,-27.64,351.2,374.5,0.24,False,False,"['low_signal_group', 'rr_below_1.0']",momentum,
2026-06-18 18:00:00,20260618,2026-06-18_18-00-00.json,300308,中际旭创,buy_passed,buy,B,66.19,0.7108,0.805,0.805,3.927,6.314,0.622,20260622,1367.78,1382.33,1312.18,1253.89,1.0638,-4.065,-8.3266,3.5898,-9.6982,-9.6982,100.0,100.0,74.0,55.0,70.0,81.0,62.0,65.0,62.23,65.0,15.7,7.19,True,False,10.0,0.0,66.98,12.0,66.19,86.0,50.0,5.736,4.252,ok,66.4,1179.65,1246.58,1214.82,1169.46,0.98,1006.18,554.0,1485.58,1524.82,1179.65,1367.88,1001.15,-26.81,1485.58,1524.82,0.32,False,False,"['rr_below_1.0', 'volume_ratio_below_1.0']",momentum,
2026-06-18 18:00:00,20260618,2026-06-18_18-00-00.json,688012,中微公司,watch,watch,,66.87,0.6004,-0.222,-0.222,4.128,6.357,0.649,20260622,371.99,372.74,383.0,413.0,0.2016,2.9598,11.0245,13.9278,-3.7609,-3.7609,100.0,100.0,82.0,55.0,74.0,69.0,62.0,65.0,59.62,65.0,18.8,2.56,True,False,10.0,0.0,,,66.87,86.0,50.0,5.578,4.281,ok,69.3,303.06,323.95,313.66,303.36,1.05,261.6,195.96,390.12,400.16,303.06,360.0,260.29,-27.7,390.12,400.16,0.3,False,False,"['low_signal_group', 'rr_below_1.0']",momentum,
2026-06-18 18:00:00,20260618,2026-06-18_18-00-00.json,300502,新易盛,watch,watch,,63.25,0.6372,-0.871,-0.871,3.279,7.72,0.425,20260622,584.1,579.97,555.3,566.0,-0.7071,-4.9307,-3.0988,4.5711,-7.5501,-7.5501,100.0,100.0,58.0,55.0,70.0,57.0,62.0,65.0,45.79,65.0,11.1,4.23,True,False,10.0,0.0,,,63.25,86.0,50.0,7.018,4.676,ok,62.7,520.74,548.54,536.46,516.69,1.2,406.43,309.79,642.69,663.1,520.74,581.48,404.4,-30.45,642.69,663.1,0.35,False,False,"['low_signal_group', 'rr_below_1.0']",momentum,
2026-06-18 18:00:00,20260618,2026-06-18_18-00-00.json,000831,中国稀土,watch,watch,,53.96,0.628,-0.334,-0.334,3.662,6.648,0.551,20260622,62.87,66.27,58.25,54.85,5.408,-7.3485,-12.7565,6.3305,-13.0428,-13.0428,100.0,100.0,72.0,55.0,70.0,57.0,62.0,68.0,49.92,65.0,15.1,4.76,True,False,10.0,0.0,,,53.96,78.0,50.0,6.044,3.653,ok,75.7,55.11,57.96,56.49,55.25,1.7,47.4,44.95,67.48,69.35,55.11,61.87,47.16,-23.77,67.48,69.35,0.38,False,False,"['low_signal_group', 'rr_below_1.0', 'rsi_above_70.0']",momentum,
2026-06-22 18:00:00,20260622,2026-06-22_18-00-00.json,300502,新易盛,watch,watch,,73.87,0.628,-0.51,-0.51,4.044,7.767,0.521,20260623,575.0,552.0,610.49,556.96,-4.0,6.1722,-3.1374,6.2261,-8.8313,-8.8313,100.0,100.0,82.0,55.0,70.0,56.72,62.0,65.0,58.92,55.0,9.3,-0.26,True,False,10.0,0.0,,,73.87,86.0,50.0,7.061,4.537,ok,66.5,528.4,555.53,542.68,522.44,1.1,424.29,309.79,641.39,661.87,528.4,579.97,422.17,-27.21,641.39,661.87,0.39,False,False,"['low_signal_group', 'rr_below_1.0']",momentum,
