trigger_time,trigger_date,source_file,symbol_code,symbol_name_raw,signal_group,buy_decision,signal_tier,buy_score,probability_value,expected_return_t1_pct,expected_net_edge_pct,expected_upside_pct,expected_downside_pct,payoff_ratio,entry_date,entry_price,t1_close,t3_close,t5_close,t1_return_pct,t3_return_pct,t5_return_pct,max_gain_pct,max_loss_pct,max_drawdown_pct,weekly_trend_score,relative_strength_score,daily_entry_score,catalyst_score,capital_flow_score,technical_score,market_regime_score,tradeability_score,risk_reward_score,data_quality_score,ma20_deviation_pct,prev_day_gain_pct,flow_data_available,primary_catalyst,consensus_score,future_evidence_count,tier_confidence,recommended_position_size_pct,recommended_holding_days,holding_rule,entry_quality_score,crowding_score,entry_quality_delta,forward_opportunity_score,fundamental_score,valuation_score,atr_pct,daily_volatility_20d_pct,trade_plan_status,trade_plan_rsi,trade_plan_vwap20,trade_plan_ema8,trade_plan_ema13,trade_plan_ema21,trade_plan_volume_ratio,trade_plan_amount_ratio,trade_plan_volume_ma5_ma20_ratio,trade_plan_support_1,trade_plan_support_2,trade_plan_resistance_1,trade_plan_resistance_2,trade_plan_entry_zone_low,trade_plan_entry_zone_high,trade_plan_stop_loss,trade_plan_stop_loss_pct,trade_plan_take_profit_1,trade_plan_take_profit_2,trade_plan_rr_1,trade_plan_rr_ok,trade_plan_pass,trade_plan_reject_reasons,strategy,_eval_error
2026-08-10 18:00:00,20260810,2026-08-10_18-00-00.json,603663,三祥新材,buy_passed,buy,B,95.84,0.5636,0.772,,,,,20260811,40.05,40.45,39.86,44.66,0.9988,-0.4744,11.5106,11.6105,-0.9238,-0.9238,54.0,46.81,82.0,44.17,48.0,47.0,62.0,68.0,43.14,65.0,2.2,1.42,True,False,10.0,0.0,80.28,12.0,3,T+3_ok,,,,95.84,,,,,ok,47.1,39.5,38.3,39.07,41.35,1.07,1.17,1.43,37.1,,44.75,46.67,39.5,40.69,36.92,-9.27,44.75,46.67,1.08,True,True,,momentum,
2026-08-10 18:00:00,20260810,2026-08-10_18-00-00.json,601869,长飞光纤,buy_passed,buy,A,99.5,0.6556,1.3,,,,,20260811,334.0,335.92,337.51,376.54,0.5749,1.0509,12.7365,14.6796,-2.5269,-2.5269,54.0,24.27,74.0,60.17,60.0,47.0,62.0,68.0,54.62,65.0,1.6,1.3,True,True,10.0,0.0,85.19,15.0,3,T+3_ok,,,,99.5,,,,,ok,37.4,344.56,319.66,325.08,342.98,0.95,1.06,1.0,309.81,,408.6,,343.09,344.56,308.26,-10.15,408.6,420.86,1.88,True,False,['volume_ratio_below_1.0'],momentum,
2026-08-10 18:00:00,20260810,2026-08-10_18-00-00.json,002902,铭普光磁,buy_passed,buy,B,92.36,0.6004,0.569,,,,,20260811,24.08,24.26,24.82,26.23,0.7475,3.0731,8.9286,8.9286,-1.2043,-1.2043,0.0,4.64,74.0,52.17,60.0,55.56,62.0,68.0,46.12,65.0,6.4,-1.39,True,False,10.0,0.0,78.69,12.0,3,T+3_ok,,,,92.36,,,,,ok,64.2,22.88,23.4,23.26,23.77,0.57,0.59,1.68,22.48,,28.94,,22.88,24.18,22.37,-7.48,28.94,29.81,2.63,True,False,['volume_ratio_below_1.0'],momentum,
2026-08-10 18:00:00,20260810,2026-08-10_18-00-00.json,603259,药明康德,buy_passed,buy,A,87.0,0.72,2.234,,,,,20260811,160.41,160.21,162.33,166.89,-0.1247,1.1969,4.0396,4.9685,-2.0323,-2.0323,100.0,100.0,72.0,54.64,30.0,57.0,62.0,68.0,53.6,65.0,22.4,4.21,True,False,10.0,0.0,81.47,15.0,3,T+3_ok,,,,87.0,,,,,ok,80.9,134.25,144.7,139.22,133.78,1.43,1.61,1.39,152.46,,172.45,176.15,134.25,161.34,151.69,-5.98,172.45,176.15,1.15,True,False,['rsi_above_70.0'],momentum,
2026-08-10 18:00:00,20260810,2026-08-10_18-00-00.json,002156,通富微电,watch,watch,,77.17,0.582,0.385,,,,,20260811,62.49,62.06,62.22,69.26,-0.6881,-0.4321,10.8337,10.8337,-2.0483,-2.0483,84.0,35.76,26.0,52.17,30.0,32.65,62.0,68.0,57.08,65.0,-4.9,-2.35,True,False,10.0,0.0,,,3,T+3_ok,,,,77.17,,,,,ok,44.9,67.82,61.57,62.74,64.37,0.65,0.71,0.74,55.89,,76.8,78.58,63.2,67.82,55.61,-12.01,76.8,78.58,1.79,True,False,"['low_signal_group', 'volume_ratio_below_1.0']",momentum,
2026-08-10 18:00:00,20260810,2026-08-10_18-00-00.json,002602,世纪华通,consensus,,,,,,,,,,20260811,14.4,14.21,13.73,14.07,-1.3194,-4.6528,-2.2917,3.0556,-4.7222,-4.7222,16.0,53.82,74.0,,,,,,,,6.6,3.92,,,,,,,3,T+3_ok,,,,,,,,,missing,,,,,,,,,,,,,,,,,,,,,,,momentum,
2026-08-10 18:00:00,20260810,2026-08-10_18-00-00.json,603296,华勤技术,consensus,,,,,,,,,,20260811,80.28,80.03,85.97,86.9,-0.3114,7.0877,8.2461,9.7409,-2.9895,-2.9895,100.0,57.47,50.0,,,,,,,,0.2,-1.22,,,,,,,3,T+3_ok,,,,,,,,,missing,,,,,,,,,,,,,,,,,,,,,,,momentum,
2026-08-10 18:00:00,20260810,2026-08-10_18-00-00.json,688525,佰维存储,consensus,,,,,,,,,,20260811,238.9,242.06,235.01,256.78,1.3227,-1.6283,7.4843,7.8987,-1.6325,-1.6325,54.0,0.0,50.0,,,,,,,,-2.3,-1.18,,,,,,,3,T+3_ok,,,,,,,,,missing,,,,,,,,,,,,,,,,,,,,,,,momentum,
2026-08-10 18:00:00,20260810,2026-08-10_18-00-00.json,688320,禾川科技,consensus,,,,,,,,,,20260811,31.28,32.6,34.51,36.24,4.2199,10.3261,15.8568,19.2455,-1.5345,-1.5345,0.0,25.57,74.0,,,,,,,,7.5,-0.92,,,,,,,3,T+3_ok,,,,,,,,,missing,,,,,,,,,,,,,,,,,,,,,,,momentum,
2026-08-11 18:00:00,20260811,2026-08-11_18-00-00.json,300149,睿智医药,buy_passed,buy,A,99.0,0.6096,2.236,,,,,20260812,10.72,10.8,11.2,,0.7463,4.4776,,14.6455,-1.7724,-1.7724,46.0,100.0,82.0,68.0,60.0,57.0,62.0,65.0,53.68,70.0,14.1,5.63,True,True,10.0,0.0,86.61,15.0,3,T+3_ok,,,,99.0,,,,,ok,61.1,9.9,10.09,9.84,9.64,1.4,1.52,1.14,10.16,,12.21,12.59,9.9,11.07,10.11,-8.69,12.21,12.59,1.18,True,True,,momentum,
