trigger_time,trigger_date,source_file,symbol_code,symbol_name_raw,signal_group,buy_decision,signal_tier,buy_score,probability_value,expected_return_t1_pct,expected_net_edge_pct,expected_upside_pct,expected_downside_pct,payoff_ratio,entry_date,entry_price,t1_close,t3_close,t5_close,t1_return_pct,t3_return_pct,t5_return_pct,max_gain_pct,max_loss_pct,max_drawdown_pct,weekly_trend_score,relative_strength_score,daily_entry_score,catalyst_score,capital_flow_score,technical_score,market_regime_score,tradeability_score,risk_reward_score,data_quality_score,ma20_deviation_pct,prev_day_gain_pct,flow_data_available,primary_catalyst,consensus_score,future_evidence_count,tier_confidence,recommended_position_size_pct,recommended_holding_days,holding_rule,entry_quality_score,crowding_score,entry_quality_delta,forward_opportunity_score,fundamental_score,valuation_score,atr_pct,daily_volatility_20d_pct,trade_plan_status,trade_plan_rsi,trade_plan_vwap20,trade_plan_ema8,trade_plan_ema13,trade_plan_ema21,trade_plan_volume_ratio,trade_plan_amount_ratio,trade_plan_volume_ma5_ma20_ratio,trade_plan_support_1,trade_plan_support_2,trade_plan_resistance_1,trade_plan_resistance_2,trade_plan_entry_zone_low,trade_plan_entry_zone_high,trade_plan_stop_loss,trade_plan_stop_loss_pct,trade_plan_take_profit_1,trade_plan_take_profit_2,trade_plan_rr_1,trade_plan_rr_ok,trade_plan_pass,trade_plan_reject_reasons,strategy,_eval_error
2026-06-17 18:00:00,20260617,2026-06-17_18-00-00.json,001389,广合科技,buy_passed,buy,A,99.5,0.628,2.472,,,,,20260618,205.15,200.81,182.25,200.15,-2.1155,-11.1626,-2.4372,0.0975,-13.1172,-13.1172,100.0,100.0,82.0,60.0,60.0,57.0,62.0,68.0,54.42,65.0,10.9,5.58,True,False,10.0,0.0,86.98,15.0,3,T+3_ok,,,,99.5,,,,,ok,60.2,185.54,189.47,186.73,183.57,1.47,1.6,0.83,189.14,,225.16,231.83,185.54,205.15,188.2,-8.26,225.16,231.83,1.18,True,True,,momentum,
2026-06-18 18:00:00,20260618,2026-06-18_18-00-00.json,002916,深南电路,buy_passed,buy,A,99.0,0.6556,2.584,,,,,20260622,462.42,457.34,431.9,433.5,-1.0986,-6.6001,-6.2541,1.5354,-10.9035,-10.9035,100.0,100.0,82.0,60.0,60.0,57.0,62.0,68.0,57.32,65.0,14.5,2.15,True,False,10.0,0.0,87.31,15.0,3,T+3_ok,,,,99.0,,,,,ok,59.4,396.35,413.44,402.48,388.79,1.58,1.73,0.93,416.83,,500.02,515.42,396.35,453.8,414.74,-8.61,500.02,515.42,1.18,True,True,,momentum,
2026-06-18 18:00:00,20260618,2026-06-18_18-00-00.json,688256,寒武纪,buy_passed,buy,A,99.0,0.6004,2.436,,,,,20260622,1480.0,1456.99,1453.0,1458.0,-1.5547,-1.8243,-1.4865,3.8007,-6.8919,-6.8919,100.0,100.0,82.0,60.0,72.0,57.0,62.0,65.0,55.12,65.0,14.2,14.2,True,False,10.0,0.0,86.08,15.0,3,T+3_ok,,,,99.0,,,,,ok,63.1,1328.5,1340.84,1321.47,1294.45,1.71,1.95,1.12,1398.91,,1643.15,1688.38,1328.5,1507.46,1391.91,-7.67,1643.15,1688.38,1.17,True,True,,momentum,
2026-06-18 18:00:00,20260618,2026-06-18_18-00-00.json,002837,英维克,buy_passed,buy,A,99.5,0.628,1.137,,,,,20260622,74.55,77.3,82.86,82.57,3.6888,11.1469,10.7579,20.3085,-2.3474,-2.3474,16.0,20.06,74.0,60.0,60.0,54.88,62.0,68.0,54.42,65.0,4.7,-0.34,True,False,10.0,0.0,84.31,15.0,3,T+3_ok,,,,99.5,,,,,ok,57.1,71.04,71.46,71.11,71.67,0.99,1.04,1.07,69.6,,80.12,84.85,71.04,74.37,69.26,-6.88,80.12,84.85,1.12,True,False,['volume_ratio_below_1.0'],momentum,
2026-06-22 18:00:00,20260622,2026-06-22_18-00-00.json,300502,新易盛,buy_passed,buy,A,99.5,0.628,2.284,,,,,20260623,575.0,552.0,610.49,556.96,-4.0,6.1722,-3.1374,6.2261,-8.8313,-8.8313,100.0,100.0,74.0,60.0,72.0,56.72,62.0,65.0,58.92,65.0,9.3,-0.26,True,False,10.0,0.0,86.6,15.0,3,T+3_ok,,,,99.5,,,,,ok,66.5,528.4,555.53,542.68,522.44,0.91,0.98,1.1,530.83,,641.39,661.87,528.4,579.97,528.18,-8.93,641.39,661.87,1.19,True,False,['volume_ratio_below_1.0'],momentum,
2026-06-22 18:00:00,20260622,2026-06-22_18-00-00.json,300394,天孚通信,buy_passed,buy,A,99.5,0.6004,2.169,,,,,20260623,326.12,311.06,341.97,295.15,-4.6179,4.8602,-9.4965,6.0959,-11.4252,-11.4252,100.0,100.0,58.0,60.0,60.0,54.48,62.0,65.0,53.32,65.0,3.7,-3.11,True,False,10.0,0.0,85.82,15.0,3,T+3_ok,,,,99.5,,,,,ok,54.7,314.71,319.68,314.88,306.76,1.21,1.27,1.11,295.94,,351.2,374.5,314.71,326.12,294.46,-9.71,351.2,374.5,0.79,False,False,['rr_below_1.0'],momentum,
2026-06-22 18:00:00,20260622,2026-06-22_18-00-00.json,300308,中际旭创,buy_passed,buy,A,91.0,0.6556,2.508,,,,,20260623,1395.0,1310.01,1323.4,1220.0,-6.0925,-5.1326,-12.5448,0.0,-16.1656,-16.1656,100.0,100.0,74.0,60.0,88.0,57.0,62.0,65.0,55.52,65.0,15.2,1.06,True,False,10.0,0.0,82.91,15.0,3,T+3_ok,,,,91.0,,,,,ok,70.5,1194.57,1276.75,1238.75,1188.81,0.98,1.1,0.92,1287.84,,1500.44,1539.81,1194.57,1382.33,1281.4,-7.3,1500.44,1539.81,1.17,True,False,"['volume_ratio_below_1.0', 'rsi_above_70.0']",momentum,
2026-06-22 18:00:00,20260622,2026-06-22_18-00-00.json,000725,京东方A,watch,watch,,95.0,0.5452,1.813,,,,,20260623,6.85,6.77,7.52,7.95,-1.1679,9.781,16.0584,20.292,-4.0876,-4.0876,100.0,100.0,82.0,60.0,30.0,57.0,62.0,68.0,49.31,65.0,17.5,5.8,True,False,10.0,0.0,,,3,T+3_ok,,,,95.0,,,,,ok,70.3,5.9,6.33,6.12,5.82,1.28,1.43,0.82,6.31,,7.7,7.96,5.9,6.93,6.28,-9.37,7.7,7.96,1.19,True,False,"['low_signal_group', 'rsi_above_70.0']",momentum,
2026-06-24 18:00:00,20260624,2026-06-24_18-00-00.json,600584,长电科技,buy_passed,buy,A,96.0,0.582,1.999,,,,,20260625,100.0,104.17,103.25,106.64,4.17,3.25,6.64,11.11,-7.6,-7.6,100.0,100.0,82.0,60.0,48.0,57.0,62.0,68.0,46.28,60.0,19.4,10.0,True,False,10.0,0.0,82.44,15.0,3,T+3_ok,,,,96.0,,,,,ok,62.8,80.44,84.63,81.62,77.91,1.16,1.28,1.02,87.55,,103.64,106.62,80.44,94.7,87.11,-8.02,103.64,106.62,1.18,True,True,,momentum,
2026-06-24 18:00:00,20260624,2026-06-24_18-00-00.json,603005,晶方科技,buy_passed,buy,A,95.0,0.6556,2.527,,,,,20260625,50.65,50.0,48.97,52.65,-1.2833,-3.3169,3.9487,9.1017,-7.0484,-7.0484,100.0,100.0,82.0,52.08,60.0,63.0,62.0,68.0,52.82,60.0,12.5,4.93,True,False,10.0,0.0,84.36,15.0,3,T+3_ok,,,,95.0,,,,,ok,70.0,44.24,46.41,45.3,43.64,1.65,1.75,0.98,45.15,,55.23,57.09,44.24,49.63,44.93,-9.48,55.23,57.09,1.19,True,True,,momentum,
2026-06-24 18:00:00,20260624,2026-06-24_18-00-00.json,300394,天孚通信,buy_passed,buy,A,99.5,0.6556,1.694,,,,,20260625,318.08,341.97,295.15,285.0,7.5107,-7.2089,-10.3999,8.7777,-11.9718,-11.9718,100.0,100.0,50.0,60.0,76.0,47.0,62.0,65.0,55.52,60.0,2.4,4.57,True,False,10.0,0.0,85.23,15.0,3,T+3_ok,,,,99.5,,,,,ok,42.5,318.46,319.43,315.9,308.8,0.86,0.83,1.04,298.38,,340.49,351.2,318.46,325.28,296.88,-8.73,340.49,351.2,0.54,False,False,"['rr_below_1.0', 'volume_ratio_below_1.0']",momentum,
2026-06-24 18:00:00,20260624,2026-06-24_18-00-00.json,002185,华天科技,buy_passed,buy,A,99.0,0.6004,1.946,,,,,20260625,21.38,22.4,21.92,21.86,4.7708,2.5257,2.2451,11.5996,-3.7418,-3.7418,100.0,100.0,82.0,60.0,30.0,57.0,62.0,68.0,55.12,60.0,12.5,7.37,True,False,10.0,0.0,84.35,15.0,3,T+3_ok,,,,99.0,,,,,ok,57.9,19.15,19.33,18.81,18.19,1.28,1.37,1.0,19.5,,21.94,23.44,19.15,20.98,19.4,-7.51,21.94,23.44,0.61,False,False,['rr_below_1.0'],momentum,
