replay,trigger_date,symbol_code,symbol_name,signal_group,buy_score,entry_delta,new_buy_score,entry_quality,crowding,t1,t3,t5
agents_workspace_replays/current_no_future_june17_30,20260617,1389,广合科技,buy_passed,99.5,0.0,99.5,60.0,0.0,-2.1155,-11.1626,-2.4372
agents_workspace_replays/current_no_future_june17_30,20260618,2916,深南电路,buy_passed,99.0,0.0,99.0,60.0,0.0,-1.0986,-6.6001,-6.2541
agents_workspace_replays/current_no_future_june17_30,20260618,688256,寒武纪,buy_passed,99.0,-16.0,83.0,20.0,0.0,-1.5547,-1.8243,-1.4865
agents_workspace_replays/current_no_future_june17_30,20260618,2837,英维克,buy_passed,99.5,0.0,99.5,60.0,0.0,3.6888,11.1469,10.7579
agents_workspace_replays/current_no_future_june17_30,20260622,300502,新易盛,buy_passed,99.5,-2.0,97.5,55.0,0.0,-4.0,6.1722,-3.1374
agents_workspace_replays/current_no_future_june17_30,20260622,300394,天孚通信,buy_passed,99.5,-4.0,95.5,50.0,0.0,-4.6179,4.8602,-9.4965
agents_workspace_replays/current_no_future_june17_30,20260622,300308,中际旭创,buy_passed,91.0,-8.0,83.0,40.0,0.0,-6.0925,-5.1326,-12.5448
agents_workspace_replays/current_no_future_june17_30,20260622,725,京东方A,watch,95.0,0.0,95.0,60.0,0.0,-1.1679,9.781,16.0584
agents_workspace_replays/current_no_future_june17_30,20260624,600584,长电科技,buy_passed,96.0,-9.0,87.0,37.5,55.0,4.17,3.25,6.64
agents_workspace_replays/current_no_future_june17_30,20260624,603005,晶方科技,buy_passed,95.0,-2.0,93.0,55.0,55.0,-1.2833,-3.3169,3.9487
agents_workspace_replays/current_no_future_june17_30,20260624,300394,天孚通信,buy_passed,99.5,0.0,99.5,60.0,0.0,7.5107,-7.2089,-10.3999
agents_workspace_replays/current_no_future_june17_30,20260624,2185,华天科技,buy_passed,99.0,0.0,99.0,60.0,0.0,4.7708,2.5257,2.2451
agents_workspace_replays/current_no_future_june17_30,20260624,300563,神宇股份,watch,82.11,0.0,82.11,60.0,0.0,-4.0285,-15.6506,5.9893
agents_workspace_replays/current_no_future_june17_30,20260624,688787,海天瑞声,consensus,,0.0,,60.0,0.0,-3.1724,-12.0345,-8.3448
agents_workspace_replays/current_no_future_june17_30,20260625,300502,新易盛,buy_passed,99.0,-2.0,97.0,55.0,0.0,-5.3512,1.505,-14.8829
agents_workspace_replays/current_no_future_june17_30,20260625,2463,沪电股份,buy_passed,99.0,0.0,99.0,60.0,0.0,-3.726,-0.1177,-14.6882
agents_workspace_replays/current_no_future_june17_30,20260625,2156,通富微电,buy_passed,96.0,0.0,96.0,60.0,0.0,-5.7895,-0.1711,-11.3553
agents_workspace_replays/current_no_future_june17_30,20260625,2384,东山精密,buy_passed,96.0,0.0,96.0,60.0,0.0,-2.8657,-2.1082,-17.2836
agents_workspace_replays/current_no_future_june17_30,20260625,603690,至纯科技,buy_passed,87.0,-11.0,76.0,32.5,55.0,4.3824,4.1176,4.2353
agents_workspace_replays/current_no_future_june17_30,20260629,2384,东山精密,buy_passed,99.5,0.0,99.5,60.0,0.0,5.9829,-10.4468,-9.3237
agents_workspace_replays/current_no_future_june17_30,20260629,605358,立昂微,buy_passed,95.0,-2.0,93.0,55.0,55.0,0.7807,-6.6884,-22.7846
agents_workspace_replays/current_no_future_june17_30,20260629,2281,光迅科技,buy_passed,99.5,0.0,99.5,60.0,0.0,8.3632,-7.9794,-11.8426
agents_workspace_replays/current_no_future_june17_30,20260629,2463,沪电股份,buy_passed,99.5,0.0,99.5,60.0,0.0,8.292,-7.5053,-8.696
agents_workspace_replays/current_no_future_june17_30,20260629,2378,章源钨业,buy_passed,99.5,0.0,99.5,60.0,0.0,0.5405,6.3964,-8.7988
agents_workspace_replays/current_no_future_june17_30,20260629,688608,恒玄科技,buy_passed,99.5,0.0,99.5,60.0,0.0,6.8194,2.3002,-0.2345
agents_workspace_replays/current_no_future_june17_30,20260629,688721,龙图光罩,buy_passed,87.0,-4.0,83.0,50.0,55.0,4.25,8.9643,-1.7857
agents_workspace_replays/current_no_future_june17_30,20260629,688584,上海合晶,buy_passed,87.0,-11.0,76.0,32.5,55.0,1.4144,0.0849,-12.6733
agents_workspace_replays/current_no_future_june17_30,20260629,790,华神科技,consensus,,0.0,,60.0,0.0,-2.7855,3.6212,4.7354
agents_workspace_replays/current_no_future_june17_30,20260629,2895,川恒股份,consensus,,0.0,,60.0,0.0,-1.6835,3.6364,6.2626
agents_workspace_replays/current_no_future_june17_30,20260630,688216,气派科技,buy_passed,95.0,-10.0,85.0,35.0,80.0,1.6889,-2.3787,-10.49
agents_workspace_replays/current_no_future_june17_30,20260630,688135,利扬芯片,buy_passed,87.0,-10.0,77.0,35.0,80.0,-3.2624,-9.7872,-6.6903
agents_workspace_replays/current_no_future_june17_30,20260630,688721,龙图光罩,buy_passed,87.0,-13.0,74.0,27.5,80.0,17.3559,-4.8983,-5.4407
agents_workspace_replays/current_no_future_june17_30,20260630,688372,伟测科技,buy_passed,87.0,-13.0,74.0,27.5,80.0,-6.5263,-14.5789,-4.1368
agents_workspace_replays/current_system_0810_0813,20260810,603663,三祥新材,buy_passed,95.84,-6.0,89.84,45.0,0.0,0.9988,-0.4744,11.5106
agents_workspace_replays/current_system_0810_0813,20260810,601869,长飞光纤,buy_passed,99.5,-6.0,93.5,45.0,0.0,0.5749,1.0509,12.7365
agents_workspace_replays/current_system_0810_0813,20260810,2902,铭普光磁,buy_passed,92.36,0.0,92.36,60.0,0.0,0.7475,3.0731,8.9286
agents_workspace_replays/current_system_0810_0813,20260810,603259,药明康德,buy_passed,87.0,-11.0,76.0,32.5,55.0,-0.1247,1.1969,4.0396
agents_workspace_replays/current_system_0810_0813,20260810,2156,通富微电,watch,77.17,0.0,77.17,60.0,0.0,-0.6881,-0.4321,10.8337
agents_workspace_replays/current_system_0810_0813,20260810,2602,世纪华通,consensus,,0.0,,60.0,0.0,-1.3194,-4.6528,-2.2917
agents_workspace_replays/current_system_0810_0813,20260810,603296,华勤技术,consensus,,-2.0,,55.0,10.0,-0.3114,7.0877,8.2461
agents_workspace_replays/current_system_0810_0813,20260810,688525,佰维存储,consensus,,-4.0,,50.0,0.0,1.3227,-1.6283,7.4843
agents_workspace_replays/current_system_0810_0813,20260810,688320,禾川科技,consensus,,1.0,,62.5,0.0,4.2199,10.3261,15.8568
agents_workspace_replays/current_system_0810_0813,20260811,300149,睿智医药,buy_passed,99.0,-4.0,95.0,50.0,55.0,0.7463,4.4776,
agents_workspace_replays/current_system_0810_0813,20260811,300683,海特生物,buy_passed,99.0,-4.0,95.0,50.0,55.0,-1.1251,1.2574,
agents_workspace_replays/current_system_0810_0813,20260811,603456,九洲药业,buy_passed,99.5,1.0,99.5,62.5,55.0,1.3855,5.5422,
agents_workspace_replays/current_system_0810_0813,20260811,300404,博济医药,buy_passed,95.0,-9.0,86.0,37.5,55.0,2.906,48.2051,
agents_workspace_replays/current_system_0810_0813,20260811,300759,康龙化成,buy_passed,95.0,-9.0,86.0,37.5,55.0,0.7361,3.3018,
agents_workspace_replays/current_system_0810_0813,20260811,603535,XD嘉诚国,consensus,,1.0,,62.5,10.0,1.0786,-0.4622,
agents_workspace_replays/current_system_0810_0813,20260811,601607,上海医药,consensus,,1.0,,62.5,0.0,-0.5405,-0.3604,
agents_workspace_replays/current_system_0810_0813,20260811,2432,九安医疗,consensus,,0.0,,60.0,0.0,1.1138,3.2144,
agents_workspace_replays/current_system_0810_0813,20260811,422,湖北宜化,consensus,,0.0,,60.0,0.0,0.3861,-1.8533,
agents_workspace_replays/current_system_0810_0813,20260811,603296,华勤技术,consensus,,0.0,,60.0,10.0,-1.0518,7.6384,
