date,code,name,quantitative_score,rsi,ma20_deviation_pct,volume_ratio,stock_return_20d_pct,stock_return_60d_pct,relative_strength_20d_pct,relative_strength_60d_pct,weekly_close_vs_ma20_pct,weekly_ma20_slope_pct,short_score,long_score,extension_risk,forward_opportunity_score,opportunity_rank_score,room_score,lt_ma50_deviation_pct,lt_ma200_deviation_pct,lt_distance_to_52w_high_pct,t3,t5,turnover_pct,turnover_5d_avg_pct,turnover_20d_avg_pct,turnover_ratio_5_20,mom_3d_pct,mom_5d_pct,dist_20d_high_pct,dist_60d_high_pct,boll_pct_b,boll_above_pct
20260617,300093,金刚光伏,82.96,58.6,8.4,2.24,12.85,22.901,11.233,17.039,20.081,4.614,81.25,78.73,10.0,83.5,82.96,90.0,11.96,45.82,0.0,-9.9,2.24,0.0655,0.0605,0.026964999999999996,2.244,15.716,8.491,-3.4,-3.4,0.928,False
20260618,300093,金刚光伏,78.85,54.8,3.4,2.32,9.301,21.714,7.427,13.895,15.395,4.354,81.0,75.25,0.0,85.84,78.85,100.0,6.88,39.3,-4.14,3.36,9.12,0.041299999999999996,0.0663,0.02857,2.321,-0.216,0.652,-7.4,-7.4,0.678,False
20260624,300093,金刚光伏,80.04,54.6,8.4,1.48,18.269,35.537,17.834,25.072,20.769,4.569,79.75,78.73,35.0,75.17,80.04,65.0,12.31,46.58,0.0,10.68,9.78,0.07139999999999999,0.0496,0.033495,1.481,6.263,2.714,-1.6,-1.6,0.973,False
20260625,300093,金刚光伏,81.16,56.5,7.8,1.39,19.854,36.635,18.394,25.999,21.184,4.592,79.75,78.73,10.0,82.67,81.16,90.0,12.13,46.56,0.0,3.64,-4.9,0.07139999999999999,0.050780000000000006,0.036485000000000004,1.392,8.48,2.236,-5.038,-5.038,0.959,False
20260626,300093,金刚光伏,80.65,60.0,12.5,1.53,16.457,49.597,17.271,40.871,27.067,4.921,77.75,78.73,20.0,78.57,80.65,80.0,17.19,53.51,0.0,5.62,-1.02,0.0892,0.06035999999999999,0.03946000000000001,1.53,19.347,12.181,-5.529,-5.529,1.117,True
20260629,300093,金刚光伏,79.55,65.3,16.7,1.65,23.684,50.858,23.426,41.433,30.443,6.025,77.75,78.97,45.0,71.11,79.55,55.0,22.12,60.4,0.0,-9.14,-12.69,0.0891,0.07088,0.04289,1.653,10.813,19.772,-0.837,-0.837,1.173,True
20260630,300093,金刚光伏,81.08,64.0,11.2,1.69,20.275,35.294,18.49,24.442,25.78,5.761,77.75,78.61,10.0,81.55,81.08,90.0,16.73,53.63,-3.82,-1.32,-10.16,0.061500000000000006,0.07652,0.045285000000000006,1.69,6.197,20.496,-4.62,-4.62,0.932,False
20260803,300093,金刚光伏,65.2,57.3,7.9,1.23,-3.071,-2.523,3.1,4.769,3.971,2.694,69.75,70.75,10.0,,,,0.49,23.36,-17.79,0.66,3.59,0.039,0.05249999999999999,0.04279,1.227,5.857,10.231,-6.625,-18.804,0.766,False
20260804,300093,金刚光伏,65.0,61.5,14.9,1.16,3.684,5.56,7.677,11.123,10.59,3.054,71.5,73.75,20.0,,,,6.99,31.2,-12.25,-2.14,-3.74,0.0584,0.05134,0.04406500000000001,1.165,20.747,11.985,-1.523,-13.333,0.982,False
20260805,300093,金刚光伏,65.2,60.8,11.7,1.18,0.736,4.728,2.784,10.658,7.703,2.897,69.0,70.75,10.0,,,,3.81,27.17,-14.67,1.61,-0.04,0.051,0.0538,0.04540500000000001,1.185,4.586,9.872,-4.24,-15.725,0.875,False
