date,code,name,ret_3d_pct,ret_5d_pct,ma20_deviation_pct,rsi,volume_ratio,opportunity_rank_score,short_score,sector_1d_return,sector_3d_return,sector_5d_return,sector_10d_return,sector_rank,t3,t5
20260617,300093,金刚光伏,15.716,8.491,8.4,58.6,2.24,82.96,81.25,,,,,,-9.9,2.24
20260617,000962,东方钽业,8.924,17.675,5.2,45.6,1.25,82.82,82.0,,,,,,16.93,34.95
20260617,002674,兴业科技,1.687,6.063,5.7,59.5,1.26,82.55,82.0,-0.758,-0.758,-0.758,-0.758,43.0,35.21,63.61
20260617,002203,海亮股份,-1.029,19.896,12.0,58.5,1.7,81.38,78.25,,,,,,6.35,4.82
20260617,603681,永冠新材,5.242,17.993,8.6,56.6,1.28,81.12,79.75,,,,,,-7.28,-9.06
20260617,688733,壹石通,9.13,10.088,13.2,60.2,1.53,81.12,77.75,,,,,,-2.07,-0.1
20260617,603527,众源新材,8.13,7.732,7.9,51.9,1.29,81.11,79.75,,,,,,-8.39,-3.16
20260617,603335,迪生力,5.466,13.655,14.0,64.1,1.62,81.09,77.75,,,,,,7.0,7.95
20260617,600255,鑫科材料,5.301,8.978,7.4,59.6,1.22,80.81,79.75,,,,,,6.51,-6.05
20260617,300554,三超新材,6.499,3.709,5.2,52.5,1.1,80.01,79.75,,,,,,-0.53,-7.2
20260617,601958,金钼股份,11.744,35.669,20.0,55.0,1.53,79.86,78.25,-2.309,-2.309,-2.309,-2.309,85.0,-2.49,-5.66
20260617,603979,金诚信,9.33,16.972,8.2,56.1,1.22,79.72,79.75,,,,,,-7.58,-16.21
20260617,301086,鸿富瀚,26.785,45.256,26.1,69.7,1.58,79.63,77.75,0.858,0.858,0.858,0.858,10.0,-4.77,1.41
20260617,605589,圣泉集团,13.855,11.69,25.7,74.0,1.5,79.63,77.75,,,,,,2.34,12.84
20260617,688432,有研硅,25.107,10.034,25.2,65.4,1.53,79.63,77.75,3.974,3.974,3.974,3.974,3.0,-6.34,-0.39
20260617,300263,隆华科技,7.707,40.694,26.8,69.5,1.91,79.63,77.75,,,,,,-6.07,-4.8
20260617,600206,有研新材,20.612,23.418,28.7,70.2,1.64,79.61,77.75,3.974,3.974,3.974,3.974,3.0,24.65,44.78
20260617,002119,康强电子,3.786,16.961,25.3,70.8,1.53,79.61,77.75,3.974,3.974,3.974,3.974,3.0,-1.07,3.06
20260617,301536,星宸科技,20.958,28.425,25.0,69.8,1.63,79.59,77.75,,,,,,1.91,16.16
20260617,688530,欧莱新材,13.497,15.122,22.2,62.1,1.79,79.57,77.75,3.974,3.974,3.974,3.974,3.0,26.8,40.16
20260617,301323,新莱福,-0.677,26.015,18.1,65.2,1.74,79.55,77.75,,,,,,-7.58,-15.45
20260617,688167,炬光科技,20.293,41.38,21.8,62.4,1.59,79.54,77.75,,,,,,-9.26,-4.38
20260617,600259,中稀有色,12.529,17.521,16.8,67.6,1.51,79.49,77.75,,,,,,1.02,-0.78
20260617,688010,福光股份,0.084,44.087,18.2,55.4,1.83,79.38,78.25,,,,,,-6.19,-3.09
20260617,300709,精研科技,26.133,25.82,23.9,66.9,1.64,79.36,77.75,0.858,0.858,0.858,0.858,10.0,5.58,6.64
20260617,603303,得邦照明,-5.291,4.206,11.8,64.2,1.26,79.35,76.25,,,,,,-2.94,-7.13
20260617,000831,中国稀土,5.445,9.269,11.0,64.2,1.59,79.29,77.75,,,,,,1.83,-1.64
20260617,600301,华锡有色,5.413,20.636,11.5,64.1,1.27,79.28,76.25,,,,,,-2.62,-9.53
20260617,600459,贵研铂业,6.184,16.342,14.1,65.1,1.33,79.22,76.25,,,,,,-0.58,2.23
20260617,301418,协昌科技,12.109,2.786,13.6,64.1,1.31,79.2,76.25,,,,,,-1.74,9.15
20260617,603139,康惠股份,20.97,16.499,15.3,67.5,1.59,79.14,77.75,,,,,,-9.74,-13.59
20260617,688233,神工股份,16.916,34.62,29.6,70.4,1.54,79.12,77.75,3.974,3.974,3.974,3.974,3.0,3.22,26.96
20260617,603155,新亚强,10.098,8.962,21.0,69.4,2.11,79.05,77.75,,,,,,-12.45,-4.05
