code,date,entry_delta,entry_quality,crowding,crowding_mean,t3,t5,ret_5d_pct,sector_5d_return
300093,20260617,-2.0,55.0,10.0,,-9.9,2.24,8.491,
962,20260617,-4.0,50.0,10.0,,16.93,34.95,17.675,
2674,20260617,1.0,62.5,10.0,-0.758,35.21,63.61,6.063,-0.758
2203,20260617,-8.0,40.0,10.0,,6.35,4.82,19.896,
603681,20260617,-4.0,50.0,10.0,,-7.28,-9.06,17.993,
688733,20260617,-2.0,55.0,10.0,,-2.07,-0.1,10.088,
603527,20260617,1.0,62.5,10.0,,-8.39,-3.16,7.732,
603335,20260617,-2.0,55.0,10.0,,7.0,7.95,13.655,
600255,20260617,-2.0,55.0,10.0,,6.51,-6.05,8.978,
300554,20260617,1.0,62.5,10.0,,-0.53,-7.2,3.709,
601958,20260617,-7.0,42.5,10.0,-2.309,-2.49,-5.66,35.669,-2.309
603979,20260617,-4.0,50.0,10.0,,-7.58,-16.21,16.972,
301086,20260617,-8.0,40.0,10.0,0.858,-4.77,1.41,45.256,0.858
605589,20260617,-4.0,50.0,10.0,,2.34,12.84,11.69,
688432,20260617,-2.0,55.0,30.0,3.974,-6.34,-0.39,10.034,3.974
300263,20260617,-8.0,40.0,10.0,,-6.07,-4.8,40.694,
600206,20260617,-8.0,40.0,30.0,3.974,24.65,44.78,23.418,3.974
2119,20260617,-4.0,50.0,30.0,3.974,-1.07,3.06,16.961,3.974
301536,20260617,-7.0,42.5,10.0,,1.91,16.16,28.425,
688530,20260617,-3.0,52.5,30.0,3.974,26.8,40.16,15.122,3.974
301323,20260617,-7.0,42.5,10.0,,-7.58,-15.45,26.015,
688167,20260617,-7.0,42.5,10.0,,-9.26,-4.38,41.38,
600259,20260617,-4.0,50.0,10.0,,1.02,-0.78,17.521,
688010,20260617,-7.0,42.5,10.0,,-6.19,-3.09,44.087,
300709,20260617,-7.0,42.5,10.0,0.858,5.58,6.64,25.82,0.858
603303,20260617,1.0,62.5,10.0,,-2.94,-7.13,4.206,
831,20260617,-2.0,55.0,10.0,,1.83,-1.64,9.269,
600301,20260617,-8.0,40.0,10.0,,-2.62,-9.53,20.636,
600459,20260617,-4.0,50.0,10.0,,-0.58,2.23,16.342,
301418,20260617,1.0,62.5,10.0,,-1.74,9.15,2.786,
603139,20260617,-4.0,50.0,10.0,,-9.74,-13.59,16.499,
688233,20260617,-8.0,40.0,30.0,3.974,3.22,26.96,34.62,3.974
603155,20260617,-3.0,52.5,10.0,,-12.45,-4.05,8.962,
603261,20260617,-8.0,40.0,10.0,,17.48,21.98,21.747,
2263,20260617,-2.0,55.0,10.0,,-1.64,-7.94,9.25,
603271,20260617,-6.0,45.0,10.0,-1.011,-13.11,-15.59,27.67,-1.011
603733,20260617,-2.0,55.0,10.0,,-14.39,-6.75,8.806,
600392,20260617,-9.0,37.5,10.0,,7.07,11.15,21.037,
603993,20260617,-8.0,40.0,10.0,,-1.42,-8.6,20.131,
