date,code,name,amount,quantitative_score,close,change_pct,ma20_deviation_pct,rsi,macd,atr_pct,daily_volatility_20d_pct,volume_ratio,bollinger,daily_entry_score,ma50_deviation_pct,ma200_deviation_pct,distance_to_52w_high_pct,ma50_slope_pct,weekly_trend_score,weekly_close_vs_ma20_pct,weekly_ma20_slope_pct,weinstein_stage_score,weinstein_close_vs_ma30_pct,weinstein_ma30_slope_pct,relative_strength_20d_pct,relative_strength_60d_pct,stock_return_20d_pct,stock_return_60d_pct,long_score,short_score,extension_risk,room_score,forward_opportunity_score,opportunity_rank_score,scr_weinstein,scr_weekly,scr_relative,scr_daily_entry,scr_extension,t3,t5,month
20260617,300093,金刚光伏,28812.0,82.96,24.15,0.84,8.4,58.6,0.221,7.223,4.408,2.24,中上,82.0,11.96,45.82,0.0,2.08,100.0,20.081,4.614,100.0,28.638,9.687,11.233,17.039,12.85,22.901,78.73,81.25,10.0,90.0,83.5,82.96,15.0,20,20,20,3.0,-9.9,2.24,202606
20260617,000962,东方钽业,196339.0,82.82,62.25,-3.11,5.2,45.6,0.424,7.648,5.863,1.25,中上,82.0,19.38,63.49,-6.18,3.11,100.0,24.532,9.816,100.0,42.06,13.152,11.663,29.489,13.326,37.084,78.85,82.0,0.0,100.0,86.93,82.82,15.0,20,20,20,0.0,,,202606
20260617,002674,兴业科技,102591.0,82.55,16.27,1.62,5.7,59.5,0.151,6.05,3.423,1.26,中上,82.0,14.07,15.49,-8.34,2.53,100.0,15.986,1.103,100.0,16.617,1.543,10.466,16.319,12.13,23.915,76.6,82.0,0.0,100.0,86.59,82.55,15.0,20,20,20,0.0,,,202606
20260617,002203,海亮股份,28489.0,81.38,23.08,-5.33,12.0,58.5,0.797,6.66,5.489,1.7,中上,82.0,20.24,60.6,-6.45,4.88,100.0,34.011,9.252,100.0,46.558,11.704,10.539,68.051,12.202,75.647,78.85,78.25,10.0,90.0,81.86,81.38,15.0,20,20,20,3.0,,,202606
20260617,603681,永冠新材,15542.0,81.12,26.1,-2.72,8.6,56.6,0.238,8.205,4.735,1.28,中上,82.0,25.65,37.75,-4.36,4.2,100.0,28.117,4.819,100.0,30.884,5.62,19.732,44.502,21.395,52.098,78.43,79.75,10.0,90.0,82.63,81.12,15.0,20,20,20,3.0,-7.28,-9.06,202606
20260617,688733,壹石通,27483.0,81.12,42.67,4.71,13.2,60.2,0.631,8.082,5.04,1.53,上轨上方,82.0,27.07,41.17,0.0,4.6,100.0,34.303,4.78,100.0,35.867,5.343,13.755,44.634,15.418,52.23,78.91,77.75,10.0,90.0,81.6,81.12,15.0,20,20,20,3.0,-2.07,-0.1,202606
20260617,603527,众源新材,4443.0,81.11,14.63,-1.15,7.9,51.9,0.178,7.343,4.578,1.29,中上,82.0,15.1,26.54,-1.15,2.49,100.0,21.942,4.367,100.0,25.853,2.809,10.358,19.511,12.021,27.107,78.28,79.75,10.0,90.0,82.6,81.11,15.0,20,20,20,3.0,-8.39,-3.16,202606
20260617,603335,迪生力,6583.0,81.09,8.49,-3.63,14.0,64.1,0.3,7.37,5.0,1.62,中上,82.0,20.45,38.12,-4.18,3.36,100.0,27.784,6.194,100.0,33.26,4.147,16.253,34.854,17.917,42.45,78.67,77.75,10.0,90.0,81.56,81.09,15.0,20,20,20,3.0,7.0,7.95,202606
20260617,600255,鑫科材料,16761.0,80.81,4.37,-1.35,7.4,59.6,0.017,8.222,5.804,1.22,中上,82.0,15.12,12.67,-9.52,2.57,100.0,17.237,0.689,100.0,15.101,1.074,18.722,21.694,20.386,29.29,75.85,79.75,10.0,90.0,82.24,80.81,15.0,20,20,20,3.0,6.51,-6.05,202606
20260617,300554,三超新材,5979.0,80.01,30.48,-0.88,5.2,52.5,0.028,7.459,4.414,1.1,中上,82.0,16.53,21.41,-0.88,3.2,100.0,19.588,3.469,100.0,21.951,1.905,14.451,17.527,16.114,25.123,77.92,79.75,0.0,100.0,85.55,80.01,15.0,20,20,20,0.0,-0.53,-7.2,202606
20260617,601958,金钼股份,66414.0,79.86,28.07,-1.44,20.0,55.0,1.173,6.865,5.991,1.53,中上,82.0,32.3,58.2,-1.44,3.93,100.0,33.163,6.946,100.0,46.043,9.128,34.401,40.297,36.064,47.893,79.33,78.25,45.0,55.0,71.44,79.86,15.0,20,20,20,7.0,-2.49,-5.66,202606
20260617,603979,金诚信,89550.0,79.72,76.64,6.34,8.2,56.1,0.562,6.022,4.729,1.22,中上,82.0,16.29,15.17,-12.05,2.41,70.0,15.363,-1.061,100.0,12.253,1.786,21.177,34.251,22.84,41.847,70.66,79.75,20.0,80.0,78.46,79.72,15.0,18,20,20,5.0,-7.58,-16.21,202606
20260617,301086,鸿富瀚,32633.0,79.63,206.99,4.41,26.1,69.7,7.795,5.793,5.151,1.58,上轨上方,82.0,41.76,130.56,0.0,6.37,100.0,66.146,15.796,100.0,91.72,21.082,15.818,130.242,17.481,137.838,79.6,77.75,45.0,55.0,71.2,79.63,15.0,20,20,20,7.0,-4.77,1.41,202606
20260617,605589,圣泉集团,138854.0,79.63,66.4,-0.98,25.7,74.0,2.557,7.467,5.621,1.5,中上,82.0,50.39,100.74,-0.98,8.42,100.0,70.903,15.755,100.0,89.408,14.29,38.955,109.256,40.618,116.852,79.6,77.75,45.0,55.0,71.2,79.63,15.0,20,20,20,7.0,2.34,12.84,202606
20260617,688432,有研硅,258916.0,79.63,26.21,2.62,25.2,65.4,1.018,9.279,7.24,1.53,上轨上方,82.0,43.98,80.02,0.0,6.18,100.0,56.286,10.289,100.0,69.337,9.473,23.027,71.312,24.691,78.908,79.6,77.75,45.0,55.0,71.2,79.63,15.0,20,20,20,7.0,-6.34,-0.39,202606
20260617,300263,隆华科技,47537.0,79.63,16.63,3.42,26.8,69.5,0.897,6.971,6.603,1.91,上轨上方,82.0,41.28,68.44,0.0,5.54,100.0,44.058,8.186,100.0,56.739,9.269,19.194,54.807,20.858,62.402,79.6,77.75,45.0,55.0,71.2,79.63,15.0,20,20,20,7.0,-6.07,-4.8,202606
20260617,600206,有研新材,440688.0,79.61,39.79,1.74,28.7,70.2,1.985,6.445,5.58,1.64,上轨上方,82.0,41.15,71.78,0.0,5.94,100.0,53.692,8.972,100.0,64.641,7.498,28.03,84.071,29.694,91.667,79.42,77.75,45.0,55.0,71.18,79.61,15.0,20,20,20,7.0,24.65,44.78,202606
20260617,002119,康强电子,67789.0,79.61,33.17,-0.27,25.3,70.8,1.876,6.951,5.372,1.53,中上,82.0,39.44,63.75,-1.75,5.53,100.0,41.45,7.5,100.0,53.931,7.28,36.143,40.551,37.806,48.146,79.42,77.75,45.0,55.0,71.18,79.61,15.0,20,20,20,7.0,,,202606
20260617,301536,星宸科技,172059.0,79.59,110.06,-0.26,25.0,69.8,6.172,5.285,5.353,1.63,上轨上方,82.0,30.61,58.95,-0.26,3.99,100.0,37.877,6.694,100.0,49.814,8.152,15.998,38.936,17.661,46.532,79.33,77.75,45.0,55.0,71.16,79.59,15.0,20,20,20,7.0,1.91,16.16,202606
20260617,688530,欧莱新材,61264.0,79.57,64.33,1.85,22.2,62.1,2.396,8.977,7.896,1.79,中上,82.0,35.82,132.0,-4.07,7.27,100.0,57.674,21.999,100.0,95.391,22.782,14.603,115.617,16.266,123.213,79.12,77.75,45.0,55.0,71.13,79.57,15.0,20,20,20,7.0,26.8,40.16,202606
