group,date,code,name,T3,T5,rsi,ma20_deviation_pct,volume_ratio,stock_return_20d_pct,relative_strength_20d_pct,weekly_trend_score,daily_entry_score,quantitative_score,macd
missed,20260629,603335,迪生力,10.85,4.11,59.6,3.2,1.64,11.973,11.261,100.0,82.0,,0.075
missed,20260629,688291,金橙子,5.05,3.17,57.1,4.8,1.8,14.12,13.409,100.0,82.0,,1.244
missed,20260626,300665,飞鹿股份,-4.1,-7.52,56.3,3.7,1.92,10.769,10.292,100.0,82.0,,0.067
missed,20260618,603733,仙鹤股份,-8.03,-0.31,64.9,5.2,1.66,29.79,26.477,76.0,82.0,,0.4
missed,20260629,300665,飞鹿股份,-4.48,-9.05,58.4,6.0,1.8,10.568,10.46,100.0,82.0,,0.013
missed,20260617,300093,金刚光伏,-9.9,2.24,58.6,8.4,2.24,12.85,11.233,100.0,82.0,,0.221
missed,20260622,603335,迪生力,13.75,2.88,58.0,8.4,2.07,15.169,10.74,100.0,82.0,,0.178
missed,20260624,601958,金钼股份,8.2,3.9,59.4,9.2,1.52,18.178,18.275,100.0,82.0,,0.731
missed,20260617,000962,东方钽业,16.93,34.95,45.6,5.2,1.25,13.326,11.663,100.0,82.0,,0.424
missed,20260623,688448,磁谷科技,3.15,11.31,52.1,4.8,1.21,10.156,10.201,100.0,82.0,,0.518
missed,20260618,300998,宁波方正,-2.86,-1.48,58.1,6.9,1.71,15.221,11.907,100.0,82.0,,0.697
missed,20260623,688733,壹石通,-5.1,0.88,55.5,5.5,1.41,13.985,14.03,100.0,82.0,,0.697
missed,20260624,603335,迪生力,-3.86,8.06,61.1,6.6,1.95,24.361,24.459,100.0,82.0,,0.15
missed,20260626,603976,正川股份,8.72,14.4,58.1,3.3,1.45,17.946,18.882,100.0,82.0,,0.204
missed,20260624,605198,安德利,-10.78,-6.95,63.6,8.8,1.89,24.43,24.528,100.0,82.0,,1.305
missed,20260629,301095,广立微,7.03,7.99,57.4,5.4,1.41,11.049,10.338,100.0,82.0,,1.013
missed,20260618,603335,迪生力,0.36,9.71,60.4,9.4,1.83,18.786,15.472,100.0,82.0,,0.237
missed,20260626,603991,领先股份,19.92,17.14,64.5,8.3,1.56,17.051,17.987,100.0,82.0,,2.897
missed,20260625,603991,领先股份,12.6,20.53,60.3,7.8,1.65,16.659,14.378,100.0,82.0,,3.646
missed,20260629,002925,盈趣科技,1.92,-3.89,59.6,4.7,1.33,22.56,21.849,100.0,82.0,,0.451
missed,20260629,002963,豪尔赛,3.93,-4.43,65.6,8.8,1.51,23.716,23.004,100.0,82.0,,0.684
missed,20260626,000960,锡业股份,-2.65,-6.88,56.2,5.2,1.27,9.827,10.763,100.0,82.0,,0.941
missed,20260623,002137,实益达,8.04,12.75,56.6,5.6,1.2,18.451,18.496,100.0,82.0,,0.056
missed,20260624,600259,中稀有色,-9.08,-6.94,64.4,9.7,1.54,21.741,21.838,100.0,82.0,,3.887
missed,20260623,002263,大东南,-14.66,-20.43,58.2,6.2,1.5,10.209,10.254,100.0,82.0,,0.13
missed,20260629,688646,逸飞激光,4.68,4.07,68.6,4.0,1.25,12.081,11.369,100.0,82.0,,0.741
missed,20260617,002674,兴业科技,35.21,63.61,59.5,5.7,1.26,12.13,10.466,100.0,82.0,,0.151
missed,20260626,002520,日发精机,2.77,12.54,58.3,4.7,1.3,11.889,12.825,100.0,82.0,,0.106
missed,20260623,300488,恒锋工具,-0.48,17.63,64.8,9.3,1.53,14.136,14.181,100.0,82.0,,0.908
missed,20260623,003013,地铁设计,-4.56,-9.31,62.8,5.8,1.89,13.404,13.449,100.0,82.0,,0.155
missed,20260629,301548,崇德科技,5.15,7.17,65.1,7.3,2.05,11.663,10.952,100.0,82.0,,3.465
missed,20260629,002536,飞龙股份,4.98,22.22,61.5,3.7,1.39,16.428,15.716,100.0,82.0,,0.842
missed,20260629,002876,三利谱,-0.77,-9.17,60.2,5.0,1.32,23.328,22.617,100.0,82.0,,0.446
missed,20260625,300665,飞鹿股份,-6.23,-8.07,60.2,9.0,1.99,21.008,16.052,100.0,82.0,,0.191
missed,20260625,000831,中国稀土,-3.5,-7.48,55.9,3.5,1.27,16.856,14.575,100.0,82.0,,0.64
missed,20260626,002989,中天精装,-0.18,-10.09,61.7,8.4,1.5,13.126,14.062,100.0,82.0,,1.336
missed,20260624,300488,恒锋工具,15.23,21.22,63.3,5.7,1.4,12.896,12.993,100.0,82.0,,0.4
missed,20260625,300488,恒锋工具,20.32,21.15,63.2,4.9,1.23,17.29,15.009,100.0,82.0,,0.027
missed,20260629,002989,中天精装,-4.99,2.57,63.1,5.0,1.22,14.301,13.589,100.0,82.0,,0.71
missed,20260618,603681,永冠新材,-1.63,-9.35,48.0,2.2,1.34,14.59,11.276,100.0,82.0,,0.024
missed,20260624,688733,壹石通,-6.49,0.0,55.3,1.3,1.39,10.795,10.893,100.0,82.0,,0.086
missed,20260629,000070,特发信息,-13.82,-9.53,55.7,1.2,1.21,12.728,12.017,100.0,82.0,,0.585
missed,20260626,600259,中稀有色,-3.18,2.3,54.9,2.5,1.26,10.948,11.884,100.0,82.0,,1.158
missed,20260626,002171,楚江新材,-1.13,-7.49,57.5,3.6,1.25,16.763,17.698,70.0,82.0,,0.16
missed,20260622,603979,金诚信,-15.77,-16.83,52.7,4.8,1.38,14.542,10.114,70.0,82.0,,0.522
missed,20260629,301160,翔楼新材,9.91,8.88,53.3,2.5,1.24,27.005,26.294,100.0,82.0,,0.907
missed,20260629,000925,众合科技,8.86,-2.88,63.0,8.8,1.52,17.692,16.981,70.0,82.0,,0.282
missed,20260617,002203,海亮股份,6.35,4.82,58.5,12.0,1.7,12.202,10.539,100.0,82.0,,0.797
missed,20260629,600078,澄星股份,-2.24,-6.94,54.5,4.4,1.27,14.857,14.146,100.0,82.0,,0.31
missed,20260629,603005,晶方科技,-3.25,-13.05,58.4,8.3,1.31,19.323,18.611,100.0,82.0,,0.444
missed,20260618,688719,爱科赛博,-5.79,-11.46,58.1,8.2,1.24,15.186,11.872,100.0,82.0,,0.341
missed,20260626,002008,大族激光,-8.01,-13.57,69.3,14.2,1.61,11.244,12.18,100.0,82.0,,3.986
missed,20260626,300042,朗科科技,5.45,-3.61,52.1,6.6,1.22,11.951,12.887,100.0,82.0,,1.177
missed,20260625,300093,金刚光伏,3.64,-4.9,56.5,7.8,1.39,19.854,18.394,100.0,82.0,,0.226
missed,20260626,603335,迪生力,3.93,-2.7,68.4,14.0,1.74,22.493,23.429,100.0,82.0,,0.194
missed,20260629,300835,龙磁科技,-10.82,-21.86,59.8,8.4,1.23,23.721,23.01,100.0,82.0,,2.497
missed,20260625,688392,骄成超声,26.92,23.86,58.1,9.8,1.22,17.255,14.975,100.0,82.0,,2.074
missed,20260623,002203,海亮股份,-7.0,-5.88,64.3,14.0,1.51,16.395,16.44,100.0,82.0,,0.917
missed,20260617,603681,永冠新材,-7.28,-9.06,56.6,8.6,1.28,21.395,19.732,100.0,82.0,,0.238
missed,20260617,688733,壹石通,-2.07,-0.1,60.2,13.2,1.53,15.418,13.755,100.0,82.0,,0.631
missed,20260629,002158,汉钟精机,2.74,2.96,72.3,14.3,1.51,17.45,16.738,100.0,82.0,,1.076
missed,20260626,688179,阿拉丁,19.27,1.58,61.4,13.6,1.75,12.251,13.187,100.0,82.0,,1.1
missed,20260617,603527,众源新材,-8.39,-3.16,51.9,7.9,1.29,12.021,10.358,100.0,82.0,,0.178
missed,20260623,601958,金钼股份,-1.4,2.21,60.4,11.9,1.8,32.239,32.284,100.0,82.0,,1.043
missed,20260623,688163,赛伦生物,-1.31,10.63,70.6,11.7,1.59,16.102,16.147,100.0,82.0,,1.232
missed,20260623,301366,一博科技,17.18,14.98,58.8,7.6,1.2,12.023,12.068,100.0,82.0,,0.951
missed,20260617,603335,迪生力,7.0,7.95,64.1,14.0,1.62,17.917,16.253,100.0,82.0,,0.3
missed,20260626,002876,三利谱,1.01,-6.01,55.1,7.5,1.26,16.308,17.244,100.0,82.0,,0.613
missed,20260618,002051,中工国际,9.03,3.31,57.9,6.7,1.42,14.313,10.999,100.0,82.0,,0.173
missed,20260623,600459,贵研铂业,10.5,13.52,58.7,7.6,1.21,23.769,23.813,100.0,82.0,,0.501
missed,20260624,603991,领先股份,-0.53,20.36,63.7,11.6,1.66,14.433,14.531,100.0,82.0,,4.807
missed,20260623,600259,中稀有色,-6.76,-4.81,69.1,12.9,1.63,22.832,22.877,100.0,82.0,,5.302
missed,20260629,600962,国投中鲁,-2.3,-13.79,69.7,14.4,1.85,15.25,14.539,100.0,82.0,,0.612
missed,20260624,600500,中化国际,2.82,1.92,66.5,13.3,1.8,35.813,35.911,100.0,82.0,,0.185
missed,20260623,605198,安德利,-11.36,-12.32,65.3,13.9,2.07,29.962,30.007,100.0,82.0,,2.711
missed,20260625,300480,光力科技,10.77,11.34,59.0,8.4,1.31,12.858,10.578,100.0,82.0,,0.624
missed,20260626,002805,丰元股份,7.51,-0.89,68.7,13.0,1.56,23.65,24.586,100.0,82.0,,1.307
missed,20260622,603733,仙鹤股份,2.39,0.27,61.2,4.9,1.38,30.842,26.414,100.0,82.0,,0.137
missed,20260625,002106,莱宝高科,24.34,15.33,59.1,7.9,1.33,16.68,14.4,100.0,82.0,,0.157
missed,20260625,603976,正川股份,7.75,5.35,64.9,10.2,1.56,24.734,22.454,100.0,82.0,,0.635
missed,20260618,603155,新亚强,-0.39,10.88,67.6,11.2,1.82,17.391,14.078,100.0,82.0,,0.412
missed,20260629,601066,中信建投,-2.44,-1.44,71.2,12.2,1.89,20.787,20.076,100.0,82.0,,0.794
missed,20260625,001223,欧克科技,3.85,-15.83,56.7,9.5,1.34,17.073,14.792,100.0,82.0,,0.979
