group,date,code,name,T3,T5,rsi,ma20_deviation_pct,volume_ratio,stock_return_20d_pct,stock_return_60d_pct,relative_strength_20d_pct,relative_strength_60d_pct,weekly_trend_score,weekly_close_vs_ma20_pct,weekly_ma20_slope_pct,weinstein_stage_score,weinstein_close_vs_ma30_pct,daily_entry_score,quantitative_score,long_score,short_score,extension_risk,room_score,forward_opportunity_score,opportunity_rank_score,lt_ma50_deviation_pct,lt_ma200_deviation_pct,lt_distance_to_52w_high_pct,lt_ma50_slope_pct
watch,20260617,000831,中国稀土,1.8269,-1.6391,64.2,11.0,1.59,12.796,23.453,11.133,15.857,100.0,10.489,1.058,75.0,14.013,82.0,,63.97,77.75,10.0,90.0,79.36,79.29,11.41,13.79,-9.07,1.86
watch,20260622,300502,新易盛,6.1722,-3.1374,66.5,9.3,1.1,34.038,76.729,29.61,62.205,100.0,47.879,15.676,100.0,62.034,82.0,,79.6,77.0,10.0,90.0,81.29,78.3,28.27,83.68,-0.26,5.58
buy_passed,20260623,000831,中国稀土,-7.2383,-6.2067,63.8,8.7,1.53,16.054,28.313,16.099,18.376,100.0,10.718,1.612,100.0,13.964,82.0,,76.33,80.75,10.0,90.0,82.86,82.4,10.78,14.35,-10.0,2.5
buy_passed,20260624,000831,中国稀土,-5.8773,-7.2469,57.9,5.4,1.36,13.77,21.684,13.867,12.746,100.0,8.277,1.481,100.0,11.406,82.0,,75.73,82.0,0.0,100.0,86.46,82.44,7.93,11.57,-12.1,2.26
buy_passed,20260630,002520,日发精机,12.5364,13.7026,52.8,3.8,1.28,17.517,24.505,14.727,12.608,100.0,9.883,2.127,100.0,10.248,82.0,,76.81,82.0,0.0,100.0,86.62,82.57,9.31,10.56,-8.6,2.57
buy_passed,20260630,300243,瑞丰高材,-14.1998,-20.7678,58.3,8.1,1.31,17.26,72.677,14.47,60.781,100.0,30.606,12.584,100.0,48.237,82.0,,78.85,79.75,10.0,90.0,82.69,81.18,13.97,62.09,-7.33,4.05
watch,20260715,300502,新易盛,-3.7736,-4.0,42.8,1.0,0.99,1.275,45.09,3.27,44.031,100.0,28.429,14.488,100.0,44.951,50.0,,78.85,53.75,0.0,,,,9.82,62.28,-8.93,3.26
watch,20260716,688072,拓荆科技,6.4085,3.4214,58.7,1.2,1.3,17.368,102.428,22.235,97.527,100.0,46.458,17.799,100.0,62.698,58.0,,78.52,64.75,0.0,,,,20.17,86.15,-15.06,7.23
watch,20260716,002384,东山精密,-10.4686,-19.9062,52.4,6.8,1.25,4.624,65.824,9.348,66.463,100.0,42.208,22.359,100.0,76.286,82.0,,78.97,77.25,10.0,,,,15.56,112.56,-2.54,2.99
watch,20260720,000938,紫光股份,12.5995,10.0,66.4,16.4,1.34,35.138,36.806,44.256,40.364,100.0,27.495,7.612,100.0,33.891,82.0,,78.79,76.25,55.0,,,,24.7,37.23,-2.33,1.47
watch,20260721,300502,新易盛,-11.8481,-24.6481,46.9,1.9,1.11,-0.042,24.25,3.621,25.509,100.0,24.684,13.037,100.0,41.764,58.0,,78.49,57.5,10.0,,,,6.8,58.53,-9.62,2.78
buy_passed,20260722,688072,拓荆科技,0.1037,-11.4034,55.2,6.9,0.94,32.509,102.054,34.27,98.746,100.0,53.563,19.391,100.0,72.255,50.0,,79.12,59.5,10.0,,,,26.08,98.45,-6.93,5.6
watch,20260722,688432,有研硅,-7.7083,-16.7551,47.9,1.4,0.85,80.233,181.051,84.801,182.495,100.0,84.0,34.078,100.0,111.685,50.0,,78.16,60.25,0.0,,,,45.24,142.35,-23.48,8.67
watch,20260727,688072,拓荆科技,-14.7987,-21.4529,52.0,4.2,0.93,22.741,93.965,24.309,93.94,100.0,47.664,19.335,100.0,66.992,50.0,,79.12,61.75,0.0,,,,21.91,94.25,-6.84,6.17
watch,20260728,000938,紫光股份,-14.6109,-16.0059,64.3,12.5,1.07,43.728,28.183,51.96,33.189,100.0,35.835,9.962,100.0,43.856,82.0,,78.67,74.0,10.0,,,,31.8,49.06,-7.62,3.46
watch,20260803,000636,风华高科,16.5134,23.3507,41.5,2.9,1.6,-11.027,101.63,-4.856,108.377,84.0,21.803,12.637,100.0,46.35,82.0,,77.53,73.62,10.0,,,,-10.66,76.43,-35.19,2.66
buy_passed,20260810,600183,生益科技,4.3741,,51.5,10.7,1.05,3.064,55.435,2.923,58.677,84.0,18.342,12.689,100.0,39.438,82.0,,76.9,69.5,10.0,,,,-4.42,58.92,-25.98,-0.11
consensus,20260812,002821,凯莱英,,,56.9,7.3,1.28,-10.6,50.099,-8.598,53.436,100.0,28.133,10.96,100.0,41.017,82.0,,78.25,71.0,10.0,,,,17.13,52.81,-10.6,3.83
watch,20260813,600183,生益科技,,,62.2,14.4,1.05,-6.036,43.259,-4.033,46.596,84.0,20.886,12.841,100.0,42.477,82.0,,77.17,67.12,10.0,,,,-2.3,60.23,-24.28,0.12
watch,20260813,000831,中国稀土,,,70.5,9.5,1.61,22.415,9.694,24.417,13.031,100.0,5.457,0.267,100.0,4.469,82.0,,75.25,80.75,10.0,,,,5.35,7.27,-16.39,1.2
missed,20260629,603335,迪生力,10.85,4.11,59.6,3.2,1.64,11.973,36.938,11.261,27.255,100.0,19.457,7.581,100.0,25.963,82.0,,78.67,83.5,0.0,100.0,87.73,84.6,11.02,31.51,-9.56,3.7
missed,20260629,688291,金橙子,5.05,3.17,57.1,4.8,1.8,14.12,36.299,13.409,26.616,100.0,15.047,2.103,100.0,18.391,82.0,,77.65,83.5,0.0,100.0,87.57,84.48,9.66,30.08,-15.22,3.85
missed,20260626,300665,飞鹿股份,-4.1,-7.52,56.3,3.7,1.92,10.769,55.396,10.292,45.205,100.0,22.505,3.202,100.0,19.628,82.0,,76.84,83.5,0.0,100.0,87.45,84.38,16.2,16.99,-15.95,4.11
missed,20260618,603733,仙鹤股份,-8.03,-0.31,64.9,5.2,1.66,29.79,20.808,26.477,12.606,76.0,13.73,1.887,100.0,13.956,82.0,,71.83,83.0,0.0,100.0,86.42,83.5,15.22,13.98,-8.51,2.72
missed,20260629,300665,飞鹿股份,-4.48,-9.05,58.4,6.0,1.8,10.568,50.884,10.46,40.779,100.0,24.174,3.897,100.0,22.253,82.0,,76.84,81.25,0.0,100.0,86.21,83.18,18.52,20.07,-13.7,4.3
missed,20260617,300093,金刚光伏,-9.9,2.24,58.6,8.4,2.24,12.85,22.901,11.233,17.039,100.0,20.081,4.614,100.0,28.638,82.0,,78.73,81.25,10.0,90.0,83.5,82.96,11.96,45.82,0.0,2.08
missed,20260622,603335,迪生力,13.75,2.88,58.0,8.4,2.07,15.169,56.19,10.74,41.667,100.0,21.554,6.362,100.0,27.323,82.0,,78.67,81.25,10.0,90.0,83.49,82.95,14.72,32.79,-7.45,3.77
missed,20260624,601958,金钼股份,8.2,3.9,59.4,9.2,1.52,18.178,47.432,18.275,38.494,100.0,26.169,6.177,100.0,37.27,82.0,,78.25,81.25,10.0,90.0,83.42,82.9,22.86,49.6,-10.28,4.47
missed,20260617,000962,东方钽业,16.93,34.95,45.6,5.2,1.25,13.326,37.084,11.663,29.489,100.0,24.532,9.816,100.0,42.06,82.0,,78.85,82.0,0.0,100.0,86.93,82.82,19.38,63.49,-6.18,3.11
missed,20260623,688448,磁谷科技,3.15,11.31,52.1,4.8,1.21,10.156,43.103,10.201,33.166,100.0,16.555,6.595,100.0,27.662,82.0,,78.85,82.0,0.0,100.0,86.93,82.82,11.55,40.83,-4.23,3.71
missed,20260618,300998,宁波方正,-2.86,-1.48,58.1,6.9,1.71,15.221,32.812,11.907,24.611,100.0,17.147,3.655,100.0,21.881,82.0,,77.44,81.25,10.0,90.0,83.3,82.8,10.22,22.18,-6.12,2.93
missed,20260623,688733,壹石通,-5.1,0.88,55.5,5.5,1.41,13.985,53.125,14.03,43.188,100.0,26.828,5.713,100.0,28.691,82.0,,78.1,82.0,0.0,100.0,86.81,82.73,18.79,35.19,-10.91,5.15
missed,20260624,603335,迪生力,-3.86,8.06,61.1,6.6,1.95,24.361,44.077,24.459,35.139,100.0,22.528,6.417,100.0,28.363,82.0,,78.67,80.75,10.0,90.0,83.21,82.69,14.03,33.23,-8.31,3.63
missed,20260626,603976,正川股份,8.72,14.4,58.1,3.3,1.45,17.946,32.468,18.882,24.347,100.0,19.087,5.027,100.0,22.148,82.0,,77.56,82.0,0.0,100.0,86.73,82.67,13.25,23.84,-12.61,3.59
missed,20260624,605198,安德利,-10.78,-6.95,63.6,8.8,1.89,24.43,82.121,24.528,73.183,100.0,42.584,11.501,100.0,52.472,82.0,,78.52,80.75,10.0,90.0,83.19,82.67,25.75,54.57,-19.15,7.34
missed,20260629,301095,广立微,7.03,7.99,57.4,5.4,1.41,11.049,53.058,10.338,43.374,100.0,17.148,5.566,100.0,24.054,82.0,,77.47,82.0,0.0,100.0,86.72,82.66,7.34,27.41,-10.04,2.92
missed,20260618,603335,迪生力,0.36,9.71,60.4,9.4,1.83,18.786,47.048,15.472,38.846,100.0,23.973,5.978,100.0,29.205,82.0,,78.43,80.75,10.0,90.0,83.18,82.66,15.76,33.41,-7.22,3.69
missed,20260626,603991,领先股份,19.92,17.14,64.5,8.3,1.56,17.051,24.791,17.987,16.67,100.0,16.998,7.591,100.0,29.139,82.0,,78.49,80.75,10.0,90.0,83.19,82.66,8.03,43.61,-7.34,2.25
missed,20260625,603991,领先股份,12.6,20.53,60.3,7.8,1.65,16.659,23.962,14.378,11.844,100.0,15.566,7.51,100.0,27.533,82.0,,78.49,80.75,10.0,90.0,83.19,82.66,7.05,42.25,-8.54,2.37
missed,20260629,002925,盈趣科技,1.92,-3.89,59.6,4.7,1.33,22.56,21.603,21.849,11.92,100.0,11.671,2.527,100.0,15.335,82.0,,77.44,82.0,0.0,100.0,86.72,82.65,11.51,18.4,-6.56,2.05
missed,20260629,002963,豪尔赛,3.93,-4.43,65.6,8.8,1.51,23.716,36.43,23.004,26.746,100.0,21.928,6.492,100.0,26.533,82.0,,78.4,80.75,10.0,90.0,83.17,82.65,14.71,30.61,-10.0,4.31
missed,20260626,000960,锡业股份,-2.65,-6.88,56.2,5.2,1.27,9.827,32.031,10.763,23.91,100.0,15.092,1.087,100.0,21.364,82.0,,77.17,82.0,0.0,100.0,86.68,82.62,9.62,35.63,-12.3,3.23
missed,20260623,002137,实益达,8.04,12.75,56.6,5.6,1.2,18.451,26.675,18.496,16.738,100.0,17.375,2.079,100.0,16.819,82.0,,77.08,82.0,0.0,100.0,86.66,82.61,16.05,17.58,-5.02,2.81
missed,20260624,600259,中稀有色,-9.08,-6.94,64.4,9.7,1.54,21.741,34.839,21.838,25.901,100.0,14.413,6.436,100.0,28.236,82.0,,77.89,80.75,10.0,90.0,83.1,82.59,9.95,41.37,-11.71,2.61
missed,20260623,002263,大东南,-14.66,-20.43,58.2,6.2,1.5,10.209,29.141,10.254,19.204,100.0,5.184,2.444,100.0,10.402,82.0,,75.58,81.25,10.0,90.0,83.02,82.57,0.15,11.19,-18.57,-0.86
missed,20260629,688646,逸飞激光,4.68,4.07,68.6,4.0,1.25,12.081,40.106,11.369,30.423,100.0,21.772,12.08,100.0,38.711,82.0,,78.85,81.5,0.0,100.0,86.65,82.56,9.97,58.31,-7.58,3.74
missed,20260617,002674,兴业科技,35.21,63.61,59.5,5.7,1.26,12.13,23.915,10.466,16.319,100.0,15.986,1.103,100.0,16.617,82.0,,76.6,82.0,0.0,100.0,86.59,82.55,14.07,15.49,-8.34,2.53
missed,20260626,002520,日发精机,2.77,12.54,58.3,4.7,1.3,11.889,22.46,12.825,14.339,100.0,10.087,1.34,100.0,10.196,82.0,,76.33,82.0,0.0,100.0,86.55,82.52,9.59,9.91,-9.13,2.59
missed,20260623,300488,恒锋工具,-0.48,17.63,64.8,9.3,1.53,14.136,52.787,14.181,42.85,100.0,20.375,2.94,100.0,21.91,82.0,,77.2,80.75,10.0,90.0,82.99,82.51,17.02,20.4,-15.69,4.71
missed,20260623,003013,地铁设计,-4.56,-9.31,62.8,5.8,1.89,13.404,21.32,13.449,11.383,100.0,13.925,1.179,55.0,13.121,82.0,,63.7,83.0,0.0,100.0,85.21,82.5,13.55,10.47,-4.08,2.28
missed,20260629,301548,崇德科技,5.15,7.17,65.1,7.3,2.05,11.663,29.487,10.952,19.804,100.0,7.713,3.923,100.0,17.962,82.0,,77.11,80.75,10.0,90.0,82.98,82.5,4.9,30.21,-11.95,2.92
missed,20260629,002536,飞龙股份,4.98,22.22,61.5,3.7,1.39,16.428,54.338,15.716,44.655,100.0,18.059,9.297,100.0,29.473,82.0,,78.25,81.5,0.0,100.0,86.56,82.48,6.73,44.82,-13.95,3.52
missed,20260629,002876,三利谱,-0.77,-9.17,60.2,5.0,1.32,23.328,29.814,22.617,20.131,100.0,14.671,4.653,100.0,20.992,82.0,,78.07,81.5,0.0,100.0,86.54,82.46,9.6,26.35,-4.79,1.82
missed,20260625,300665,飞鹿股份,-6.23,-8.07,60.2,9.0,1.99,21.008,52.981,16.052,43.06,100.0,27.708,3.488,100.0,24.83,82.0,,76.84,80.75,10.0,90.0,82.94,82.46,22.33,22.37,-12.14,4.16
missed,20260625,000831,中国稀土,-3.5,-7.48,55.9,3.5,1.27,16.856,24.267,14.575,12.149,100.0,7.151,1.42,100.0,10.227,82.0,,75.73,82.0,0.0,100.0,86.46,82.44,6.53,10.23,-13.07,2.02
missed,20260626,002989,中天精装,-0.18,-10.09,61.7,8.4,1.5,13.126,27.86,14.062,19.739,100.0,15.834,0.512,100.0,16.062,82.0,,75.97,80.75,10.0,90.0,82.81,82.36,12.01,14.78,-12.41,3.87
missed,20260624,300488,恒锋工具,15.23,21.22,63.3,5.7,1.4,12.896,44.032,12.993,35.094,100.0,17.365,2.776,100.0,18.8,82.0,,77.2,81.5,0.0,100.0,86.41,82.36,13.19,17.17,-17.93,4.37
missed,20260625,300488,恒锋工具,20.32,21.15,63.2,4.9,1.23,17.29,49.371,15.009,37.254,100.0,17.337,2.774,100.0,18.771,82.0,,77.2,81.5,0.0,100.0,86.41,82.36,12.45,17.11,-17.95,3.73
missed,20260629,002989,中天精装,-4.99,2.57,63.1,5.0,1.22,14.301,26.185,13.589,16.502,100.0,11.768,1.855,100.0,12.205,82.0,,76.45,81.5,0.0,100.0,86.29,82.26,8.65,11.83,-14.64,3.41
missed,20260618,603681,永冠新材,-1.63,-9.35,48.0,2.2,1.34,14.59,44.933,11.276,36.731,100.0,21.848,4.469,100.0,24.347,82.0,,78.43,80.5,0.0,100.0,86.04,81.97,18.19,30.26,-9.34,4.36
missed,20260624,688733,壹石通,-6.49,0.0,55.3,1.3,1.39,10.795,45.922,10.893,36.984,100.0,22.663,5.479,100.0,24.375,82.0,,78.1,80.5,0.0,100.0,85.99,81.93,13.79,30.17,-14.03,5.02
missed,20260629,000070,特发信息,-13.82,-9.53,55.7,1.2,1.21,12.728,25.896,12.017,16.213,100.0,8.989,8.919,100.0,22.369,82.0,,77.89,80.5,0.0,100.0,85.96,81.91,2.97,38.81,-19.58,1.73
missed,20260626,600259,中稀有色,-3.18,2.3,54.9,2.5,1.26,10.948,26.793,11.884,18.672,100.0,8.992,6.131,100.0,22.072,82.0,,77.89,80.5,0.0,100.0,85.96,81.91,4.06,33.62,-16.13,1.57
missed,20260626,002171,楚江新材,-1.13,-7.49,57.5,3.6,1.25,16.763,30.607,17.698,22.486,70.0,15.972,-0.139,100.0,13.644,82.0,,71.38,82.0,0.0,100.0,85.81,81.91,14.15,18.22,-13.51,3.4
missed,20260622,603979,金诚信,-15.77,-16.83,52.7,4.8,1.38,14.542,43.907,10.114,29.383,70.0,13.825,-1.437,100.0,9.52,82.0,,70.75,82.0,0.0,100.0,85.71,81.83,12.96,12.66,-13.68,2.67
