ma_mode,fast_ma,mid_ma,long_ma,use_macd,use_fast_ma_reduce,use_mid_ma_exit,use_atr_trailing,atr_mult,max_holding_days,max_fast_ma_deviation_pct,param_key,engine,trade_count,total_return_pct,avg_trade_return_pct,median_trade_return_pct,win_rate_pct,profit_factor,max_drawdown_pct,sharpe_like
ema,8,20,60,True,True,True,True,1.5,10,12.0,ema_f8_m20_l60_macd_fastreduce_midexit_atr1.5_h10_dev12,pandas_event,127,292.9177,2.4986,-1.788,40.94,1.5215,-90.6343,0.6658
ema,10,20,60,False,True,True,False,1.5,5,12.0,ema_f10_m20_l60_nomacd_fastreduce_midexit_noatr_h5_dev12,pandas_event,103,364.7236,2.4975,0.0669,50.49,1.5796,-80.5724,1.1935
ema,8,20,60,True,True,True,True,2.0,10,12.0,ema_f8_m20_l60_macd_fastreduce_midexit_atr2_h10_dev12,pandas_event,127,238.7698,2.4763,-2.0274,38.58,1.4903,-91.9204,0.6383
ema,8,20,60,True,True,True,False,1.5,10,12.0,ema_f8_m20_l60_macd_fastreduce_midexit_noatr_h10_dev12,pandas_event,127,235.2178,2.4639,-2.0274,38.58,1.4879,-91.932,0.6359
ema,10,20,60,False,True,True,True,2.0,5,12.0,ema_f10_m20_l60_nomacd_fastreduce_midexit_atr2_h5_dev12,pandas_event,103,343.4305,2.4579,0.0669,50.49,1.5653,-81.5625,1.1713
ema,8,20,60,False,True,True,True,1.5,10,12.0,ema_f8_m20_l60_nomacd_fastreduce_midexit_atr1.5_h10_dev12,pandas_event,125,257.0207,2.4553,-2.0539,41.6,1.4789,-91.7179,0.6617
ema,10,20,60,False,True,True,True,1.5,5,12.0,ema_f10_m20_l60_nomacd_fastreduce_midexit_atr1.5_h5_dev12,pandas_event,103,341.8217,2.4477,0.2545,51.46,1.5671,-82.0471,1.1697
ema,8,20,60,False,True,True,True,2.0,10,12.0,ema_f8_m20_l60_nomacd_fastreduce_midexit_atr2_h10_dev12,pandas_event,125,124.9556,2.2056,-2.8925,39.2,1.3931,-94.2746,0.5703
ema,8,20,60,False,True,True,False,1.5,10,12.0,ema_f8_m20_l60_nomacd_fastreduce_midexit_noatr_h10_dev12,pandas_event,125,57.7806,1.8979,-2.8925,39.2,1.3331,-94.6578,0.494
ema,10,20,60,True,True,True,False,1.5,5,12.0,ema_f10_m20_l60_macd_fastreduce_midexit_noatr_h5_dev12,pandas_event,100,134.2346,1.7658,-0.2848,48.0,1.4012,-81.7712,0.8802
ema,10,20,60,True,True,True,True,2.0,5,12.0,ema_f10_m20_l60_macd_fastreduce_midexit_atr2_h5_dev12,pandas_event,100,126.7005,1.7378,-0.2848,48.0,1.3924,-82.4526,0.8643
ema,10,20,60,True,True,True,True,1.5,5,12.0,ema_f10_m20_l60_macd_fastreduce_midexit_atr1.5_h5_dev12,pandas_event,100,125.8781,1.7273,-0.2051,49.0,1.3929,-82.9138,0.8618
sma,10,20,60,False,True,True,True,1.5,5,12.0,sma_f10_m20_l60_nomacd_fastreduce_midexit_atr1.5_h5_dev12,pandas_event,88,54.4703,1.3537,-0.4612,48.86,1.3111,-87.424,0.6918
sma,10,20,60,False,True,True,False,1.5,5,12.0,sma_f10_m20_l60_nomacd_fastreduce_midexit_noatr_h5_dev12,pandas_event,88,52.6708,1.3445,-0.4612,47.73,1.3048,-87.0278,0.6855
sma,10,20,60,False,True,True,True,1.5,10,12.0,sma_f10_m20_l60_nomacd_fastreduce_midexit_atr1.5_h10_dev12,pandas_event,80,5.5971,1.3426,-2.3403,37.5,1.2721,-90.5952,0.3768
sma,10,20,60,False,True,True,True,2.0,5,12.0,sma_f10_m20_l60_nomacd_fastreduce_midexit_atr2_h5_dev12,pandas_event,88,47.7781,1.3139,-0.4612,47.73,1.2958,-87.6889,0.6678
ema,10,20,60,False,True,True,True,1.5,10,12.0,ema_f10_m20_l60_nomacd_fastreduce_midexit_atr1.5_h10_dev12,pandas_event,91,7.4002,1.2683,-2.0274,41.76,1.2531,-89.1873,0.3718
sma,10,20,60,False,True,True,True,2.0,10,12.0,sma_f10_m20_l60_nomacd_fastreduce_midexit_atr2_h10_dev12,pandas_event,80,-7.4472,1.236,-2.8874,35.0,1.2356,-91.7694,0.3396
ema,8,20,60,False,True,True,True,1.5,5,12.0,ema_f8_m20_l60_nomacd_fastreduce_midexit_atr1.5_h5_dev12,pandas_event,145,37.6553,1.1341,-1.0902,45.52,1.2367,-90.8057,0.5674
ema,10,20,60,False,True,True,False,1.5,10,12.0,ema_f10_m20_l60_nomacd_fastreduce_midexit_noatr_h10_dev12,pandas_event,91,-7.6088,1.1337,-2.7042,38.46,1.2182,-88.002,0.3276
ema,8,20,60,False,True,True,False,1.5,5,12.0,ema_f8_m20_l60_nomacd_fastreduce_midexit_noatr_h5_dev12,pandas_event,145,29.6103,1.0964,-1.0902,44.83,1.2272,-91.0027,0.5475
ema,10,20,60,False,True,True,True,2.0,10,12.0,ema_f10_m20_l60_nomacd_fastreduce_midexit_atr2_h10_dev12,pandas_event,91,-10.2284,1.0963,-2.2398,38.46,1.212,-88.86,0.3175
ema,8,20,60,False,True,True,True,2.0,5,12.0,ema_f8_m20_l60_nomacd_fastreduce_midexit_atr2_h5_dev12,pandas_event,145,26.5671,1.0831,-1.0902,44.83,1.2238,-91.4612,0.5401
sma,10,20,60,False,True,True,False,1.5,10,12.0,sma_f10_m20_l60_nomacd_fastreduce_midexit_noatr_h10_dev12,pandas_event,79,-22.095,0.9841,-3.0705,36.71,1.1872,-91.6485,0.2731
ema,10,20,60,True,True,True,True,1.5,10,12.0,ema_f10_m20_l60_macd_fastreduce_midexit_atr1.5_h10_dev12,pandas_event,92,-12.843,0.9735,-2.0473,39.13,1.1995,-87.6407,0.2923
ema,10,20,60,True,True,True,False,1.5,10,12.0,ema_f10_m20_l60_macd_fastreduce_midexit_noatr_h10_dev12,pandas_event,92,-16.7783,0.9488,-2.2328,35.87,1.1916,-88.1981,0.2813
ema,10,20,60,True,True,True,True,2.0,10,12.0,ema_f10_m20_l60_macd_fastreduce_midexit_atr2_h10_dev12,pandas_event,92,-21.3482,0.8836,-2.1469,35.87,1.1783,-88.9471,0.2624
sma,8,20,60,True,True,True,False,1.5,10,12.0,sma_f8_m20_l60_macd_fastreduce_midexit_noatr_h10_dev12,pandas_event,104,-20.4533,0.8586,-2.2228,35.58,1.175,-88.1948,0.2671
sma,8,20,60,True,True,True,True,1.5,10,12.0,sma_f8_m20_l60_macd_fastreduce_midexit_atr1.5_h10_dev12,pandas_event,104,-16.5967,0.8076,-2.0473,36.54,1.1722,-88.8047,0.2648
sma,8,20,60,True,True,True,True,2.0,10,12.0,sma_f8_m20_l60_macd_fastreduce_midexit_atr2_h10_dev12,pandas_event,104,-26.1742,0.7857,-2.1469,35.58,1.1595,-89.2975,0.2446
ema,8,20,60,False,True,True,True,1.5,5,8.0,ema_f8_m20_l60_nomacd_fastreduce_midexit_atr1.5_h5_dev8,pandas_event,69,5.9511,0.7521,-0.1678,49.28,1.1942,-68.5052,0.4355
ema,8,20,60,True,True,True,True,1.5,5,8.0,ema_f8_m20_l60_macd_fastreduce_midexit_atr1.5_h5_dev8,pandas_event,68,5.2243,0.7384,-0.8214,48.53,1.1908,-66.5042,0.4286
ema,8,20,60,True,True,True,True,1.5,5,12.0,ema_f8_m20_l60_macd_fastreduce_midexit_atr1.5_h5_dev12,pandas_event,144,-18.9823,0.7209,-1.7431,43.75,1.1481,-91.9842,0.3699
ema,8,20,60,True,True,True,False,1.5,5,12.0,ema_f8_m20_l60_macd_fastreduce_midexit_noatr_h5_dev12,pandas_event,144,-25.596,0.6678,-1.7431,43.06,1.1358,-92.3185,0.3416
ema,8,20,60,True,True,True,True,2.0,5,12.0,ema_f8_m20_l60_macd_fastreduce_midexit_atr2_h5_dev12,pandas_event,144,-26.3033,0.6632,-1.7431,43.06,1.1347,-92.4325,0.339
sma,8,20,60,False,True,True,True,1.5,10,12.0,sma_f8_m20_l60_nomacd_fastreduce_midexit_atr1.5_h10_dev12,pandas_event,104,-33.7738,0.6346,-2.3157,36.54,1.1265,-92.3779,0.2037
ema,8,20,60,False,True,True,True,2.0,5,8.0,ema_f8_m20_l60_nomacd_fastreduce_midexit_atr2_h5_dev8,pandas_event,69,-3.0195,0.6331,-0.1678,47.83,1.1588,-70.5011,0.3644
ema,8,20,60,False,True,True,False,1.5,5,8.0,ema_f8_m20_l60_nomacd_fastreduce_midexit_noatr_h5_dev8,pandas_event,69,-3.5423,0.6255,-0.1678,47.83,1.1566,-70.5011,0.3599
ema,8,20,60,True,True,True,True,2.0,5,8.0,ema_f8_m20_l60_macd_fastreduce_midexit_atr2_h5_dev8,pandas_event,68,-3.6848,0.6178,-0.8214,47.06,1.155,-68.6269,0.3563
ema,10,20,60,True,True,True,True,1.5,5,8.0,ema_f10_m20_l60_macd_fastreduce_midexit_atr1.5_h5_dev8,pandas_event,40,10.2667,0.6138,0.1716,50.0,1.2087,-38.1526,0.4895
ema,8,20,60,True,True,True,False,1.5,5,8.0,ema_f8_m20_l60_macd_fastreduce_midexit_noatr_h5_dev8,pandas_event,68,-4.204,0.61,-0.8214,47.06,1.1527,-68.6269,0.3518
ema,10,20,60,True,True,True,True,2.0,5,8.0,ema_f10_m20_l60_macd_fastreduce_midexit_atr2_h5_dev8,pandas_event,40,9.7144,0.6012,-0.0797,47.5,1.2041,-38.1526,0.4794
ema,10,20,60,True,True,True,False,1.5,5,8.0,ema_f10_m20_l60_macd_fastreduce_midexit_noatr_h5_dev8,pandas_event,40,9.123,0.5881,-0.0797,47.5,1.1988,-38.1526,0.4687
ema,10,20,60,False,True,True,True,1.5,5,8.0,ema_f10_m20_l60_nomacd_fastreduce_midexit_atr1.5_h5_dev8,pandas_event,42,7.5681,0.5617,0.2989,52.38,1.1857,-39.1508,0.4398
sma,8,20,60,False,True,True,True,2.0,10,12.0,sma_f8_m20_l60_nomacd_fastreduce_midexit_atr2_h10_dev12,pandas_event,103,-46.3184,0.5504,-2.991,35.92,1.1016,-92.9349,0.1663
ema,10,20,60,False,True,True,True,2.0,5,8.0,ema_f10_m20_l60_nomacd_fastreduce_midexit_atr2_h5_dev8,pandas_event,42,7.0293,0.5498,0.1273,50.0,1.1815,-39.1508,0.4304
ema,10,20,60,False,True,True,False,1.5,5,8.0,ema_f10_m20_l60_nomacd_fastreduce_midexit_noatr_h5_dev8,pandas_event,42,6.4524,0.5372,0.1273,50.0,1.1766,-39.1508,0.4204
sma,10,20,60,True,True,True,True,1.5,5,12.0,sma_f10_m20_l60_macd_fastreduce_midexit_atr1.5_h5_dev12,pandas_event,85,-27.0285,0.3892,-1.4536,45.88,1.0853,-86.8319,0.2139
ema,8,20,60,True,True,True,True,1.5,10,8.0,ema_f8_m20_l60_macd_fastreduce_midexit_atr1.5_h10_dev8,pandas_event,63,-20.3472,0.3678,-1.8405,38.1,1.0895,-70.1271,0.1423
