ma_mode,fast_ma,mid_ma,long_ma,use_macd,use_fast_ma_reduce,use_mid_ma_exit,use_atr_trailing,atr_mult,max_holding_days,max_fast_ma_deviation_pct,param_key,engine,trade_count,total_return_pct,avg_trade_return_pct,median_trade_return_pct,win_rate_pct,profit_factor,max_drawdown_pct,sharpe_like
sma,10,20,60,False,True,True,False,1.5,10,12.0,sma_f10_m20_l60_nomacd_fastreduce_midexit_noatr_h10_dev12,pandas_event,45,60.0714,1.566,-0.6955,42.22,1.699,-33.9438,0.6928
sma,10,20,60,True,True,True,False,1.5,10,12.0,sma_f10_m20_l60_macd_fastreduce_midexit_noatr_h10_dev12,pandas_event,45,55.5816,1.498,-0.6955,40.0,1.6683,-35.2777,0.6645
sma,10,20,60,False,True,True,False,1.5,10,8.0,sma_f10_m20_l60_nomacd_fastreduce_midexit_noatr_h10_dev8,pandas_event,35,38.6474,1.3187,0.0,48.57,1.7063,-18.1807,0.6777
sma,10,20,60,False,True,True,True,2.0,10,8.0,sma_f10_m20_l60_nomacd_fastreduce_midexit_atr2_h10_dev8,pandas_event,35,38.6474,1.3187,0.0,48.57,1.7063,-18.1807,0.6777
sma,10,20,60,True,True,True,False,1.5,10,8.0,sma_f10_m20_l60_macd_fastreduce_midexit_noatr_h10_dev8,pandas_event,35,35.5173,1.2488,0.0,45.71,1.6747,-16.6989,0.6443
sma,10,20,60,True,True,True,True,2.0,10,8.0,sma_f10_m20_l60_macd_fastreduce_midexit_atr2_h10_dev8,pandas_event,35,35.5173,1.2488,0.0,45.71,1.6747,-16.6989,0.6443
sma,8,20,60,False,True,True,False,1.5,10,8.0,sma_f8_m20_l60_nomacd_fastreduce_midexit_noatr_h10_dev8,pandas_event,41,40.2724,1.155,0.0,41.46,1.6986,-22.6674,0.6417
sma,8,20,60,False,True,True,True,2.0,10,8.0,sma_f8_m20_l60_nomacd_fastreduce_midexit_atr2_h10_dev8,pandas_event,41,40.2724,1.155,0.0,41.46,1.6986,-22.6674,0.6417
sma,8,20,60,True,True,True,False,1.5,5,8.0,sma_f8_m20_l60_macd_fastreduce_midexit_noatr_h5_dev8,pandas_event,45,44.6075,1.1308,0.0,42.22,1.6815,-25.6601,0.9185
sma,8,20,60,True,True,True,True,1.5,5,8.0,sma_f8_m20_l60_macd_fastreduce_midexit_atr1.5_h5_dev8,pandas_event,45,44.6075,1.1308,0.0,42.22,1.6815,-25.6601,0.9185
sma,8,20,60,True,True,True,True,2.0,5,8.0,sma_f8_m20_l60_macd_fastreduce_midexit_atr2_h5_dev8,pandas_event,45,44.6075,1.1308,0.0,42.22,1.6815,-25.6601,0.9185
sma,10,20,60,False,True,True,False,1.5,5,8.0,sma_f10_m20_l60_nomacd_fastreduce_midexit_noatr_h5_dev8,pandas_event,40,36.9288,1.1241,0.0,42.5,1.6634,-18.7054,0.8712
sma,10,20,60,False,True,True,True,1.5,5,8.0,sma_f10_m20_l60_nomacd_fastreduce_midexit_atr1.5_h5_dev8,pandas_event,40,36.9288,1.1241,0.0,42.5,1.6634,-18.7054,0.8712
sma,10,20,60,False,True,True,True,2.0,5,8.0,sma_f10_m20_l60_nomacd_fastreduce_midexit_atr2_h5_dev8,pandas_event,40,36.9288,1.1241,0.0,42.5,1.6634,-18.7054,0.8712
sma,10,20,60,True,True,True,False,1.5,5,8.0,sma_f10_m20_l60_macd_fastreduce_midexit_noatr_h5_dev8,pandas_event,40,36.9288,1.1241,0.0,42.5,1.6634,-18.7054,0.8712
sma,10,20,60,True,True,True,True,1.5,5,8.0,sma_f10_m20_l60_macd_fastreduce_midexit_atr1.5_h5_dev8,pandas_event,40,36.9288,1.1241,0.0,42.5,1.6634,-18.7054,0.8712
sma,10,20,60,True,True,True,True,2.0,5,8.0,sma_f10_m20_l60_macd_fastreduce_midexit_atr2_h5_dev8,pandas_event,40,36.9288,1.1241,0.0,42.5,1.6634,-18.7054,0.8712
sma,8,20,60,True,True,True,False,1.5,10,8.0,sma_f8_m20_l60_macd_fastreduce_midexit_noatr_h10_dev8,pandas_event,39,34.6667,1.1087,0.0,41.03,1.6277,-22.9886,0.6004
sma,8,20,60,True,True,True,True,2.0,10,8.0,sma_f8_m20_l60_macd_fastreduce_midexit_atr2_h10_dev8,pandas_event,39,34.6667,1.1087,0.0,41.03,1.6277,-22.9886,0.6004
sma,8,20,60,False,True,True,False,1.5,5,8.0,sma_f8_m20_l60_nomacd_fastreduce_midexit_noatr_h5_dev8,pandas_event,47,44.6075,1.0827,0.0,40.43,1.6815,-25.6601,0.8988
sma,8,20,60,False,True,True,True,1.5,5,8.0,sma_f8_m20_l60_nomacd_fastreduce_midexit_atr1.5_h5_dev8,pandas_event,47,44.6075,1.0827,0.0,40.43,1.6815,-25.6601,0.8988
sma,8,20,60,False,True,True,True,2.0,5,8.0,sma_f8_m20_l60_nomacd_fastreduce_midexit_atr2_h5_dev8,pandas_event,47,44.6075,1.0827,0.0,40.43,1.6815,-25.6601,0.8988
sma,10,20,60,True,True,True,True,1.5,10,8.0,sma_f10_m20_l60_macd_fastreduce_midexit_atr1.5_h10_dev8,pandas_event,35,25.9498,1.0366,0.0,42.86,1.5432,-21.5331,0.5352
sma,10,20,60,False,True,True,True,1.5,5,12.0,sma_f10_m20_l60_nomacd_fastreduce_midexit_atr1.5_h5_dev12,pandas_event,54,29.4412,1.0209,-0.7919,35.19,1.4362,-41.4934,0.6123
sma,10,20,60,False,True,True,True,2.0,10,12.0,sma_f10_m20_l60_nomacd_fastreduce_midexit_atr2_h10_dev12,pandas_event,45,33.079,1.0184,-0.6955,42.22,1.4546,-33.9438,0.532
sma,10,20,60,False,True,True,False,1.5,5,12.0,sma_f10_m20_l60_nomacd_fastreduce_midexit_noatr_h5_dev12,pandas_event,54,28.8292,1.0128,-0.7919,35.19,1.4312,-41.6577,0.6071
