symbol_code,symbol_name,factor_date,factor_value,metadata_json
510050,50ETF,20260821,-54532662.0,"{""rz_balance"": 1471497561.0, ""rz_buy"": 190546236.0, ""rz_repay"": 245078898.0, ""rq_balance"": 36649640.0}"
510100,SZ50ETF,20260821,-258332.0,"{""rz_balance"": 23853349.0, ""rz_buy"": 5066589.0, ""rz_repay"": 5324921.0, ""rq_balance"": 0.0}"
510150,消费ETF,20260821,-128779.0,"{""rz_balance"": 27195258.0, ""rz_buy"": 1618457.0, ""rz_repay"": 1747236.0, ""rq_balance"": 0.0}"
510170,商品ETF,20260821,77289.0,"{""rz_balance"": 1447889.0, ""rz_buy"": 1189817.0, ""rz_repay"": 1112528.0, ""rq_balance"": 0.0}"
510180,180ETF,20260821,-648132.0,"{""rz_balance"": 79907545.0, ""rz_buy"": 1999164.0, ""rz_repay"": 2647296.0, ""rq_balance"": 273500.0}"
510210,综指ETF,20260821,-19664551.0,"{""rz_balance"": 196279938.0, ""rz_buy"": 50782766.0, ""rz_repay"": 70447317.0, ""rq_balance"": 0.0}"
510230,金融ETF,20260821,-564561.0,"{""rz_balance"": 20094061.0, ""rz_buy"": 5264833.0, ""rz_repay"": 5829394.0, ""rq_balance"": 0.0}"
510300,300ETF,20260821,-83530573.0,"{""rz_balance"": 2795396395.0, ""rz_buy"": 186115996.0, ""rz_repay"": 269646569.0, ""rq_balance"": 59082512.0}"
510310,HS300ETF,20260821,-7844648.0,"{""rz_balance"": 268338401.0, ""rz_buy"": 17199818.0, ""rz_repay"": 25044466.0, ""rq_balance"": 1828400.0}"
510320,300中金,20260821,-85828.0,"{""rz_balance"": 1431528.0, ""rz_buy"": 470613.0, ""rz_repay"": 556441.0, ""rq_balance"": 0.0}"
510330,华夏300,20260821,-3693216.0,"{""rz_balance"": 72872949.0, ""rz_buy"": 17069841.0, ""rz_repay"": 20763057.0, ""rq_balance"": 1714300.0}"
510350,工银300,20260821,-712203.0,"{""rz_balance"": 690060.0, ""rz_buy"": 348476.0, ""rz_repay"": 1060679.0, ""rq_balance"": 0.0}"
510360,广发300,20260821,-148463.0,"{""rz_balance"": 10258475.0, ""rz_buy"": 4699701.0, ""rz_repay"": 4848164.0, ""rq_balance"": 0.0}"
510410,资源ETF,20260821,-711955.0,"{""rz_balance"": 4483255.0, ""rz_buy"": 1444587.0, ""rz_repay"": 2156542.0, ""rq_balance"": 0.0}"
510500,500ETF,20260821,-85082140.0,"{""rz_balance"": 960753074.0, ""rz_buy"": 387041322.0, ""rz_repay"": 472123462.0, ""rq_balance"": 293591423.0}"
510510,广发500,20260821,-978227.0,"{""rz_balance"": 7299703.0, ""rz_buy"": 1385860.0, ""rz_repay"": 2364087.0, ""rq_balance"": 246600.0}"
510580,ZZ500ETF,20260821,-1030369.0,"{""rz_balance"": 11725574.0, ""rz_buy"": 2348157.0, ""rz_repay"": 3378526.0, ""rq_balance"": 0.0}"
510720,红利国泰,20260821,-1445366.0,"{""rz_balance"": 11517365.0, ""rz_buy"": 6128962.0, ""rz_repay"": 7574328.0, ""rq_balance"": 260700.0}"
510760,上证ETF,20260821,-261222.0,"{""rz_balance"": 111794002.0, ""rz_buy"": 14036135.0, ""rz_repay"": 14297357.0, ""rq_balance"": 0.0}"
510880,红利ETF,20260821,-82622.0,"{""rz_balance"": 79056760.0, ""rz_buy"": 12713146.0, ""rz_repay"": 12795768.0, ""rq_balance"": 712000.0}"
510900,恒生中国,20260821,-834254.0,"{""rz_balance"": 1538548020.0, ""rz_buy"": 20951282.0, ""rz_repay"": 21785536.0, ""rq_balance"": 0.0}"
510980,上证综合,20260821,-1363867.0,"{""rz_balance"": 25714338.0, ""rz_buy"": 5261150.0, ""rz_repay"": 6625017.0, ""rq_balance"": 0.0}"
511010,国债ETF,20260821,-1389997.0,"{""rz_balance"": 46408503.0, ""rz_buy"": 10381382.0, ""rz_repay"": 11771379.0, ""rq_balance"": 0.0}"
511020,活跃国债,20260821,11819.0,"{""rz_balance"": 141575.0, ""rz_buy"": 30771113.0, ""rz_repay"": 30759294.0, ""rq_balance"": 0.0}"
511030,公司债,20260821,-43.0,"{""rz_balance"": 4694153.0, ""rz_buy"": 7743246.0, ""rz_repay"": 7743289.0, ""rq_balance"": 0.0}"
511090,30年国债,20260821,-8171052.0,"{""rz_balance"": 531696143.0, ""rz_buy"": 298846680.0, ""rz_repay"": 307017732.0, ""rq_balance"": 0.0}"
511130,国债30年,20260821,-8967729.0,"{""rz_balance"": 244385789.0, ""rz_buy"": 218353544.0, ""rz_repay"": 227321273.0, ""rq_balance"": 0.0}"
511160,国债东财,20260821,0.0,"{""rz_balance"": 10224.0, ""rz_buy"": 1408430.0, ""rz_repay"": 1408430.0, ""rq_balance"": 0.0}"
511180,上证转债,20260821,-2480648.0,"{""rz_balance"": 29840725.0, ""rz_buy"": 23992943.0, ""rz_repay"": 26473591.0, ""rq_balance"": 0.0}"
511220,城投ETF,20260821,-6664727.0,"{""rz_balance"": 239842862.0, ""rz_buy"": 83462310.0, ""rz_repay"": 90127037.0, ""rq_balance"": 0.0}"
511260,十年国债,20260821,40948.0,"{""rz_balance"": 252613972.0, ""rz_buy"": 9121755.0, ""rz_repay"": 9080807.0, ""rq_balance"": 0.0}"
511270,10年地债,20260821,250967.0,"{""rz_balance"": 447964.0, ""rz_buy"": 16049326.0, ""rz_repay"": 15798359.0, ""rq_balance"": 0.0}"
511360,短融ETF,20260821,-330211251.0,"{""rz_balance"": 1630433371.0, ""rz_buy"": 3299603150.0, ""rz_repay"": 3629814401.0, ""rq_balance"": 0.0}"
