symbol_code,symbol_name,factor_date,factor_value,metadata_json
贵金属,贵金属,20260821,5021000000.0,"{""change_pct"": 5.34}"
能源金属,能源金属,20260821,1437000000.0,"{""change_pct"": 4.51}"
工业金属,工业金属,20260821,4590000000.0,"{""change_pct"": 2.65}"
小金属,小金属,20260821,1669000000.0000002,"{""change_pct"": 1.8}"
元件,元件,20260821,6060000000.0,"{""change_pct"": 1.55}"
石油加工贸易,石油加工贸易,20260821,-65000000.0,"{""change_pct"": 1.52}"
通信设备,通信设备,20260821,6155000000.0,"{""change_pct"": 1.38}"
非金属材料,非金属材料,20260821,569000000.0,"{""change_pct"": 1.3}"
塑料制品,塑料制品,20260821,550000000.0,"{""change_pct"": 1.28}"
消费电子,消费电子,20260821,3070000000.0,"{""change_pct"": 1.28}"
电池,电池,20260821,3304000000.0,"{""change_pct"": 1.26}"
油气开采及服务,油气开采及服务,20260821,343000000.0,"{""change_pct"": 1.22}"
光伏设备,光伏设备,20260821,1178000000.0,"{""change_pct"": 1.21}"
金属新材料,金属新材料,20260821,10000000.0,"{""change_pct"": 1.13}"
其他电源设备,其他电源设备,20260821,855000000.0000001,"{""change_pct"": 1.04}"
保险,保险,20260821,365000000.0,"{""change_pct"": 1.04}"
军工电子,军工电子,20260821,223000000.0,"{""change_pct"": 0.94}"
燃气,燃气,20260821,17000000.0,"{""change_pct"": 0.85}"
通用设备,通用设备,20260821,806000000.0,"{""change_pct"": 0.82}"
其他电子,其他电子,20260821,-803999999.9999999,"{""change_pct"": 0.81}"
光学光电子,光学光电子,20260821,981000000.0,"{""change_pct"": 0.78}"
计算机设备,计算机设备,20260821,772000000.0,"{""change_pct"": 0.77}"
港口航运,港口航运,20260821,1375000000.0,"{""change_pct"": 0.74}"
包装印刷,包装印刷,20260821,-28000000.000000004,"{""change_pct"": 0.73}"
橡胶制品,橡胶制品,20260821,-18000000.0,"{""change_pct"": 0.64}"
专用设备,专用设备,20260821,678000000.0,"{""change_pct"": 0.62}"
自动化设备,自动化设备,20260821,1172000000.0,"{""change_pct"": 0.62}"
军工装备,军工装备,20260821,938000000.0000001,"{""change_pct"": 0.54}"
汽车服务及其他,汽车服务及其他,20260821,108000000.0,"{""change_pct"": 0.49}"
环保设备,环保设备,20260821,73000000.0,"{""change_pct"": 0.46}"
汽车零部件,汽车零部件,20260821,627000000.0,"{""change_pct"": 0.45}"
化学原料,化学原料,20260821,432000000.0,"{""change_pct"": 0.44}"
电网设备,电网设备,20260821,227000000.0,"{""change_pct"": 0.37}"
半导体,半导体,20260821,139000000.0,"{""change_pct"": 0.37}"
化学纤维,化学纤维,20260821,339000000.0,"{""change_pct"": 0.32}"
轨交设备,轨交设备,20260821,-142000000.0,"{""change_pct"": 0.26}"
电子化学品,电子化学品,20260821,675000000.0,"{""change_pct"": 0.23}"
电机,电机,20260821,-74000000.0,"{""change_pct"": 0.17}"
煤炭开采加工,煤炭开采加工,20260821,416000000.0,"{""change_pct"": 0.16}"
物流,物流,20260821,-190000000.0,"{""change_pct"": 0.11}"
建筑材料,建筑材料,20260821,-14000000.000000002,"{""change_pct"": 0.1}"
建筑装饰,建筑装饰,20260821,-432000000.0,"{""change_pct"": 0.08}"
服装家纺,服装家纺,20260821,9000000.0,"{""change_pct"": 0.07}"
钢铁,钢铁,20260821,-236000000.0,"{""change_pct"": 0.06}"
化学制品,化学制品,20260821,-51000000.0,"{""change_pct"": 0.05}"
白色家电,白色家电,20260821,-188000000.0,"{""change_pct"": 0.05}"
工程机械,工程机械,20260821,21000000.0,"{""change_pct"": -0.01}"
环境治理,环境治理,20260821,178000000.0,"{""change_pct"": -0.01}"
IT服务,IT服务,20260821,-623000000.0,"{""change_pct"": -0.05}"
证券,证券,20260821,426999999.99999994,"{""change_pct"": -0.07}"
纺织制造,纺织制造,20260821,-17000000.0,"{""change_pct"": -0.09}"
多元金融,多元金融,20260821,236000000.0,"{""change_pct"": -0.15}"
家居用品,家居用品,20260821,-107000000.0,"{""change_pct"": -0.24}"
软件开发,软件开发,20260821,-4000000.0,"{""change_pct"": -0.24}"
小家电,小家电,20260821,-71000000.0,"{""change_pct"": -0.33}"
其他社会服务,其他社会服务,20260821,-57999999.99999999,"{""change_pct"": -0.34}"
风电设备,风电设备,20260821,-383000000.0,"{""change_pct"": -0.36}"
综合,综合,20260821,-178000000.0,"{""change_pct"": -0.37}"
电力,电力,20260821,-893000000.0,"{""change_pct"": -0.37}"
银行,银行,20260821,-1090000000.0,"{""change_pct"": -0.42}"
造纸,造纸,20260821,-27000000.0,"{""change_pct"": -0.42}"
通信服务,通信服务,20260821,-694000000.0,"{""change_pct"": -0.43}"
影视院线,影视院线,20260821,-219000000.0,"{""change_pct"": -0.46}"
文化传媒,文化传媒,20260821,-408000000.0,"{""change_pct"": -0.52}"
旅游及酒店,旅游及酒店,20260821,-297000000.0,"{""change_pct"": -0.53}"
互联网电商,互联网电商,20260821,-103000000.0,"{""change_pct"": -0.53}"
黑色家电,黑色家电,20260821,-45000000.0,"{""change_pct"": -0.55}"
零售,零售,20260821,-328000000.0,"{""change_pct"": -0.68}"
贸易,贸易,20260821,-23000000.0,"{""change_pct"": -0.68}"
公路铁路运输,公路铁路运输,20260821,-408000000.0,"{""change_pct"": -0.76}"
农化制品,农化制品,20260821,434999999.99999994,"{""change_pct"": -0.83}"
教育,教育,20260821,-28999999.999999996,"{""change_pct"": -0.9}"
房地产,房地产,20260821,-835000000.0,"{""change_pct"": -1.05}"
游戏,游戏,20260821,-624000000.0,"{""change_pct"": -1.06}"
机场航运,机场航运,20260821,-313000000.0,"{""change_pct"": -1.17}"
美容护理,美容护理,20260821,-198000000.0,"{""change_pct"": -1.19}"
汽车整车,汽车整车,20260821,-610000000.0,"{""change_pct"": -1.25}"
食品加工制造,食品加工制造,20260821,-206000000.0,"{""change_pct"": -1.52}"
饮料制造,饮料制造,20260821,-520000000.0,"{""change_pct"": -1.54}"
白酒,白酒,20260821,-1390000000.0,"{""change_pct"": -1.7}"
厨卫电器,厨卫电器,20260821,-115999999.99999999,"{""change_pct"": -1.91}"
医疗器械,医疗器械,20260821,-1267000000.0,"{""change_pct"": -1.96}"
养殖业,养殖业,20260821,-731000000.0,"{""change_pct"": -2.13}"
农产品加工,农产品加工,20260821,-753000000.0,"{""change_pct"": -2.35}"
中药,中药,20260821,-2088000000.0,"{""change_pct"": -3.27}"
生物制品,生物制品,20260821,-1514000000.0,"{""change_pct"": -3.5}"
医药商业,医药商业,20260821,-521000000.0,"{""change_pct"": -3.57}"
化学制药,化学制药,20260821,-5418000000.0,"{""change_pct"": -3.66}"
医疗服务,医疗服务,20260821,-2859000000.0,"{""change_pct"": -3.87}"
种植业与林业,种植业与林业,20260821,-734000000.0,"{""change_pct"": -4.27}"
