symbol_code,symbol_name,factor_date,factor_value,metadata_json
510050,50ETF,20260701,19084832.0,"{""rz_balance"": 1519259612.0, ""rz_buy"": 107112544.0, ""rz_repay"": 88027712.0, ""rq_balance"": 39205940.0}"
510100,SZ50ETF,20260701,-2301758.0,"{""rz_balance"": 26103056.0, ""rz_buy"": 2192872.0, ""rz_repay"": 4494630.0, ""rq_balance"": 0.0}"
510150,消费ETF,20260701,91062.0,"{""rz_balance"": 33783264.0, ""rz_buy"": 2248611.0, ""rz_repay"": 2157549.0, ""rq_balance"": 0.0}"
510170,商品ETF,20260701,332846.0,"{""rz_balance"": 3080061.0, ""rz_buy"": 1968163.0, ""rz_repay"": 1635317.0, ""rq_balance"": 0.0}"
510180,180ETF,20260701,848150.0,"{""rz_balance"": 78670689.0, ""rz_buy"": 1445727.0, ""rz_repay"": 597577.0, ""rq_balance"": 681500.0}"
510210,综指ETF,20260701,-9726765.0,"{""rz_balance"": 195088473.0, ""rz_buy"": 56588830.0, ""rz_repay"": 66315595.0, ""rq_balance"": 0.0}"
510230,金融ETF,20260701,795608.0,"{""rz_balance"": 16627570.0, ""rz_buy"": 3453954.0, ""rz_repay"": 2658346.0, ""rq_balance"": 0.0}"
510300,300ETF,20260701,2735982.0,"{""rz_balance"": 2604121775.0, ""rz_buy"": 135442927.0, ""rz_repay"": 132706945.0, ""rq_balance"": 62402400.0}"
510310,HS300ETF,20260701,-468899.0,"{""rz_balance"": 170253285.0, ""rz_buy"": 14928857.0, ""rz_repay"": 15397756.0, ""rq_balance"": 894722.0}"
510320,300中金,20260701,-307211.0,"{""rz_balance"": 1797490.0, ""rz_buy"": 682514.0, ""rz_repay"": 989725.0, ""rq_balance"": 0.0}"
510330,华夏300,20260701,1998142.0,"{""rz_balance"": 58841278.0, ""rz_buy"": 7861984.0, ""rz_repay"": 5863842.0, ""rq_balance"": 2092700.0}"
510350,工银300,20260701,-261611.0,"{""rz_balance"": 381078.0, ""rz_buy"": 1578.0, ""rz_repay"": 263189.0, ""rq_balance"": 0.0}"
510360,广发300,20260701,894260.0,"{""rz_balance"": 7298706.0, ""rz_buy"": 1822416.0, ""rz_repay"": 928156.0, ""rq_balance"": 0.0}"
510410,资源ETF,20260701,-119179.0,"{""rz_balance"": 5027446.0, ""rz_buy"": 1197298.0, ""rz_repay"": 1316477.0, ""rq_balance"": 0.0}"
510500,500ETF,20260701,13127055.0,"{""rz_balance"": 805546993.0, ""rz_buy"": 121952080.0, ""rz_repay"": 108825025.0, ""rq_balance"": 312544239.0}"
510510,广发500,20260701,-154158.0,"{""rz_balance"": 4822852.0, ""rz_buy"": 3528446.0, ""rz_repay"": 3682604.0, ""rq_balance"": 251400.0}"
510580,ZZ500ETF,20260701,-3282997.0,"{""rz_balance"": 5855263.0, ""rz_buy"": 2332399.0, ""rz_repay"": 5615396.0, ""rq_balance"": 0.0}"
510720,红利国泰,20260701,-5803702.0,"{""rz_balance"": 58199859.0, ""rz_buy"": 7767474.0, ""rz_repay"": 13571176.0, ""rq_balance"": 284200.0}"
510760,上证ETF,20260701,-71886.0,"{""rz_balance"": 76305875.0, ""rz_buy"": 13777002.0, ""rz_repay"": 13848888.0, ""rq_balance"": 0.0}"
510810,上海国企,20260701,-9693.0,"{""rz_balance"": 261220.0, ""rz_buy"": 10190.0, ""rz_repay"": 19883.0, ""rq_balance"": 0.0}"
510880,红利ETF,20260701,836500.0,"{""rz_balance"": 315424257.0, ""rz_buy"": 49133029.0, ""rz_repay"": 48296529.0, ""rq_balance"": 294700.0}"
510900,恒生中国,20260701,-3800940.0,"{""rz_balance"": 1871473547.0, ""rz_buy"": 1006991.0, ""rz_repay"": 4807931.0, ""rq_balance"": 0.0}"
510980,上证综合,20260701,7264.0,"{""rz_balance"": 19958434.0, ""rz_buy"": 8130069.0, ""rz_repay"": 8122805.0, ""rq_balance"": 0.0}"
511010,国债ETF,20260701,-6347983.0,"{""rz_balance"": 54871072.0, ""rz_buy"": 1280354.0, ""rz_repay"": 7628337.0, ""rq_balance"": 0.0}"
511030,公司债,20260701,-10799.0,"{""rz_balance"": 5664928.0, ""rz_buy"": 30108529.0, ""rz_repay"": 30119328.0, ""rq_balance"": 0.0}"
511090,30年国债,20260701,8375016.0,"{""rz_balance"": 431334414.0, ""rz_buy"": 353431675.0, ""rz_repay"": 345056659.0, ""rq_balance"": 0.0}"
511130,国债30年,20260701,59219596.0,"{""rz_balance"": 298865086.0, ""rz_buy"": 429310382.0, ""rz_repay"": 370090786.0, ""rq_balance"": 0.0}"
511180,上证转债,20260701,-4127760.0,"{""rz_balance"": 34067856.0, ""rz_buy"": 23204373.0, ""rz_repay"": 27332133.0, ""rq_balance"": 0.0}"
511220,城投ETF,20260701,717801.0,"{""rz_balance"": 303798023.0, ""rz_buy"": 134993127.0, ""rz_repay"": 134275326.0, ""rq_balance"": 0.0}"
511260,十年国债,20260701,-670474.0,"{""rz_balance"": 447083876.0, ""rz_buy"": 28064974.0, ""rz_repay"": 28735448.0, ""rq_balance"": 0.0}"
511360,短融ETF,20260701,-957106071.0,"{""rz_balance"": 2412517933.0, ""rz_buy"": 5015325463.0, ""rz_repay"": 5972431534.0, ""rq_balance"": 0.0}"
511380,转债ETF,20260701,-4544913.0,"{""rz_balance"": 1048716372.0, ""rz_buy"": 685217204.0, ""rz_repay"": 689762117.0, ""rq_balance"": 17482100.0}"
511520,政金债,20260701,-67497080.0,"{""rz_balance"": 1988704895.0, ""rz_buy"": 126260607.0, ""rz_repay"": 193757687.0, ""rq_balance"": 0.0}"
512000,券商ETF,20260701,-61544048.0,"{""rz_balance"": 2181838220.0, ""rz_buy"": 364308971.0, ""rz_repay"": 425853019.0, ""rq_balance"": 4925600.0}"
512010,医药ETF,20260701,6958981.0,"{""rz_balance"": 592655099.0, ""rz_buy"": 246279006.0, ""rz_repay"": 239320025.0, ""rq_balance"": 32553900.0}"
512020,A500,20260701,509522.0,"{""rz_balance"": 780508.0, ""rz_buy"": 1878393.0, ""rz_repay"": 1368871.0, ""rq_balance"": 0.0}"
512040,国信价值,20260701,515396.0,"{""rz_balance"": 27864683.0, ""rz_buy"": 6362487.0, ""rz_repay"": 5847091.0, ""rq_balance"": 0.0}"
512050,A500E,20260701,2018762.0,"{""rz_balance"": 63629422.0, ""rz_buy"": 18170959.0, ""rz_repay"": 16152197.0, ""rq_balance"": 16228100.0}"
512070,证券保险,20260701,-16726651.0,"{""rz_balance"": 542539918.0, ""rz_buy"": 76759226.0, ""rz_repay"": 93485877.0, ""rq_balance"": 2731400.0}"
512090,MSCI易基,20260701,-1202443.0,"{""rz_balance"": 6367998.0, ""rz_buy"": 1461521.0, ""rz_repay"": 2663964.0, ""rq_balance"": 0.0}"
512100,1000ETF,20260701,-14905672.0,"{""rz_balance"": 309461443.0, ""rz_buy"": 75876871.0, ""rz_repay"": 90782543.0, ""rq_balance"": 969988700.0}"
512170,医疗ETF,20260701,-27477191.0,"{""rz_balance"": 999214970.0, ""rz_buy"": 222728914.0, ""rz_repay"": 250206105.0, ""rq_balance"": 5327800.0}"
512200,地产ETF,20260701,-3941046.0,"{""rz_balance"": 83830278.0, ""rz_buy"": 6854164.0, ""rz_repay"": 10795210.0, ""rq_balance"": 779122.0}"
512220,TMTETF,20260701,1003801.0,"{""rz_balance"": 6065877.0, ""rz_buy"": 2692949.0, ""rz_repay"": 1689148.0, ""rq_balance"": 0.0}"
512290,生物医药,20260701,5620512.0,"{""rz_balance"": 146127179.0, ""rz_buy"": 23299212.0, ""rz_repay"": 17678700.0, ""rq_balance"": 130000.0}"
512330,信息ETF,20260701,944674.0,"{""rz_balance"": 2826278.0, ""rz_buy"": 1470146.0, ""rz_repay"": 525472.0, ""rq_balance"": 0.0}"
512400,有色ETF,20260701,5494181.0,"{""rz_balance"": 422001651.0, ""rz_buy"": 51063643.0, ""rz_repay"": 45569462.0, ""rq_balance"": 6518900.0}"
512480,半导体,20260701,3876389.0,"{""rz_balance"": 434985302.0, ""rz_buy"": 154763096.0, ""rz_repay"": 150886707.0, ""rq_balance"": 16625193.0}"
512500,中证500,20260701,1984334.0,"{""rz_balance"": 60892889.0, ""rz_buy"": 9884011.0, ""rz_repay"": 7899677.0, ""rq_balance"": 29175200.0}"
512510,ETF500,20260701,113919.0,"{""rz_balance"": 2211960.0, ""rz_buy"": 1036507.0, ""rz_repay"": 922588.0, ""rq_balance"": 0.0}"
512560,中证军工,20260701,-1045400.0,"{""rz_balance"": 10128779.0, ""rz_buy"": 5189514.0, ""rz_repay"": 6234914.0, ""rq_balance"": 0.0}"
512570,中证证券,20260701,10632827.0,"{""rz_balance"": 83930125.0, ""rz_buy"": 26941476.0, ""rz_repay"": 16308649.0, ""rq_balance"": 0.0}"
512580,环保ETF,20260701,25486.0,"{""rz_balance"": 2098901.0, ""rz_buy"": 704744.0, ""rz_repay"": 679258.0, ""rq_balance"": 0.0}"
