symbol_code,symbol_name,factor_date,factor_value,metadata_json
厨卫电器,厨卫电器,20260701,216000000.0,"{""change_pct"": 4.57}"
煤炭开采加工,煤炭开采加工,20260701,239000000.0,"{""change_pct"": 1.52}"
银行,银行,20260701,4397000000.0,"{""change_pct"": 1.46}"
港口航运,港口航运,20260701,711000000.0,"{""change_pct"": 0.37}"
保险,保险,20260701,2000000.0,"{""change_pct"": 0.2}"
公路铁路运输,公路铁路运输,20260701,-94000000.0,"{""change_pct"": -0.87}"
机场航运,机场航运,20260701,-418000000.0,"{""change_pct"": -0.98}"
贵金属,贵金属,20260701,982000000.0,"{""change_pct"": -1.06}"
油气开采及服务,油气开采及服务,20260701,-293000000.0,"{""change_pct"": -1.44}"
石油加工贸易,石油加工贸易,20260701,745000000.0,"{""change_pct"": -1.46}"
中药,中药,20260701,-891000000.0,"{""change_pct"": -1.5}"
证券,证券,20260701,-4142000000.0,"{""change_pct"": -1.61}"
化学原料,化学原料,20260701,-918000000.0,"{""change_pct"": -1.82}"
房地产,房地产,20260701,-1430000000.0,"{""change_pct"": -1.82}"
农化制品,农化制品,20260701,-1182000000.0,"{""change_pct"": -1.9}"
汽车整车,汽车整车,20260701,-597000000.0,"{""change_pct"": -1.91}"
钢铁,钢铁,20260701,-959000000.0,"{""change_pct"": -1.99}"
多元金融,多元金融,20260701,-1183000000.0,"{""change_pct"": -2.08}"
化学制药,化学制药,20260701,-3495000000.0000005,"{""change_pct"": -2.08}"
轨交设备,轨交设备,20260701,-25000000.0,"{""change_pct"": -2.19}"
燃气,燃气,20260701,-297000000.0,"{""change_pct"": -2.22}"
农产品加工,农产品加工,20260701,-916000000.0,"{""change_pct"": -2.25}"
化学纤维,化学纤维,20260701,-594000000.0,"{""change_pct"": -2.32}"
旅游及酒店,旅游及酒店,20260701,-256999999.99999997,"{""change_pct"": -2.33}"
教育,教育,20260701,-187000000.0,"{""change_pct"": -2.34}"
白酒,白酒,20260701,-693000000.0,"{""change_pct"": -2.39}"
汽车服务及其他,汽车服务及其他,20260701,-178000000.0,"{""change_pct"": -2.43}"
贸易,贸易,20260701,-142000000.0,"{""change_pct"": -2.49}"
物流,物流,20260701,-329000000.0,"{""change_pct"": -2.52}"
电力,电力,20260701,-3659000000.0000005,"{""change_pct"": -2.67}"
家居用品,家居用品,20260701,-548000000.0,"{""change_pct"": -2.67}"
养殖业,养殖业,20260701,-1162000000.0,"{""change_pct"": -2.74}"
生物制品,生物制品,20260701,-1073000000.0,"{""change_pct"": -2.79}"
饮料制造,饮料制造,20260701,-312000000.0,"{""change_pct"": -2.93}"
种植业与林业,种植业与林业,20260701,-732000000.0,"{""change_pct"": -2.96}"
建筑材料,建筑材料,20260701,-2965000000.0,"{""change_pct"": -2.98}"
环境治理,环境治理,20260701,-996000000.0000001,"{""change_pct"": -3.0}"
综合,综合,20260701,-630000000.0,"{""change_pct"": -3.04}"
食品加工制造,食品加工制造,20260701,-1002000000.0,"{""change_pct"": -3.04}"
纺织制造,纺织制造,20260701,-122000000.0,"{""change_pct"": -3.06}"
小家电,小家电,20260701,-187000000.0,"{""change_pct"": -3.1}"
医药商业,医药商业,20260701,-488000000.0,"{""change_pct"": -3.11}"
工业金属,工业金属,20260701,-3277000000.0000005,"{""change_pct"": -3.12}"
造纸,造纸,20260701,-361000000.0,"{""change_pct"": -3.19}"
服装家纺,服装家纺,20260701,-471000000.0,"{""change_pct"": -3.33}"
文化传媒,文化传媒,20260701,-1557000000.0,"{""change_pct"": -3.36}"
橡胶制品,橡胶制品,20260701,-231999999.99999997,"{""change_pct"": -3.45}"
医疗器械,医疗器械,20260701,-1386000000.0,"{""change_pct"": -3.46}"
零售,零售,20260701,-1492000000.0,"{""change_pct"": -3.56}"
化学制品,化学制品,20260701,-1339000000.0,"{""change_pct"": -3.6}"
建筑装饰,建筑装饰,20260701,-2172000000.0,"{""change_pct"": -3.62}"
美容护理,美容护理,20260701,-291000000.0,"{""change_pct"": -3.71}"
黑色家电,黑色家电,20260701,-451000000.0,"{""change_pct"": -3.78}"
游戏,游戏,20260701,-1058000000.0,"{""change_pct"": -3.79}"
包装印刷,包装印刷,20260701,-341000000.0,"{""change_pct"": -3.91}"
能源金属,能源金属,20260701,-668000000.0,"{""change_pct"": -3.99}"
其他社会服务,其他社会服务,20260701,-391000000.0,"{""change_pct"": -4.03}"
白色家电,白色家电,20260701,-400000000.0,"{""change_pct"": -4.04}"
工程机械,工程机械,20260701,-534999999.99999994,"{""change_pct"": -4.1}"
风电设备,风电设备,20260701,77000000.0,"{""change_pct"": -4.18}"
电池,电池,20260701,-2800000000.0,"{""change_pct"": -4.24}"
环保设备,环保设备,20260701,-248000000.0,"{""change_pct"": -4.32}"
