symbol_code,symbol_name,factor_date,factor_value,metadata_json
688836,宇树科技,20260702,-1901000000.0000002,"{""change_pct"": 460.34, ""price"": 845.0, ""super_large_net"": 0.0, ""main_pct"": 0.0}"
301106,骏成科技,20260702,-9493600.0,"{""change_pct"": 20.02, ""price"": 25.42, ""super_large_net"": 0.0, ""main_pct"": 0.0}"
300069,金利华电,20260702,-86603000.0,"{""change_pct"": 20.01, ""price"": 34.66, ""super_large_net"": 0.0, ""main_pct"": 0.0}"
301130,西点药业,20260702,-61682900.0,"{""change_pct"": 19.99, ""price"": 33.38, ""super_large_net"": 0.0, ""main_pct"": 0.0}"
300911,亿田智能,20260702,159000000.0,"{""change_pct"": 19.98, ""price"": 26.66, ""super_large_net"": 0.0, ""main_pct"": 0.0}"
301211,亨迪药业,20260702,-204000000.0,"{""change_pct"": 19.97, ""price"": 14.54, ""super_large_net"": 0.0, ""main_pct"": 0.0}"
688569,铁科轨道,20260702,28589200.0,"{""change_pct"": 13.28, ""price"": 19.7, ""super_large_net"": 0.0, ""main_pct"": 0.0}"
300313,天山生物,20260702,101000000.0,"{""change_pct"": 12.19, ""price"": 14.45, ""super_large_net"": 0.0, ""main_pct"": 0.0}"
000560,我爱我家,20260702,-379000000.0,"{""change_pct"": 10.19, ""price"": 2.38, ""super_large_net"": 0.0, ""main_pct"": 0.0}"
601011,宝泰隆,20260702,-124000000.0,"{""change_pct"": 10.14, ""price"": 3.04, ""super_large_net"": 0.0, ""main_pct"": 0.0}"
000736,中交发展,20260702,-76994100.0,"{""change_pct"": 10.11, ""price"": 4.9, ""super_large_net"": 0.0, ""main_pct"": 0.0}"
601015,陕西黑猫,20260702,-47941500.0,"{""change_pct"": 10.09, ""price"": 3.71, ""super_large_net"": 0.0, ""main_pct"": 0.0}"
002333,罗普斯金,20260702,-89434300.0,"{""change_pct"": 10.07, ""price"": 6.34, ""super_large_net"": 0.0, ""main_pct"": 0.0}"
002412,汉森制药,20260702,-100000000.0,"{""change_pct"": 10.07, ""price"": 8.42, ""super_large_net"": 0.0, ""main_pct"": 0.0}"
001338,永顺泰,20260702,-136000000.0,"{""change_pct"": 10.06, ""price"": 9.63, ""super_large_net"": 0.0, ""main_pct"": 0.0}"
603801,志邦家居,20260702,-47131100.0,"{""change_pct"": 10.05, ""price"": 6.57, ""super_large_net"": 0.0, ""main_pct"": 0.0}"
603113,金能科技,20260702,-1330700.0,"{""change_pct"": 10.04, ""price"": 5.15, ""super_large_net"": 0.0, ""main_pct"": 0.0}"
002953,日丰股份,20260702,-227999999.99999997,"{""change_pct"": 10.04, ""price"": 11.73, ""super_large_net"": 0.0, ""main_pct"": 0.0}"
002543,万和电气,20260702,20003700.0,"{""change_pct"": 10.03, ""price"": 7.57, ""super_large_net"": 0.0, ""main_pct"": 0.0}"
600783,鲁信创投,20260702,-836000000.0,"{""change_pct"": 10.03, ""price"": 20.19, ""super_large_net"": 0.0, ""main_pct"": 0.0}"
603395,红四方,20260702,-213000000.0,"{""change_pct"": 10.02, ""price"": 29.0, ""super_large_net"": 0.0, ""main_pct"": 0.0}"
001277,速达股份,20260702,-68309300.0,"{""change_pct"": 10.01, ""price"": 32.97, ""super_large_net"": 0.0, ""main_pct"": 0.0}"
001301,尚太科技,20260702,-463999999.99999994,"{""change_pct"": 10.01, ""price"": 62.33, ""super_large_net"": 0.0, ""main_pct"": 0.0}"
600610,中毅达,20260702,-90784599.99999999,"{""change_pct"": 10.01, ""price"": 7.8, ""super_large_net"": 0.0, ""main_pct"": 0.0}"
000505,京粮控股,20260702,-276000000.0,"{""change_pct"": 10.01, ""price"": 7.47, ""super_large_net"": 0.0, ""main_pct"": 0.0}"
000020,深华发A,20260702,-173000000.0,"{""change_pct"": 10.01, ""price"": 13.74, ""super_large_net"": 0.0, ""main_pct"": 0.0}"
001400,江顺科技,20260702,-77617400.0,"{""change_pct"": 10.0, ""price"": 85.94, ""super_large_net"": 0.0, ""main_pct"": 0.0}"
603102,百合股份,20260702,-149000000.0,"{""change_pct"": 10.0, ""price"": 45.76, ""super_large_net"": 0.0, ""main_pct"": 0.0}"
