trigger_time,trigger_date,source_file,symbol_code,symbol_name_raw,signal_group,buy_decision,signal_tier,buy_score,probability_value,expected_return_t1_pct,expected_net_edge_pct,expected_upside_pct,expected_downside_pct,payoff_ratio,entry_date,entry_price,t1_close,t3_close,t5_close,t1_return_pct,t3_return_pct,t5_return_pct,max_gain_pct,max_loss_pct,max_drawdown_pct,weekly_trend_score,relative_strength_score,daily_entry_score,catalyst_score,capital_flow_score,technical_score,market_regime_score,tradeability_score,risk_reward_score,data_quality_score,ma20_deviation_pct,prev_day_gain_pct,flow_data_available,primary_catalyst,consensus_score,future_evidence_count,tier_confidence,recommended_position_size_pct,forward_opportunity_score,fundamental_score,valuation_score,atr_pct,daily_volatility_20d_pct,trade_plan_status,trade_plan_rsi,trade_plan_vwap20,trade_plan_ema8,trade_plan_ema13,trade_plan_ema21,trade_plan_volume_ratio,trade_plan_amount_ratio,trade_plan_volume_ma5_ma20_ratio,trade_plan_support_1,trade_plan_support_2,trade_plan_resistance_1,trade_plan_resistance_2,trade_plan_entry_zone_low,trade_plan_entry_zone_high,trade_plan_stop_loss,trade_plan_stop_loss_pct,trade_plan_take_profit_1,trade_plan_take_profit_2,trade_plan_rr_1,trade_plan_rr_ok,trade_plan_pass,trade_plan_reject_reasons,strategy,_eval_error
2026-06-17 18:00:00,20260617,2026-06-17_18-00-00.json,300502,新易盛,buy_passed,buy,A,99.5,0.6188,1.806,,,,,20260618,552.66,581.48,552.0,610.49,5.2148,-0.1194,10.4639,10.52,-2.2907,-2.2907,100.0,100.0,58.0,60.0,60.0,56.36,62.0,65.0,49.55,65.0,8.4,1.62,True,False,0.0,0.0,85.46,15.0,99.5,,,,,missing,,,,,,,,,,,,,,,,,,,,,,,momentum,
2026-06-17 18:00:00,20260617,2026-06-17_18-00-00.json,000831,中国稀土,buy_passed,buy,A,99.5,0.582,1.76,,,,,20260618,58.57,61.87,59.64,57.61,5.6343,1.8269,-1.6391,14.1369,-3.8757,-3.8757,100.0,88.12,82.0,60.0,60.0,57.0,62.0,68.0,48.08,65.0,11.0,-3.09,True,False,0.0,0.0,84.64,15.0,99.5,,,,,missing,,,,,,,,,,,,,,,,,,,,,,,momentum,
2026-06-17 18:00:00,20260617,2026-06-17_18-00-00.json,300308,中际旭创,buy_passed,buy,A,97.0,0.6556,1.905,,,,,20260618,1270.0,1367.88,1310.01,1323.4,7.7071,3.1504,4.2047,11.5654,-0.1,-0.1,100.0,100.0,58.0,55.83,60.0,56.84,62.0,65.0,55.52,65.0,9.6,2.25,True,False,0.0,0.0,85.02,15.0,97.0,,,,,missing,,,,,,,,,,,,,,,,,,,,,,,momentum,
2026-06-17 18:00:00,20260617,2026-06-17_18-00-00.json,300394,天孚通信,buy_passed,buy,A,97.0,0.6004,1.704,,,,,20260618,325.0,336.6,311.06,341.97,3.5692,-4.2892,5.2215,6.4615,-5.8462,-5.8462,100.0,100.0,58.0,60.0,60.0,55.96,62.0,65.0,53.32,65.0,7.4,1.42,True,False,0.0,0.0,83.52,15.0,97.0,,,,,missing,,,,,,,,,,,,,,,,,,,,,,,momentum,
2026-06-17 18:00:00,20260617,2026-06-17_18-00-00.json,688012,中微公司,buy_passed,buy,A,96.0,0.5636,1.754,,,,,20260618,350.0,360.0,371.72,399.13,2.8571,6.2057,14.0371,17.8571,-1.4286,-1.4286,100.0,100.0,82.0,60.0,60.0,57.0,62.0,65.0,56.34,65.0,16.6,10.03,True,False,0.0,0.0,82.33,15.0,96.0,,,,,missing,,,,,,,,,,,,,,,,,,,,,,,momentum,
2026-06-18 18:00:00,20260618,2026-06-18_18-00-00.json,300502,新易盛,buy_passed,buy,A,99.5,0.6372,1.909,,,,,20260622,584.1,579.97,555.3,566.0,-0.7071,-4.9307,-3.0988,4.5711,-7.5501,-7.5501,100.0,100.0,58.0,60.0,60.0,57.0,62.0,65.0,45.79,65.0,11.1,4.23,True,False,0.0,0.0,86.04,15.0,99.5,,,,,missing,,,,,,,,,,,,,,,,,,,,,,,momentum,
2026-06-18 18:00:00,20260618,2026-06-18_18-00-00.json,688012,中微公司,buy_passed,buy,A,92.0,0.6004,2.145,,,,,20260622,371.99,372.74,383.0,413.0,0.2016,2.9598,11.0245,13.9278,-3.7609,-3.7609,100.0,100.0,82.0,60.0,64.0,69.0,62.0,65.0,59.62,65.0,18.8,2.56,True,False,0.0,0.0,81.65,15.0,92.0,,,,,missing,,,,,,,,,,,,,,,,,,,,,,,momentum,
2026-06-18 18:00:00,20260618,2026-06-18_18-00-00.json,300308,中际旭创,buy_passed,buy,A,91.0,0.7108,2.415,,,,,20260622,1367.78,1382.33,1312.18,1253.89,1.0638,-4.065,-8.3266,3.5898,-9.6982,-9.6982,100.0,100.0,74.0,60.0,60.0,81.0,62.0,65.0,62.23,65.0,15.7,7.19,True,False,0.0,0.0,83.85,15.0,91.0,,,,,missing,,,,,,,,,,,,,,,,,,,,,,,momentum,
2026-06-18 18:00:00,20260618,2026-06-18_18-00-00.json,000831,中国稀土,buy_passed,buy,A,87.0,0.628,2.161,,,,,20260622,62.87,66.27,58.25,54.85,5.408,-7.3485,-12.7565,6.3305,-13.0428,-13.0428,100.0,100.0,72.0,68.0,60.0,57.0,62.0,68.0,49.92,65.0,15.1,4.76,True,False,0.0,0.0,79.48,15.0,87.0,,,,,missing,,,,,,,,,,,,,,,,,,,,,,,momentum,
2026-06-22 18:00:00,20260622,2026-06-22_18-00-00.json,300502,新易盛,buy_passed,buy,A,99.5,0.628,1.91,,,,,20260623,575.0,552.0,610.49,556.96,-4.0,6.1722,-3.1374,6.2261,-8.8313,-8.8313,100.0,100.0,82.0,60.0,60.0,56.72,62.0,65.0,58.92,55.0,9.3,-0.26,True,False,0.0,0.0,84.35,15.0,99.5,,,,,missing,,,,,,,,,,,,,,,,,,,,,,,momentum,
