factor,ic_t1,n,q1_avg_t1,q4_avg_t1,monotonic_q1_q4_up
data_quality_score,0.3175,34,1.8686,2.2722,True
relative_strength_score,0.1567,38,,,False
prev_day_gain_pct,0.0968,38,-0.2308,1.5374,True
capital_flow_score,0.0738,34,1.7128,3.4699,True
ma20_deviation_pct,0.0562,38,2.2629,2.603,True
daily_entry_score,0.0265,38,1.6842,1.63,False
probability_value,0.0233,34,1.4255,1.9731,True
tradeability_score,0.013,34,,,False
catalyst_score,-0.0152,34,3.0273,4.8779,True
risk_reward_score,-0.0255,34,3.2011,1.3377,False
buy_score,-0.0949,34,1.9809,1.3339,False
