trigger_date,symbol_code,signal_group,buy_score,ret_5d_pct,sector_3d,sector_5d,sector_10d,t1_return_pct,t3_return_pct,t5_return_pct
20260810,603663,buy_passed,95.84,27.315394242803492,,,,0.9988,-0.4744,11.5106
20260810,601869,buy_passed,99.5,30.800609988562687,,,,0.5749,1.0509,12.7365
20260810,2902,buy_passed,92.36,,,,,0.7475,3.0731,8.9286
20260810,603259,buy_passed,87.0,25.55642023346303,9.44,5.895,11.392,-0.1247,1.1969,4.0396
20260810,2156,watch,77.17,,,,,-0.6881,-0.4321,10.8337
20260810,2602,consensus,,,,,,-1.3194,-4.6528,-2.2917
20260810,603296,consensus,,,1.216,-2.627,-1.153,-0.3114,7.0877,8.2461
20260810,688525,consensus,,,,,,1.3227,-1.6283,7.4843
20260810,688320,consensus,,,,,,4.2199,10.3261,15.8568
20260811,300149,buy_passed,99.0,16.281512605042025,4.055,7.776,12.848,0.7463,4.4776,
20260811,300683,buy_passed,99.0,15.0093808630394,4.055,7.776,12.848,-1.1251,1.2574,
20260811,603456,buy_passed,99.5,6.802288620470431,4.055,7.776,12.848,1.3855,5.5422,
20260811,300404,buy_passed,95.0,18.3734939759036,4.055,7.776,12.848,2.906,48.2051,
20260811,300759,buy_passed,95.0,19.213426853707418,4.055,7.776,12.848,0.7361,3.3018,
20260811,603535,consensus,,,2.073,0.738,-2.057,1.0786,-0.4622,
20260811,601607,consensus,,,,,,-0.5405,-0.3604,
20260811,2432,consensus,,,,,,1.1138,3.2144,
20260811,422,consensus,,,,,,0.3861,-1.8533,
20260811,603296,consensus,,,4.546,-2.098,-1.928,-1.0518,7.6384,
20260812,603087,buy_passed,87.0,9.659090909090896,,,,3.7216,,
20260812,600572,buy_passed,96.0,10.98130841121494,,,,-2.0921,0.4184,
20260812,603198,watch,95.0,,,,,-0.1907,-6.0563,
20260812,600216,consensus,,,,,,-2.4727,-4.0,
20260813,300347,buy_passed,99.5,11.464839814628247,5.54,8.852,15.02,1.6697,,
