trigger_time,symbol_code,symbol_name,old_buy_score,entry_delta,new_buy_score,entry_quality_score,crowding_score,reason
2026-08-11 18:00:00,300149.SZ,睿智医药,99.0,-4.0,95.0,50.0,55.0,"sector_warm=8.2%,ret5=16.3%_extended"
2026-08-11 18:00:00,300683.SZ,海特生物,99.0,-4.0,95.0,50.0,55.0,"sector_warm=8.2%,ret5=15.0%_extended"
2026-08-11 18:00:00,603456.SH,九洲药业,99.5,1.0,99.5,62.5,55.0,"sector_warm=8.2%,ret5=6.8%_early,ret5=6.8%_normal"
2026-08-11 18:00:00,300404.SZ,博济医药,95.0,-9.0,86.0,37.5,55.0,"sector_warm=8.2%,ret5=18.4%_extended,ma20_warm=18.9%"
2026-08-11 18:00:00,300759.SZ,康龙化成,95.0,-9.0,86.0,37.5,55.0,"sector_warm=8.2%,ret5=19.2%_extended,ma20_warm=20.4%"
2026-08-10 18:00:00,603663.SH,三祥新材,95.84,-6.0,89.84,45.0,0.0,ret5=27.3%_high
2026-08-10 18:00:00,601869.SH,长飞光纤,99.5,-6.0,93.5,45.0,0.0,ret5=30.8%_high
2026-08-10 18:00:00,002902.SZ,铭普光磁,92.36,2.0,94.36,65.0,0.0,"ret5=5.7%_early,ret5=5.7%_normal,short_setup"
2026-08-10 18:00:00,603259.SH,药明康德,87.0,-11.0,76.0,32.5,55.0,"sector_warm=8.9%,ret5=25.6%_high,sector1d_hot=4.6%,rsi_hot=80.9,ma20_warm=22.4%"
2026-08-12 18:00:00,603087.SH,甘李药业,87.0,0.0,87.0,60.0,0.0,"ret5=9.7%_mild,volume_confirmed,short_setup"
2026-08-12 18:00:00,600572.SH,康恩贝,96.0,0.0,96.0,60.0,0.0,"ret5=11.0%_mild,volume_confirmed,short_setup"
2026-08-13 18:00:00,300347.SZ,泰格医药,99.5,-2.0,97.5,55.0,55.0,"sector_warm=9.8%,ret5=11.5%_mild"
