symbol_code,symbol_name,factor_date,factor_value,metadata_json
510050,50ETF,20260807,-25716523.0,"{""rz_balance"": 1429313611.0, ""rz_buy"": 40236230.0, ""rz_repay"": 65952753.0, ""rq_balance"": 37477040.0}"
510100,SZ50ETF,20260807,-625257.0,"{""rz_balance"": 24986030.0, ""rz_buy"": 3267309.0, ""rz_repay"": 3892566.0, ""rq_balance"": 0.0}"
510150,消费ETF,20260807,-1091040.0,"{""rz_balance"": 28513631.0, ""rz_buy"": 1235303.0, ""rz_repay"": 2326343.0, ""rq_balance"": 50800.0}"
510170,商品ETF,20260807,33572.0,"{""rz_balance"": 2297806.0, ""rz_buy"": 1385036.0, ""rz_repay"": 1351464.0, ""rq_balance"": 0.0}"
510180,180ETF,20260807,-92622.0,"{""rz_balance"": 79647496.0, ""rz_buy"": 2715550.0, ""rz_repay"": 2808172.0, ""rq_balance"": 676600.0}"
510210,综指ETF,20260807,-24593052.0,"{""rz_balance"": 245649308.0, ""rz_buy"": 62313540.0, ""rz_repay"": 86906592.0, ""rq_balance"": 0.0}"
510230,金融ETF,20260807,7136814.0,"{""rz_balance"": 19914668.0, ""rz_buy"": 8928525.0, ""rz_repay"": 1791711.0, ""rq_balance"": 0.0}"
510300,300ETF,20260807,-92574711.0,"{""rz_balance"": 2808681697.0, ""rz_buy"": 75462487.0, ""rz_repay"": 168037198.0, ""rq_balance"": 54363312.0}"
510310,HS300ETF,20260807,-14730866.0,"{""rz_balance"": 284422736.0, ""rz_buy"": 7093212.0, ""rz_repay"": 21824078.0, ""rq_balance"": 1956700.0}"
510320,300中金,20260807,-11989.0,"{""rz_balance"": 1642944.0, ""rz_buy"": 104260.0, ""rz_repay"": 116249.0, ""rq_balance"": 0.0}"
510330,华夏300,20260807,-4298979.0,"{""rz_balance"": 70708992.0, ""rz_buy"": 780537.0, ""rz_repay"": 5079516.0, ""rq_balance"": 1733800.0}"
510350,工银300,20260807,-640852.0,"{""rz_balance"": 554358.0, ""rz_buy"": 94096.0, ""rz_repay"": 734948.0, ""rq_balance"": 0.0}"
510360,广发300,20260807,-3180015.0,"{""rz_balance"": 12709136.0, ""rz_buy"": 1774179.0, ""rz_repay"": 4954194.0, ""rq_balance"": 0.0}"
510410,资源ETF,20260807,-326929.0,"{""rz_balance"": 4048582.0, ""rz_buy"": 708745.0, ""rz_repay"": 1035674.0, ""rq_balance"": 0.0}"
510500,500ETF,20260807,-24902110.0,"{""rz_balance"": 1054118050.0, ""rz_buy"": 58412698.0, ""rz_repay"": 83314808.0, ""rq_balance"": 293762823.0}"
510510,广发500,20260807,-2095532.0,"{""rz_balance"": 11778602.0, ""rz_buy"": 2370435.0, ""rz_repay"": 4465967.0, ""rq_balance"": 246400.0}"
510580,ZZ500ETF,20260807,-3416323.0,"{""rz_balance"": 28902394.0, ""rz_buy"": 1995668.0, ""rz_repay"": 5411991.0, ""rq_balance"": 0.0}"
