symbol_code,symbol_name,factor_date,factor_value,metadata_json
电子化学品,电子化学品,20260618,1619000000.0000002,"{""change_pct"": 4.07}"
非金属材料,非金属材料,20260618,128000000.0,"{""change_pct"": 3.84}"
元件,元件,20260618,-391000000.0,"{""change_pct"": 2.52}"
通信设备,通信设备,20260618,11755000000.0,"{""change_pct"": 2.33}"
金属新材料,金属新材料,20260618,635000000.0,"{""change_pct"": 2.05}"
小金属,小金属,20260618,2838000000.0,"{""change_pct"": 1.99}"
半导体,半导体,20260618,59000000.0,"{""change_pct"": 1.86}"
其他电子,其他电子,20260618,307000000.0,"{""change_pct"": 1.7}"
环保设备,环保设备,20260618,96000000.0,"{""change_pct"": 1.55}"
通信服务,通信服务,20260618,2196000000.0,"{""change_pct"": 1.38}"
光学光电子,光学光电子,20260618,-1021000000.0000001,"{""change_pct"": 1.29}"
自动化设备,自动化设备,20260618,496000000.0,"{""change_pct"": 1.24}"
游戏,游戏,20260618,1159000000.0,"{""change_pct"": 1.22}"
塑料制品,塑料制品,20260618,-314000000.0,"{""change_pct"": 1.0}"
医药商业,医药商业,20260618,-278000000.0,"{""change_pct"": 0.99}"
工业金属,工业金属,20260618,-623000000.0,"{""change_pct"": 0.94}"
煤炭开采加工,煤炭开采加工,20260618,687000000.0,"{""change_pct"": 0.91}"
黑色家电,黑色家电,20260618,167000000.0,"{""change_pct"": 0.89}"
电池,电池,20260618,1384000000.0,"{""change_pct"": 0.89}"
消费电子,消费电子,20260618,474000000.0,"{""change_pct"": 0.78}"
其他电源设备,其他电源设备,20260618,-283000000.0,"{""change_pct"": 0.72}"
专用设备,专用设备,20260618,552000000.0,"{""change_pct"": 0.69}"
通用设备,通用设备,20260618,-553000000.0,"{""change_pct"": 0.69}"
能源金属,能源金属,20260618,-225000000.0,"{""change_pct"": 0.68}"
军工装备,军工装备,20260618,-206000000.0,"{""change_pct"": 0.64}"
化学纤维,化学纤维,20260618,-614000000.0,"{""change_pct"": 0.58}"
橡胶制品,橡胶制品,20260618,73000000.0,"{""change_pct"": 0.56}"
军工电子,军工电子,20260618,-401000000.0,"{""change_pct"": 0.46}"
贵金属,贵金属,20260618,567000000.0,"{""change_pct"": 0.41}"
计算机设备,计算机设备,20260618,-1785000000.0000002,"{""change_pct"": 0.24}"
白色家电,白色家电,20260618,-655000000.0,"{""change_pct"": 0.22}"
生物制品,生物制品,20260618,-270000000.0,"{""change_pct"": 0.21}"
建筑材料,建筑材料,20260618,1448000000.0,"{""change_pct"": 0.15}"
环境治理,环境治理,20260618,-245000000.00000003,"{""change_pct"": 0.15}"
造纸,造纸,20260618,-59000000.0,"{""change_pct"": 0.13}"
化学制品,化学制品,20260618,-1121000000.0,"{""change_pct"": 0.09}"
IT服务,IT服务,20260618,1652000000.0,"{""change_pct"": 0.08}"
汽车零部件,汽车零部件,20260618,-518000000.0,"{""change_pct"": 0.06}"
软件开发,软件开发,20260618,-1116000000.0,"{""change_pct"": 0.05}"
贸易,贸易,20260618,24000000.0,"{""change_pct"": 0.02}"
钢铁,钢铁,20260618,492000000.0,"{""change_pct"": 0.02}"
服装家纺,服装家纺,20260618,-164000000.0,"{""change_pct"": -0.02}"
光伏设备,光伏设备,20260618,-927999999.9999999,"{""change_pct"": -0.07}"
石油加工贸易,石油加工贸易,20260618,240000000.0,"{""change_pct"": -0.08}"
纺织制造,纺织制造,20260618,-178000000.0,"{""change_pct"": -0.11}"
家居用品,家居用品,20260618,-70000000.0,"{""change_pct"": -0.11}"
医疗器械,医疗器械,20260618,-827999999.9999999,"{""change_pct"": -0.12}"
建筑装饰,建筑装饰,20260618,-1209000000.0,"{""change_pct"": -0.13}"
工程机械,工程机械,20260618,-169000000.0,"{""change_pct"": -0.13}"
其他社会服务,其他社会服务,20260618,-103000000.0,"{""change_pct"": -0.13}"
综合,综合,20260618,307000000.0,"{""change_pct"": -0.14}"
轨交设备,轨交设备,20260618,-112000000.00000001,"{""change_pct"": -0.2}"
农化制品,农化制品,20260618,-188000000.0,"{""change_pct"": -0.3}"
汽车服务及其他,汽车服务及其他,20260618,-26000000.0,"{""change_pct"": -0.32}"
医疗服务,医疗服务,20260618,-2586000000.0,"{""change_pct"": -0.33}"
电机,电机,20260618,-308000000.0,"{""change_pct"": -0.37}"
公路铁路运输,公路铁路运输,20260618,-63000000.0,"{""change_pct"": -0.38}"
