symbol_code,symbol_name,factor_date,factor_value,metadata_json
510050,50ETF,20260803,53310950.0,"{""rz_balance"": 1523800208.0, ""rz_buy"": 116596119.0, ""rz_repay"": 63285169.0, ""rq_balance"": 33789640.0}"
510100,SZ50ETF,20260803,4627239.0,"{""rz_balance"": 32688025.0, ""rz_buy"": 11626800.0, ""rz_repay"": 6999561.0, ""rq_balance"": 0.0}"
510150,消费ETF,20260803,154857.0,"{""rz_balance"": 30458098.0, ""rz_buy"": 1342630.0, ""rz_repay"": 1187773.0, ""rq_balance"": 0.0}"
510170,商品ETF,20260803,-258380.0,"{""rz_balance"": 1937540.0, ""rz_buy"": 1016461.0, ""rz_repay"": 1274841.0, ""rq_balance"": 0.0}"
510180,180ETF,20260803,1003920.0,"{""rz_balance"": 81087789.0, ""rz_buy"": 2759717.0, ""rz_repay"": 1755797.0, ""rq_balance"": 454700.0}"
510210,综指ETF,20260803,29656466.0,"{""rz_balance"": 372496942.0, ""rz_buy"": 114411308.0, ""rz_repay"": 84754842.0, ""rq_balance"": 0.0}"
510230,金融ETF,20260803,347880.0,"{""rz_balance"": 10562391.0, ""rz_buy"": 1566955.0, ""rz_repay"": 1219075.0, ""rq_balance"": 0.0}"
510300,300ETF,20260803,267967016.0,"{""rz_balance"": 3444168327.0, ""rz_buy"": 463946549.0, ""rz_repay"": 195979533.0, ""rq_balance"": 41349712.0}"
510310,HS300ETF,20260803,16721205.0,"{""rz_balance"": 343382560.0, ""rz_buy"": 33337824.0, ""rz_repay"": 16616619.0, ""rq_balance"": 1375200.0}"
510320,300中金,20260803,-578360.0,"{""rz_balance"": 1687301.0, ""rz_buy"": 69524.0, ""rz_repay"": 647884.0, ""rq_balance"": 0.0}"
510330,华夏300,20260803,7416227.0,"{""rz_balance"": 90524361.0, ""rz_buy"": 15088078.0, ""rz_repay"": 7671851.0, ""rq_balance"": 1263200.0}"
510350,工银300,20260803,-350681.0,"{""rz_balance"": 903210.0, ""rz_buy"": 267442.0, ""rz_repay"": 618123.0, ""rq_balance"": 0.0}"
510360,广发300,20260803,3731241.0,"{""rz_balance"": 25772324.0, ""rz_buy"": 6568893.0, ""rz_repay"": 2837652.0, ""rq_balance"": 0.0}"
510410,资源ETF,20260803,355572.0,"{""rz_balance"": 4901642.0, ""rz_buy"": 1349697.0, ""rz_repay"": 994125.0, ""rq_balance"": 0.0}"
510500,500ETF,20260803,122479607.0,"{""rz_balance"": 1317455996.0, ""rz_buy"": 288810140.0, ""rz_repay"": 166330533.0, ""rq_balance"": 244742102.0}"
510510,广发500,20260803,-391342.0,"{""rz_balance"": 13955277.0, ""rz_buy"": 2365597.0, ""rz_repay"": 2756939.0, ""rq_balance"": 212700.0}"
510580,ZZ500ETF,20260803,93899.0,"{""rz_balance"": 18332937.0, ""rz_buy"": 3093368.0, ""rz_repay"": 2999469.0, ""rq_balance"": 0.0}"
510720,红利国泰,20260803,-1241379.0,"{""rz_balance"": 15891628.0, ""rz_buy"": 4198571.0, ""rz_repay"": 5439950.0, ""rq_balance"": 255700.0}"
510760,上证ETF,20260803,13058547.0,"{""rz_balance"": 138688928.0, ""rz_buy"": 28384231.0, ""rz_repay"": 15325684.0, ""rq_balance"": 0.0}"
