factor,ic_t1,n,q1_avg_t1,q4_avg_t1,monotonic_q1_q4_up
catalyst_score,0.6107,11,-6.2499,19.0981,True
risk_reward_score,0.5748,11,-8.7868,8.9148,True
prev_day_gain_pct,0.5504,35,-11.747,8.9148,True
tradeability_score,0.4046,11,,,False
ma20_deviation_pct,0.3998,35,-11.747,2.2671,True
daily_entry_score,0.3847,35,-8.3574,0.9629,True
capital_flow_score,0.2252,11,-5.2345,-0.5083,True
market_regime_score,0.0805,11,,,False
data_quality_score,0.0763,11,-7.6472,-6.1484,True
relative_strength_score,0.0699,35,,,False
probability_value,0.0637,11,-12.5407,-9.3747,True
weekly_trend_score,-0.5621,35,,,False
