trigger_date,symbol,name,quant_score,in_buy,in_watch,in_cons,in_research,groups,final_t3_pct,final_t5_pct,t3_pct,t5_pct
20260629,603335,迪生力,84.6,False,False,False,False,NONE,,,10.85,4.11
20260629,688291,金橙子,84.48,False,False,False,False,NONE,,,5.05,3.17
20260626,300665,飞鹿股份,84.38,False,False,False,False,NONE,,,-4.1,-7.52
20260618,603733,仙鹤股份,83.5,False,False,False,False,NONE,,,-8.03,-0.31
20260629,300665,飞鹿股份,83.18,False,False,False,False,NONE,,,-4.48,-9.05
20260617,300093,金刚光伏,82.96,False,False,False,False,NONE,,,-9.9,2.24
20260622,603335,迪生力,82.95,False,False,False,False,NONE,,,13.75,2.88
20260624,601958,金钼股份,82.9,False,False,False,False,NONE,,,8.2,3.9
20260617,962,东方钽业,82.82,False,False,False,False,NONE,,,16.93,34.95
20260623,688448,磁谷科技,82.82,False,False,False,False,NONE,,,3.15,11.31
20260618,300998,宁波方正,82.8,False,False,False,False,NONE,,,-2.86,-1.48
20260623,688733,壹石通,82.73,False,False,False,False,NONE,,,-5.1,0.88
20260624,603335,迪生力,82.69,False,False,False,False,NONE,,,-3.86,8.06
20260626,603976,正川股份,82.67,False,False,False,False,NONE,,,8.72,14.4
20260624,605198,安德利,82.67,False,False,False,False,NONE,,,-10.78,-6.95
20260629,301095,广立微,82.66,False,False,False,False,NONE,,,7.03,7.99
20260618,603335,迪生力,82.66,False,False,False,False,NONE,,,0.36,9.71
20260626,603991,领先股份,82.66,False,False,False,False,NONE,,,19.92,17.14
20260625,603991,领先股份,82.66,False,False,False,False,NONE,,,12.6,20.53
20260629,2925,盈趣科技,82.65,False,False,False,False,NONE,,,1.92,-3.89
20260629,2963,豪尔赛,82.65,False,False,False,False,NONE,,,3.93,-4.43
20260626,960,锡业股份,82.62,False,False,False,False,NONE,,,-2.65,-6.88
20260623,2137,实益达,82.61,False,False,False,False,NONE,,,8.04,12.75
20260624,600259,中稀有色,82.59,False,False,False,False,NONE,,,-9.08,-6.94
20260623,2263,大东南,82.57,False,False,False,False,NONE,,,-14.66,-20.43
20260629,688646,逸飞激光,82.56,False,False,False,False,NONE,,,4.68,4.07
20260617,2674,兴业科技,82.55,False,False,False,False,NONE,,,35.21,63.61
20260626,2520,日发精机,82.52,False,False,False,False,NONE,,,2.77,12.54
20260623,300488,恒锋工具,82.51,False,False,False,False,NONE,,,-0.48,17.63
20260623,3013,地铁设计,82.5,False,False,False,False,NONE,,,-4.56,-9.31
20260629,301548,崇德科技,82.5,False,False,False,False,NONE,,,5.15,7.17
20260629,2536,飞龙股份,82.48,False,False,False,False,NONE,,,4.98,22.22
20260629,2876,三利谱,82.46,False,False,False,False,NONE,,,-0.77,-9.17
20260625,300665,飞鹿股份,82.46,False,False,False,False,NONE,,,-6.23,-8.07
20260625,831,中国稀土,82.44,False,False,False,False,NONE,,,-3.5,-7.48
20260626,2989,中天精装,82.36,False,False,False,False,NONE,,,-0.18,-10.09
20260624,300488,恒锋工具,82.36,False,False,False,False,NONE,,,15.23,21.22
20260625,300488,恒锋工具,82.36,False,False,False,False,NONE,,,20.32,21.15
20260629,2989,中天精装,82.26,False,False,False,False,NONE,,,-4.99,2.57
20260618,603681,永冠新材,81.97,False,False,False,False,NONE,,,-1.63,-9.35
20260624,688733,壹石通,81.93,False,False,False,False,NONE,,,-6.49,0.0
20260629,70,特发信息,81.91,False,False,False,False,NONE,,,-13.82,-9.53
20260626,600259,中稀有色,81.91,False,False,False,False,NONE,,,-3.18,2.3
20260626,2171,楚江新材,81.91,False,False,False,False,NONE,,,-1.13,-7.49
20260622,603979,金诚信,81.83,False,False,False,False,NONE,,,-15.77,-16.83
20260629,301160,翔楼新材,81.67,False,False,False,False,NONE,,,9.91,8.88
20260629,925,众合科技,81.63,False,False,False,False,NONE,,,8.86,-2.88
20260617,2203,海亮股份,81.38,False,False,False,False,NONE,,,6.35,4.82
20260629,600078,澄星股份,81.25,False,False,False,False,NONE,,,-2.24,-6.94
20260629,603005,晶方科技,81.21,False,False,False,False,NONE,,,-3.25,-13.05
20260618,688719,爱科赛博,81.21,False,False,False,False,NONE,,,-5.79,-11.46
20260626,2008,大族激光,81.2,False,False,False,False,NONE,,,-8.01,-13.57
20260626,300042,朗科科技,81.18,False,False,False,False,NONE,,,5.45,-3.61
