date,source_file,output_file,market_regime,original_research_signals,original_buy_signals,original_watchlist,rescored_research_signals,rescored_buy_signals,rescored_watchlist,rescored_tier_A,rescored_tier_B,rescored_tier_C,rescored_tier_reject
20260715,/Users/ruby/Desktop/ai-trading/contest_trade_refactor/agents_workspace_replays/historical_pilot_clean/20260715/results/trade_decisions/2026-07-15_18-00-00.json,agents_workspace_replays/historical_pilot_clean_rescored_flowsoft_20260816/20260715/results/trade_decisions/2026-07-15_18-00-00.json,neutral,2,0,1,2,1,0,0,1,0,0
20260716,/Users/ruby/Desktop/ai-trading/contest_trade_refactor/agents_workspace_replays/historical_pilot_clean/20260716/results/trade_decisions/2026-07-16_18-00-00.json,agents_workspace_replays/historical_pilot_clean_rescored_flowsoft_20260816/20260716/results/trade_decisions/2026-07-16_18-00-00.json,bear,4,0,2,4,2,0,2,0,0,0
20260717,/Users/ruby/Desktop/ai-trading/contest_trade_refactor/agents_workspace_replays/historical_pilot_clean/20260717/results/trade_decisions/2026-07-17_18-00-00.json,agents_workspace_replays/historical_pilot_clean_rescored_flowsoft_20260816/20260717/results/trade_decisions/2026-07-17_18-00-00.json,bear,0,0,0,0,0,0,0,0,0,0
20260720,/Users/ruby/Desktop/ai-trading/contest_trade_refactor/agents_workspace_replays/historical_pilot_clean/20260720/results/trade_decisions/2026-07-20_18-00-00.json,agents_workspace_replays/historical_pilot_clean_rescored_flowsoft_20260816/20260720/results/trade_decisions/2026-07-20_18-00-00.json,bear,2,0,1,2,1,0,0,1,0,0
20260721,/Users/ruby/Desktop/ai-trading/contest_trade_refactor/agents_workspace_replays/historical_pilot_clean/20260721/results/trade_decisions/2026-07-21_18-00-00.json,agents_workspace_replays/historical_pilot_clean_rescored_flowsoft_20260816/20260721/results/trade_decisions/2026-07-21_18-00-00.json,neutral,2,0,1,2,1,0,1,0,0,0
20260722,/Users/ruby/Desktop/ai-trading/contest_trade_refactor/agents_workspace_replays/historical_pilot_clean/20260722/results/trade_decisions/2026-07-22_18-00-00.json,agents_workspace_replays/historical_pilot_clean_rescored_flowsoft_20260816/20260722/results/trade_decisions/2026-07-22_18-00-00.json,neutral,3,1,1,3,2,0,0,2,0,0
20260723,/Users/ruby/Desktop/ai-trading/contest_trade_refactor/agents_workspace_replays/historical_pilot_clean/20260723/results/trade_decisions/2026-07-23_18-00-00.json,agents_workspace_replays/historical_pilot_clean_rescored_flowsoft_20260816/20260723/results/trade_decisions/2026-07-23_18-00-00.json,neutral,0,0,0,0,0,0,0,0,0,0
20260724,/Users/ruby/Desktop/ai-trading/contest_trade_refactor/agents_workspace_replays/historical_pilot_clean/20260724/results/trade_decisions/2026-07-24_18-00-00.json,agents_workspace_replays/historical_pilot_clean_rescored_flowsoft_20260816/20260724/results/trade_decisions/2026-07-24_18-00-00.json,neutral,0,0,0,0,0,0,0,0,0,0
20260727,/Users/ruby/Desktop/ai-trading/contest_trade_refactor/agents_workspace_replays/historical_pilot_clean/20260727/results/trade_decisions/2026-07-27_18-00-00.json,agents_workspace_replays/historical_pilot_clean_rescored_flowsoft_20260816/20260727/results/trade_decisions/2026-07-27_18-00-00.json,neutral,1,0,1,1,0,1,0,0,0,0
20260728,/Users/ruby/Desktop/ai-trading/contest_trade_refactor/agents_workspace_replays/historical_pilot_clean/20260728/results/trade_decisions/2026-07-28_18-00-00.json,agents_workspace_replays/historical_pilot_clean_rescored_flowsoft_20260816/20260728/results/trade_decisions/2026-07-28_18-00-00.json,neutral,2,0,1,2,1,0,0,1,0,0
