trigger_time,trigger_date,source_file,symbol_code,symbol_name_raw,signal_group,buy_decision,signal_tier,buy_score,probability_value,expected_return_t1_pct,expected_net_edge_pct,expected_upside_pct,expected_downside_pct,payoff_ratio,entry_date,entry_price,t1_close,t3_close,t5_close,t1_return_pct,t3_return_pct,t5_return_pct,max_gain_pct,max_loss_pct,max_drawdown_pct,weekly_trend_score,relative_strength_score,daily_entry_score,catalyst_score,capital_flow_score,technical_score,market_regime_score,tradeability_score,risk_reward_score,data_quality_score,ma20_deviation_pct,prev_day_gain_pct,flow_data_available,primary_catalyst,consensus_score,future_evidence_count,tier_confidence,recommended_position_size_pct,forward_opportunity_score,fundamental_score,valuation_score,atr_pct,daily_volatility_20d_pct,strategy,_eval_error
2026-07-15 18:00:00,20260715,2026-07-15_18-00-00.json,300017,网宿科技,watch,watch,,68.49,0.6004,-1.307,-1.307,3.698,8.427,0.439,20260716,14.08,14.26,14.25,14.7,1.2784,1.2074,4.4034,8.8068,-7.4574,-7.4574,0.0,25.88,82.0,48.0,70.0,54.36,62.0,65.0,53.32,65.0,3.4,0.56,True,False,10.0,0.0,,,68.49,32.0,50.0,6.695,5.675,momentum,
2026-07-15 18:00:00,20260715,2026-07-15_18-00-00.json,000938,紫光股份,watch,watch,,65.34,0.6372,-1.072,-1.072,3.724,9.055,0.411,20260716,34.54,38.59,37.69,44.9,11.7255,9.1199,29.9942,32.0498,0.0,0.0,100.0,100.0,82.0,48.0,70.0,57.0,62.0,68.0,54.79,65.0,14.8,-3.92,True,False,10.0,0.0,,,65.34,86.0,50.0,8.232,5.14,momentum,
2026-07-15 18:00:00,20260715,2026-07-15_18-00-00.json,300502,新易盛,watch,watch,,62.25,0.628,-1.453,-1.453,3.331,9.098,0.366,20260716,530.0,542.6,510.0,508.8,2.3774,-3.7736,-4.0,5.283,-14.5358,-14.5358,100.0,100.0,50.0,55.0,74.0,47.0,62.0,65.0,54.42,65.0,1.0,-2.25,True,False,10.0,0.0,,,62.25,86.0,50.0,8.271,5.73,momentum,
2026-07-15 18:00:00,20260715,2026-07-15_18-00-00.json,300308,中际旭创,watch,watch,,52.41,0.6556,-0.716,-0.716,3.241,7.786,0.416,20260716,1122.22,1113.0,1004.0,1060.8,-0.8216,-10.5345,-5.4731,3.6339,-15.2974,-15.2974,100.0,84.91,34.0,55.0,92.0,34.3,62.0,65.0,51.02,65.0,-3.8,-1.24,True,False,10.0,0.0,,,52.41,86.0,50.0,7.078,4.256,momentum,
2026-07-15 18:00:00,20260715,2026-07-15_18-00-00.json,688012,中微公司,watch,watch,,48.89,0.582,-2.542,-2.542,3.089,10.0,0.309,20260716,383.18,361.42,342.5,392.99,-5.6788,-10.6164,2.5602,6.7383,-13.0983,-13.0983,100.0,100.0,34.0,55.0,82.0,32.5,62.0,65.0,52.58,65.0,-5.0,-3.46,True,False,10.0,0.0,,,48.89,86.0,50.0,10.232,5.61,momentum,
2026-07-15 18:00:00,20260715,2026-07-15_18-00-00.json,000831,中国稀土,consensus,,,,,,,,,,20260716,45.0,45.54,47.17,49.36,1.2,4.8222,9.6889,10.9556,-0.6667,-0.6667,24.0,0.0,22.0,,,,,,,,-13.9,-2.45,,,,,,,,,,,,momentum,
2026-07-15 18:00:00,20260715,2026-07-15_18-00-00.json,300394,天孚通信,consensus,,,,,,,,,,20260716,245.52,244.13,213.54,217.63,-0.5661,-13.0254,-11.3596,4.6799,-23.3952,-23.3952,54.0,15.04,22.0,,,,,,,,-9.5,-5.16,,,,,,,,,,,,momentum,
2026-07-16 18:00:00,20260716,2026-07-16_18-00-00.json,300502,新易盛,watch,watch,,49.39,0.6372,-1.757,-1.757,2.566,8.908,0.288,20260717,518.0,482.88,551.77,497.3,-6.7799,6.5193,-3.9961,7.027,-12.556,-12.556,100.0,83.8,26.0,55.0,56.0,53.0,62.0,65.0,59.29,60.0,-1.3,-2.41,True,False,10.0,0.0,,,49.39,86.0,50.0,8.098,5.748,momentum,
2026-07-16 18:00:00,20260716,2026-07-16_18-00-00.json,000938,紫光股份,watch,watch,,48.25,0.582,-1.825,-1.825,3.383,8.694,0.389,20260717,37.49,35.13,41.46,42.45,-6.295,10.5895,13.2302,22.1659,-7.3353,-7.3353,100.0,100.0,72.0,48.0,70.0,57.0,62.0,68.0,48.08,60.0,22.5,8.61,True,False,10.0,0.0,,,48.25,86.0,50.0,7.904,5.365,momentum,
2026-07-16 18:00:00,20260716,2026-07-16_18-00-00.json,300308,中际旭创,watch,watch,,44.5,0.6556,-1.002,-1.002,2.95,8.06,0.366,20260717,1057.36,979.46,1136.55,1072.52,-7.3674,7.4894,1.4338,7.7098,-10.1016,-10.1016,84.0,65.46,34.0,55.0,74.0,28.3,62.0,65.0,52.82,60.0,-7.8,-4.82,True,False,10.0,0.0,,,44.5,86.0,50.0,7.327,4.327,momentum,
