factor,ic_t1,n,q1_avg_t1,q4_avg_t1,monotonic_q1_q4_up
daily_entry_score,0.2485,144,-0.8096,2.4314,True
market_regime_score,0.2334,129,,,False
ma20_deviation_pct,0.1764,133,-0.1989,2.3547,True
data_quality_score,0.134,129,0.4444,1.7447,True
buy_score,0.1313,129,-0.1615,2.2282,True
prev_day_gain_pct,0.1306,141,-0.4955,1.4055,True
relative_strength_score,0.0624,144,-0.4013,1.9047,True
capital_flow_score,-0.0223,129,1.1952,0.6936,False
catalyst_score,-0.0589,129,2.1834,1.6131,False
weekly_trend_score,-0.0696,144,1.2843,0.3637,False
tradeability_score,-0.0714,129,0.7132,0.3805,False
risk_reward_score,-0.0749,129,1.3345,0.0873,False
probability_value,-0.1429,129,1.0615,0.6575,False
