date,source_file,output_file,market_regime,original_research_signals,original_buy_signals,original_watchlist,rescored_research_signals,rescored_buy_signals,rescored_watchlist,rescored_tier_A,rescored_tier_B,rescored_tier_C,rescored_tier_reject
20260715,agents_workspace_replays/historical_pilot_reregen_momentum/20260715/results/trade_decisions/2026-07-15_18-00-00.json,agents_workspace_replays/historical_pilot_rescore_short3d_v3/20260715/results/trade_decisions/2026-07-15_18-00-00.json,neutral,11,0,5,11,2,6,0,2,0,0
20260716,agents_workspace_replays/historical_pilot_reregen_momentum/20260716/results/trade_decisions/2026-07-16_18-00-00.json,agents_workspace_replays/historical_pilot_rescore_short3d_v3/20260716/results/trade_decisions/2026-07-16_18-00-00.json,bear,6,1,4,6,0,5,0,0,0,0
20260717,agents_workspace_replays/historical_pilot_reregen_momentum/20260717/results/trade_decisions/2026-07-17_18-00-00.json,agents_workspace_replays/historical_pilot_rescore_short3d_v3/20260717/results/trade_decisions/2026-07-17_18-00-00.json,bear,8,0,5,8,0,5,0,0,0,0
20260720,agents_workspace_replays/historical_pilot_reregen_momentum/20260720/results/trade_decisions/2026-07-20_18-00-00.json,agents_workspace_replays/historical_pilot_rescore_short3d_v3/20260720/results/trade_decisions/2026-07-20_18-00-00.json,bear,8,0,3,8,0,3,0,0,0,0
20260721,agents_workspace_replays/historical_pilot_reregen_momentum/20260721/results/trade_decisions/2026-07-21_18-00-00.json,agents_workspace_replays/historical_pilot_rescore_short3d_v3/20260721/results/trade_decisions/2026-07-21_18-00-00.json,neutral,11,0,5,11,0,7,0,0,1,0
20260722,agents_workspace_replays/historical_pilot_reregen_momentum/20260722/results/trade_decisions/2026-07-22_18-00-00.json,agents_workspace_replays/historical_pilot_rescore_short3d_v3/20260722/results/trade_decisions/2026-07-22_18-00-00.json,neutral,16,1,4,16,0,8,0,0,1,0
20260723,agents_workspace_replays/historical_pilot_reregen_momentum/20260723/results/trade_decisions/2026-07-23_18-00-00.json,agents_workspace_replays/historical_pilot_rescore_short3d_v3/20260723/results/trade_decisions/2026-07-23_18-00-00.json,neutral,10,0,5,10,0,6,0,0,0,0
20260724,agents_workspace_replays/historical_pilot_reregen_momentum/20260724/results/trade_decisions/2026-07-24_18-00-00.json,agents_workspace_replays/historical_pilot_rescore_short3d_v3/20260724/results/trade_decisions/2026-07-24_18-00-00.json,neutral,6,1,3,6,0,4,0,0,0,0
20260727,agents_workspace_replays/historical_pilot_reregen_momentum/20260727/results/trade_decisions/2026-07-27_18-00-00.json,agents_workspace_replays/historical_pilot_rescore_short3d_v3/20260727/results/trade_decisions/2026-07-27_18-00-00.json,neutral,8,0,4,8,0,5,0,0,0,0
20260728,agents_workspace_replays/historical_pilot_reregen_momentum/20260728/results/trade_decisions/2026-07-28_18-00-00.json,agents_workspace_replays/historical_pilot_rescore_short3d_v3/20260728/results/trade_decisions/2026-07-28_18-00-00.json,bear,15,0,5,15,0,8,0,0,0,0
