factor,ic_t1,n,q1_avg_t1,q4_avg_t1,monotonic_q1_q4_up
market_regime_score,0.2849,128,,,False
daily_entry_score,0.2491,143,-0.8096,2.4314,True
ma20_deviation_pct,0.1764,133,-0.1989,2.3547,True
data_quality_score,0.1581,128,0.3446,1.7447,True
prev_day_gain_pct,0.1311,140,-0.5439,1.4055,True
buy_score,0.1089,128,-0.4286,1.2666,True
relative_strength_score,0.0624,143,-0.4013,1.9047,True
capital_flow_score,-0.029,128,1.1952,0.5855,False
catalyst_score,-0.0595,128,2.0544,1.6131,False
weekly_trend_score,-0.0682,143,1.2253,0.3637,False
tradeability_score,-0.0718,128,0.6766,0.3805,False
risk_reward_score,-0.0794,128,1.3345,-0.0368,False
probability_value,-0.1472,128,1.0615,0.6575,False
