symbol_code,symbol_name,factor_date,factor_value,metadata_json
医疗服务,医疗服务,20260811,1991000000.0,"{""change_pct"": 5.49}"
生物制品,生物制品,20260811,1602000000.0,"{""change_pct"": 3.98}"
化学制药,化学制药,20260811,3087000000.0,"{""change_pct"": 3.1}"
中药,中药,20260811,1773000000.0,"{""change_pct"": 2.77}"
医疗器械,医疗器械,20260811,1217000000.0,"{""change_pct"": 2.04}"
医药商业,医药商业,20260811,448000000.00000006,"{""change_pct"": 2.02}"
通信服务,通信服务,20260811,-326000000.0,"{""change_pct"": 1.48}"
半导体,半导体,20260811,1359000000.0,"{""change_pct"": 1.31}"
通信设备,通信设备,20260811,2462000000.0,"{""change_pct"": 1.3}"
白酒,白酒,20260811,1171000000.0,"{""change_pct"": 1.25}"
电子化学品,电子化学品,20260811,-188000000.0,"{""change_pct"": 1.24}"
其他电源设备,其他电源设备,20260811,-898000000.0,"{""change_pct"": 1.19}"
综合,综合,20260811,-386000000.0,"{""change_pct"": 1.12}"
环保设备,环保设备,20260811,-443000000.0,"{""change_pct"": 0.97}"
饮料制造,饮料制造,20260811,-148000000.0,"{""change_pct"": 0.87}"
元件,元件,20260811,-1734000000.0,"{""change_pct"": 0.79}"
其他电子,其他电子,20260811,-434999999.99999994,"{""change_pct"": 0.78}"
证券,证券,20260811,2085000000.0000002,"{""change_pct"": 0.76}"
军工电子,军工电子,20260811,143000000.0,"{""change_pct"": 0.71}"
计算机设备,计算机设备,20260811,214000000.0,"{""change_pct"": 0.59}"
自动化设备,自动化设备,20260811,917000000.0,"{""change_pct"": 0.56}"
文化传媒,文化传媒,20260811,-1375000000.0,"{""change_pct"": 0.52}"
塑料制品,塑料制品,20260811,-236000000.0,"{""change_pct"": 0.48}"
消费电子,消费电子,20260811,-674000000.0,"{""change_pct"": 0.46}"
军工装备,军工装备,20260811,-579000000.0,"{""change_pct"": 0.41}"
非金属材料,非金属材料,20260811,88000000.0,"{""change_pct"": 0.39}"
电机,电机,20260811,-13000000.0,"{""change_pct"": 0.38}"
光学光电子,光学光电子,20260811,-66000000.0,"{""change_pct"": 0.32}"
IT服务,IT服务,20260811,-1544000000.0,"{""change_pct"": 0.31}"
养殖业,养殖业,20260811,-67000000.00000001,"{""change_pct"": 0.31}"
风电设备,风电设备,20260811,238000000.0,"{""change_pct"": 0.25}"
食品加工制造,食品加工制造,20260811,-438999999.99999994,"{""change_pct"": 0.22}"
通用设备,通用设备,20260811,-504000000.0,"{""change_pct"": 0.21}"
美容护理,美容护理,20260811,15000000.0,"{""change_pct"": 0.2}"
汽车零部件,汽车零部件,20260811,-796000000.0,"{""change_pct"": 0.15}"
小家电,小家电,20260811,-70000000.0,"{""change_pct"": 0.14}"
保险,保险,20260811,-227000000.0,"{""change_pct"": 0.08}"
金属新材料,金属新材料,20260811,12000000.0,"{""change_pct"": 0.08}"
家居用品,家居用品,20260811,-196000000.0,"{""change_pct"": 0.01}"
电力,电力,20260811,107000000.0,"{""change_pct"": -0.02}"
燃气,燃气,20260811,-156000000.0,"{""change_pct"": -0.04}"
橡胶制品,橡胶制品,20260811,-148000000.0,"{""change_pct"": -0.04}"
农产品加工,农产品加工,20260811,-128000000.0,"{""change_pct"": -0.07}"
多元金融,多元金融,20260811,-114999999.99999999,"{""change_pct"": -0.09}"
电池,电池,20260811,-803999999.9999999,"{""change_pct"": -0.1}"
