symbol_code,symbol_name,factor_date,factor_value,metadata_json
510050,50ETF,20260814,-1077491.0,"{""rz_balance"": 1452382199.0, ""rz_buy"": 55791737.0, ""rz_repay"": 56869228.0, ""rq_balance"": 36645434.0}"
510100,SZ50ETF,20260814,1881710.0,"{""rz_balance"": 24073785.0, ""rz_buy"": 2850717.0, ""rz_repay"": 969007.0, ""rq_balance"": 0.0}"
510150,消费ETF,20260814,-891310.0,"{""rz_balance"": 25974972.0, ""rz_buy"": 1811849.0, ""rz_repay"": 2703159.0, ""rq_balance"": 376900.0}"
510170,商品ETF,20260814,-312873.0,"{""rz_balance"": 1548032.0, ""rz_buy"": 962277.0, ""rz_repay"": 1275150.0, ""rq_balance"": 0.0}"
510180,180ETF,20260814,338855.0,"{""rz_balance"": 80082820.0, ""rz_buy"": 1792359.0, ""rz_repay"": 1453504.0, ""rq_balance"": 417800.0}"
510210,综指ETF,20260814,17100400.0,"{""rz_balance"": 215617583.0, ""rz_buy"": 59163582.0, ""rz_repay"": 42063182.0, ""rq_balance"": 0.0}"
510230,金融ETF,20260814,1040708.0,"{""rz_balance"": 18234440.0, ""rz_buy"": 3398171.0, ""rz_repay"": 2357463.0, ""rq_balance"": 0.0}"
510300,300ETF,20260814,-873066.0,"{""rz_balance"": 2773391535.0, ""rz_buy"": 167570459.0, ""rz_repay"": 168443525.0, ""rq_balance"": 51089912.0}"
510310,HS300ETF,20260814,-13815080.0,"{""rz_balance"": 264043369.0, ""rz_buy"": 6611103.0, ""rz_repay"": 20426183.0, ""rq_balance"": 2072600.0}"
510320,300中金,20260814,-21635.0,"{""rz_balance"": 1060426.0, ""rz_buy"": 339561.0, ""rz_repay"": 361196.0, ""rq_balance"": 0.0}"
510330,华夏300,20260814,-6541050.0,"{""rz_balance"": 70027213.0, ""rz_buy"": 22615778.0, ""rz_repay"": 29156828.0, ""rq_balance"": 1718400.0}"
510350,工银300,20260814,-215042.0,"{""rz_balance"": 598787.0, ""rz_buy"": 0.0, ""rz_repay"": 215042.0, ""rq_balance"": 0.0}"
510360,广发300,20260814,-988559.0,"{""rz_balance"": 10224195.0, ""rz_buy"": 1033839.0, ""rz_repay"": 2022398.0, ""rq_balance"": 0.0}"
