symbol_code,symbol_name,factor_date,factor_value,metadata_json
510050,50ETF,20260817,-27111795.0,"{""rz_balance"": 1425270402.0, ""rz_buy"": 30127563.0, ""rz_repay"": 57239358.0, ""rq_balance"": 38009740.0}"
510100,SZ50ETF,20260817,-2067623.0,"{""rz_balance"": 22006162.0, ""rz_buy"": 407401.0, ""rz_repay"": 2475024.0, ""rq_balance"": 0.0}"
510150,消费ETF,20260817,671948.0,"{""rz_balance"": 26646919.0, ""rz_buy"": 2663899.0, ""rz_repay"": 1991951.0, ""rq_balance"": 100000.0}"
510170,商品ETF,20260817,285143.0,"{""rz_balance"": 1833175.0, ""rz_buy"": 972822.0, ""rz_repay"": 687679.0, ""rq_balance"": 0.0}"
510180,180ETF,20260817,641748.0,"{""rz_balance"": 80724568.0, ""rz_buy"": 3149043.0, ""rz_repay"": 2507295.0, ""rq_balance"": 555100.0}"
510210,综指ETF,20260817,-23226456.0,"{""rz_balance"": 192391126.0, ""rz_buy"": 48668119.0, ""rz_repay"": 71894575.0, ""rq_balance"": 0.0}"
510230,金融ETF,20260817,-193691.0,"{""rz_balance"": 18040749.0, ""rz_buy"": 2946844.0, ""rz_repay"": 3140535.0, ""rq_balance"": 0.0}"
510300,300ETF,20260817,-132672328.0,"{""rz_balance"": 2640719209.0, ""rz_buy"": 83019778.0, ""rz_repay"": 215692106.0, ""rq_balance"": 63173212.0}"
510310,HS300ETF,20260817,-5781184.0,"{""rz_balance"": 258262187.0, ""rz_buy"": 2963961.0, ""rz_repay"": 8745145.0, ""rq_balance"": 2762900.0}"
510320,300中金,20260817,559624.0,"{""rz_balance"": 1620050.0, ""rz_buy"": 1391664.0, ""rz_repay"": 832040.0, ""rq_balance"": 0.0}"
510330,华夏300,20260817,-5278574.0,"{""rz_balance"": 64748640.0, ""rz_buy"": 5411754.0, ""rz_repay"": 10690328.0, ""rq_balance"": 2025600.0}"
510350,工银300,20260817,29434.0,"{""rz_balance"": 628221.0, ""rz_buy"": 29434.0, ""rz_repay"": 0.0, ""rq_balance"": 0.0}"
