symbol_code,symbol_name,factor_date,factor_value,metadata_json
510050,50ETF,20260806,-23598972.0,"{""rz_balance"": 1455030133.0, ""rz_buy"": 66724619.0, ""rz_repay"": 90323591.0, ""rq_balance"": 35793840.0}"
510100,SZ50ETF,20260806,-401507.0,"{""rz_balance"": 25611286.0, ""rz_buy"": 4212417.0, ""rz_repay"": 4613924.0, ""rq_balance"": 0.0}"
510150,消费ETF,20260806,-1054849.0,"{""rz_balance"": 29604672.0, ""rz_buy"": 2142959.0, ""rz_repay"": 3197808.0, ""rq_balance"": 29700.0}"
510170,商品ETF,20260806,148379.0,"{""rz_balance"": 2264234.0, ""rz_buy"": 1567343.0, ""rz_repay"": 1418964.0, ""rq_balance"": 0.0}"
510180,180ETF,20260806,-451853.0,"{""rz_balance"": 79740118.0, ""rz_buy"": 2014994.0, ""rz_repay"": 2466847.0, ""rq_balance"": 574000.0}"
510210,综指ETF,20260806,-6867467.0,"{""rz_balance"": 270242359.0, ""rz_buy"": 76549882.0, ""rz_repay"": 83417349.0, ""rq_balance"": 0.0}"
510230,金融ETF,20260806,1370703.0,"{""rz_balance"": 12777853.0, ""rz_buy"": 3801622.0, ""rz_repay"": 2430919.0, ""rq_balance"": 0.0}"
510300,300ETF,20260806,-164236347.0,"{""rz_balance"": 2901256406.0, ""rz_buy"": 120849370.0, ""rz_repay"": 285085717.0, ""rq_balance"": 54409012.0}"
510310,HS300ETF,20260806,-3726323.0,"{""rz_balance"": 299153602.0, ""rz_buy"": 8639039.0, ""rz_repay"": 12365362.0, ""rq_balance"": 1151600.0}"
510320,300中金,20260806,-119966.0,"{""rz_balance"": 1654933.0, ""rz_buy"": 112435.0, ""rz_repay"": 232401.0, ""rq_balance"": 0.0}"
510330,华夏300,20260806,-3332080.0,"{""rz_balance"": 75007971.0, ""rz_buy"": 1815162.0, ""rz_repay"": 5147242.0, ""rq_balance"": 1634000.0}"
510350,工银300,20260806,298623.0,"{""rz_balance"": 1195210.0, ""rz_buy"": 633443.0, ""rz_repay"": 334820.0, ""rq_balance"": 0.0}"
510360,广发300,20260806,-1892419.0,"{""rz_balance"": 15889150.0, ""rz_buy"": 3126437.0, ""rz_repay"": 5018856.0, ""rq_balance"": 0.0}"
510410,资源ETF,20260806,-264069.0,"{""rz_balance"": 4375511.0, ""rz_buy"": 1109127.0, ""rz_repay"": 1373196.0, ""rq_balance"": 0.0}"
510500,500ETF,20260806,-155844935.0,"{""rz_balance"": 1079020161.0, ""rz_buy"": 118185098.0, ""rz_repay"": 274030033.0, ""rq_balance"": 284314142.0}"
510510,广发500,20260806,3157046.0,"{""rz_balance"": 13874134.0, ""rz_buy"": 5947718.0, ""rz_repay"": 2790672.0, ""rq_balance"": 237700.0}"
510580,ZZ500ETF,20260806,-138756.0,"{""rz_balance"": 32318716.0, ""rz_buy"": 3311324.0, ""rz_repay"": 3450080.0, ""rq_balance"": 0.0}"
510720,红利国泰,20260806,-5231417.0,"{""rz_balance"": 9933008.0, ""rz_buy"": 2860472.0, ""rz_repay"": 8091889.0, ""rq_balance"": 260100.0}"
510760,上证ETF,20260806,-6269983.0,"{""rz_balance"": 116051549.0, ""rz_buy"": 13544067.0, ""rz_repay"": 19814050.0, ""rq_balance"": 0.0}"
510880,红利ETF,20260806,-14272100.0,"{""rz_balance"": 134511778.0, ""rz_buy"": 36109904.0, ""rz_repay"": 50382004.0, ""rq_balance"": 696400.0}"
510900,恒生中国,20260806,6895605.0,"{""rz_balance"": 1556552272.0, ""rz_buy"": 22462460.0, ""rz_repay"": 15566855.0, ""rq_balance"": 0.0}"
