symbol_code,symbol_name,factor_date,factor_value,metadata_json
300314,戴维医疗,20260817,-73705600.0,"{""change_pct"": 20.03, ""price"": 14.74, ""super_large_net"": 0.0, ""main_pct"": 0.0}"
300313,天山生物,20260817,-46025000.0,"{""change_pct"": 20.02, ""price"": 10.73, ""super_large_net"": 0.0, ""main_pct"": 0.0}"
688503,聚和材料,20260817,15585000.0,"{""change_pct"": 20.01, ""price"": 95.68, ""super_large_net"": 0.0, ""main_pct"": 0.0}"
301516,中远通,20260817,-11696099.999999998,"{""change_pct"": 20.0, ""price"": 19.32, ""super_large_net"": 0.0, ""main_pct"": 0.0}"
301626,苏州天脉,20260817,-35671100.0,"{""change_pct"": 20.0, ""price"": 307.08, ""super_large_net"": 0.0, ""main_pct"": 0.0}"
688677,海泰新光,20260817,-45040500.0,"{""change_pct"": 20.0, ""price"": 89.76, ""super_large_net"": 0.0, ""main_pct"": 0.0}"
688003,天准科技,20260817,69555000.0,"{""change_pct"": 20.0, ""price"": 94.8, ""super_large_net"": 0.0, ""main_pct"": 0.0}"
300684,中石科技,20260817,-294000000.0,"{""change_pct"": 20.0, ""price"": 80.83, ""super_large_net"": 0.0, ""main_pct"": 0.0}"
300679,电连技术,20260817,47530000.0,"{""change_pct"": 20.0, ""price"": 51.17, ""super_large_net"": 0.0, ""main_pct"": 0.0}"
300570,太辰光,20260817,182000000.0,"{""change_pct"": 20.0, ""price"": 193.8, ""super_large_net"": 0.0, ""main_pct"": 0.0}"
301282,金禄电子,20260817,125000000.0,"{""change_pct"": 19.99, ""price"": 35.17, ""super_large_net"": 0.0, ""main_pct"": 0.0}"
688378,奥来德,20260817,141000000.0,"{""change_pct"": 19.99, ""price"": 50.36, ""super_large_net"": 0.0, ""main_pct"": 0.0}"
301127,武汉天源,20260817,-82428000.0,"{""change_pct"": 19.97, ""price"": 18.14, ""super_large_net"": 0.0, ""main_pct"": 0.0}"
300345,华民股份,20260817,118000000.0,"{""change_pct"": 19.95, ""price"": 8.9, ""super_large_net"": 0.0, ""main_pct"": 0.0}"
688380,中微半导,20260817,81928000.0,"{""change_pct"": 16.81, ""price"": 47.05, ""super_large_net"": 0.0, ""main_pct"": 0.0}"
688206,概伦电子,20260817,181000000.0,"{""change_pct"": 16.38, ""price"": 41.57, ""super_large_net"": 0.0, ""main_pct"": 0.0}"
300862,蓝盾光电,20260817,120000000.0,"{""change_pct"": 15.82, ""price"": 54.77, ""super_large_net"": 0.0, ""main_pct"": 0.0}"
300943,春晖智控,20260817,61130500.0,"{""change_pct"": 15.8, ""price"": 33.2, ""super_large_net"": 0.0, ""main_pct"": 0.0}"
688035,德邦科技,20260817,11636300.000000002,"{""change_pct"": 14.4, ""price"": 75.15, ""super_large_net"": 0.0, ""main_pct"": 0.0}"
688733,壹石通,20260817,62811300.0,"{""change_pct"": 14.2, ""price"": 34.75, ""super_large_net"": 0.0, ""main_pct"": 0.0}"
688508,芯朋微,20260817,168000000.0,"{""change_pct"": 13.89, ""price"": 96.78, ""super_large_net"": 0.0, ""main_pct"": 0.0}"
300566,激智科技,20260817,204000000.0,"{""change_pct"": 13.72, ""price"": 31.5, ""super_large_net"": 0.0, ""main_pct"": 0.0}"
688361,中科飞测,20260817,683000000.0,"{""change_pct"": 13.68, ""price"": 368.7, ""super_large_net"": 0.0, ""main_pct"": 0.0}"
688313,仕佳光子,20260817,947000000.0000001,"{""change_pct"": 13.67, ""price"": 160.0, ""super_large_net"": 0.0, ""main_pct"": 0.0}"
688282,理工导航,20260817,51365900.0,"{""change_pct"": 13.57, ""price"": 64.69, ""super_large_net"": 0.0, ""main_pct"": 0.0}"
688766,普冉股份,20260817,290000000.0,"{""change_pct"": 13.38, ""price"": 466.0, ""super_large_net"": 0.0, ""main_pct"": 0.0}"
688655,迅捷兴,20260817,58602800.0,"{""change_pct"": 13.32, ""price"": 42.78, ""super_large_net"": 0.0, ""main_pct"": 0.0}"
300797,钢研纳克,20260817,19498100.0,"{""change_pct"": 12.62, ""price"": 14.37, ""super_large_net"": 0.0, ""main_pct"": 0.0}"
300672,国科微,20260817,58018000.0,"{""change_pct"": 12.57, ""price"": 196.0, ""super_large_net"": 0.0, ""main_pct"": 0.0}"
300548,长芯博创,20260817,339000000.0,"{""change_pct"": 12.5, ""price"": 219.0, ""super_large_net"": 0.0, ""main_pct"": 0.0}"
688210,统联精密,20260817,9776000.0,"{""change_pct"": 12.08, ""price"": 32.84, ""super_large_net"": 0.0, ""main_pct"": 0.0}"
688825,长鑫科技,20260817,5158000000.0,"{""change_pct"": 12.0, ""price"": 61.8, ""super_large_net"": 0.0, ""main_pct"": 0.0}"
301235,华康洁净,20260817,193000000.0,"{""change_pct"": 11.68, ""price"": 51.15, ""super_large_net"": 0.0, ""main_pct"": 0.0}"
300767,震安科技,20260817,18827700.0,"{""change_pct"": 11.61, ""price"": 21.06, ""super_large_net"": 0.0, ""main_pct"": 0.0}"
688648,中邮科技,20260817,23498000.0,"{""change_pct"": 11.56, ""price"": 36.18, ""super_large_net"": 0.0, ""main_pct"": 0.0}"
688618,三旺通信,20260817,21282000.0,"{""change_pct"": 11.47, ""price"": 32.08, ""super_large_net"": 0.0, ""main_pct"": 0.0}"
688001,华兴源创,20260817,91724800.0,"{""change_pct"": 11.29, ""price"": 56.08, ""super_large_net"": 0.0, ""main_pct"": 0.0}"
688061,灿瑞科技,20260817,5475400.0,"{""change_pct"": 11.27, ""price"": 40.97, ""super_large_net"": 0.0, ""main_pct"": 0.0}"
688679,通源环境,20260817,20196300.0,"{""change_pct"": 11.25, ""price"": 38.07, ""super_large_net"": 0.0, ""main_pct"": 0.0}"
300189,神农种业,20260817,301000000.0,"{""change_pct"": 11.13, ""price"": 5.19, ""super_large_net"": 0.0, ""main_pct"": 0.0}"
688485,九州一轨,20260817,86673100.0,"{""change_pct"": 11.12, ""price"": 80.12, ""super_large_net"": 0.0, ""main_pct"": 0.0}"
688793,倍轻松,20260817,2889000.0,"{""change_pct"": 11.12, ""price"": 20.89, ""super_large_net"": 0.0, ""main_pct"": 0.0}"
688610,埃科光电,20260817,40789200.0,"{""change_pct"": 11.08, ""price"": 176.4, ""super_large_net"": 0.0, ""main_pct"": 0.0}"
300508,维宏股份,20260817,17640300.0,"{""change_pct"": 11.0, ""price"": 51.28, ""super_large_net"": 0.0, ""main_pct"": 0.0}"
688820,盛合晶微,20260817,459000000.0,"{""change_pct"": 10.97, ""price"": 153.1, ""super_large_net"": 0.0, ""main_pct"": 0.0}"
688112,鼎阳科技,20260817,-4163700.0,"{""change_pct"": 10.8, ""price"": 58.19, ""super_large_net"": 0.0, ""main_pct"": 0.0}"
688097,博众精工,20260817,56006000.0,"{""change_pct"": 10.8, ""price"": 49.45, ""super_large_net"": 0.0, ""main_pct"": 0.0}"
301189,奥尼电子,20260817,21233300.0,"{""change_pct"": 10.7, ""price"": 55.13, ""super_large_net"": 0.0, ""main_pct"": 0.0}"
688353,华盛锂电,20260817,139000000.0,"{""change_pct"": 10.49, ""price"": 108.3, ""super_large_net"": 0.0, ""main_pct"": 0.0}"
301419,阿莱德,20260817,6458200.000000001,"{""change_pct"": 10.45, ""price"": 41.55, ""super_large_net"": 0.0, ""main_pct"": 0.0}"
300506,名家汇,20260817,102000000.0,"{""change_pct"": 10.37, ""price"": 5.64, ""super_large_net"": 0.0, ""main_pct"": 0.0}"
688279,峰岹科技,20260817,37562000.0,"{""change_pct"": 10.2, ""price"": 178.64, ""super_large_net"": 0.0, ""main_pct"": 0.0}"
300948,冠中生态,20260817,9689100.0,"{""change_pct"": 10.14, ""price"": 22.7, ""super_large_net"": 0.0, ""main_pct"": 0.0}"
300535,达威股份,20260817,-15598500.0,"{""change_pct"": 10.09, ""price"": 16.8, ""super_large_net"": 0.0, ""main_pct"": 0.0}"
002476,新叶股份,20260817,-16021099.999999998,"{""change_pct"": 10.09, ""price"": 5.02, ""super_large_net"": 0.0, ""main_pct"": 0.0}"
000670,盈方微,20260817,-37087500.0,"{""change_pct"": 10.07, ""price"": 7.54, ""super_large_net"": 0.0, ""main_pct"": 0.0}"
600491,ST龙元,20260817,21389200.0,"{""change_pct"": 10.07, ""price"": 1.64, ""super_large_net"": 0.0, ""main_pct"": 0.0}"
002742,冀衡医药,20260817,-25163100.0,"{""change_pct"": 10.07, ""price"": 4.7, ""super_large_net"": 0.0, ""main_pct"": 0.0}"
001356,富岭股份,20260817,3820000.0,"{""change_pct"": 10.06, ""price"": 9.52, ""super_large_net"": 0.0, ""main_pct"": 0.0}"
601700,风范股份,20260817,-198000000.0,"{""change_pct"": 10.06, ""price"": 7.22, ""super_large_net"": 0.0, ""main_pct"": 0.0}"
605162,新中港,20260817,31303500.0,"{""change_pct"": 10.05, ""price"": 9.53, ""super_large_net"": 0.0, ""main_pct"": 0.0}"
603916,苏博特,20260817,-77249700.0,"{""change_pct"": 10.05, ""price"": 12.16, ""super_large_net"": 0.0, ""main_pct"": 0.0}"
603703,盛洋科技,20260817,-49057100.0,"{""change_pct"": 10.05, ""price"": 10.73, ""super_large_net"": 0.0, ""main_pct"": 0.0}"
603089,正裕工业,20260817,-38524900.0,"{""change_pct"": 10.05, ""price"": 10.73, ""super_large_net"": 0.0, ""main_pct"": 0.0}"
600127,金健米业,20260817,-202999999.99999997,"{""change_pct"": 10.05, ""price"": 6.46, ""super_large_net"": 0.0, ""main_pct"": 0.0}"
000779,甘咨询,20260817,55631500.0,"{""change_pct"": 10.04, ""price"": 10.63, ""super_large_net"": 0.0, ""main_pct"": 0.0}"
603010,万盛股份,20260817,24322000.0,"{""change_pct"": 10.04, ""price"": 12.39, ""super_large_net"": 0.0, ""main_pct"": 0.0}"
600965,*ST福成,20260817,-4392600.0,"{""change_pct"": 10.04, ""price"": 2.85, ""super_large_net"": 0.0, ""main_pct"": 0.0}"
600860,京城股份,20260817,6182300.0,"{""change_pct"": 10.04, ""price"": 9.43, ""super_large_net"": 0.0, ""main_pct"": 0.0}"
002165,红宝丽,20260817,-88355100.0,"{""change_pct"": 10.03, ""price"": 7.13, ""super_large_net"": 0.0, ""main_pct"": 0.0}"
603958,哈森股份,20260817,-17763500.0,"{""change_pct"": 10.03, ""price"": 16.78, ""super_large_net"": 0.0, ""main_pct"": 0.0}"
002907,华森制药,20260817,-49462200.0,"{""change_pct"": 10.03, ""price"": 16.79, ""super_large_net"": 0.0, ""main_pct"": 0.0}"
002229,鸿博股份,20260817,-38834400.0,"{""change_pct"": 10.03, ""price"": 13.82, ""super_large_net"": 0.0, ""main_pct"": 0.0}"
002081,金螳螂,20260817,-476999999.99999994,"{""change_pct"": 10.02, ""price"": 5.82, ""super_large_net"": 0.0, ""main_pct"": 0.0}"
603657,春光科技,20260817,-20584200.0,"{""change_pct"": 10.02, ""price"": 29.21, ""super_large_net"": 0.0, ""main_pct"": 0.0}"
603330,天洋新材,20260817,-137000000.0,"{""change_pct"": 10.02, ""price"": 11.75, ""super_large_net"": 0.0, ""main_pct"": 0.0}"
603721,中广天择,20260817,24631800.0,"{""change_pct"": 10.02, ""price"": 19.88, ""super_large_net"": 0.0, ""main_pct"": 0.0}"
603118,共进股份,20260817,-1105000000.0,"{""change_pct"": 10.02, ""price"": 19.32, ""super_large_net"": 0.0, ""main_pct"": 0.0}"
603011,合锻智能,20260817,185000000.0,"{""change_pct"": 10.02, ""price"": 26.68, ""super_large_net"": 0.0, ""main_pct"": 0.0}"
002787,华源控股,20260817,50406600.0,"{""change_pct"": 10.02, ""price"": 23.6, ""super_large_net"": 0.0, ""main_pct"": 0.0}"
002581,*ST未名,20260817,11387800.0,"{""change_pct"": 10.02, ""price"": 4.83, ""super_large_net"": 0.0, ""main_pct"": 0.0}"
603395,红四方,20260817,-31258500.0,"{""change_pct"": 10.01, ""price"": 23.96, ""super_large_net"": 0.0, ""main_pct"": 0.0}"
001358,兴欣新材,20260817,-10687400.0,"{""change_pct"": 10.01, ""price"": 28.14, ""super_large_net"": 0.0, ""main_pct"": 0.0}"
603082,北自科技,20260817,-21525800.0,"{""change_pct"": 10.01, ""price"": 44.17, ""super_large_net"": 0.0, ""main_pct"": 0.0}"
603102,百合股份,20260817,-83600000.0,"{""change_pct"": 10.01, ""price"": 43.41, ""super_large_net"": 0.0, ""main_pct"": 0.0}"
