symbol_code,symbol_name,factor_date,factor_value,metadata_json
电子化学品,电子化学品,20260817,3847000000.0,"{""change_pct"": 5.09}"
半导体,半导体,20260817,32238000000.0,"{""change_pct"": 4.85}"
其他电子,其他电子,20260817,1046000000.0000001,"{""change_pct"": 3.94}"
元件,元件,20260817,3121000000.0,"{""change_pct"": 3.88}"
种植业与林业,种植业与林业,20260817,601000000.0,"{""change_pct"": 3.81}"
贵金属,贵金属,20260817,399000000.0,"{""change_pct"": 3.29}"
其他电源设备,其他电源设备,20260817,889000000.0,"{""change_pct"": 3.18}"
工业金属,工业金属,20260817,3120000000.0,"{""change_pct"": 3.09}"
通信设备,通信设备,20260817,2994000000.0,"{""change_pct"": 3.08}"
消费电子,消费电子,20260817,5392000000.0,"{""change_pct"": 2.85}"
小金属,小金属,20260817,2680000000.0,"{""change_pct"": 2.81}"
自动化设备,自动化设备,20260817,1614000000.0,"{""change_pct"": 2.72}"
塑料制品,塑料制品,20260817,978999999.9999999,"{""change_pct"": 2.71}"
光伏设备,光伏设备,20260817,1870000000.0,"{""change_pct"": 2.68}"
光学光电子,光学光电子,20260817,5010000000.0,"{""change_pct"": 2.66}"
化学制品,化学制品,20260817,534999999.99999994,"{""change_pct"": 2.62}"
橡胶制品,橡胶制品,20260817,277000000.0,"{""change_pct"": 2.6}"
通用设备,通用设备,20260817,2900000000.0,"{""change_pct"": 2.59}"
非金属材料,非金属材料,20260817,378000000.0,"{""change_pct"": 2.55}"
农化制品,农化制品,20260817,969000000.0,"{""change_pct"": 2.44}"
军工装备,军工装备,20260817,1478000000.0,"{""change_pct"": 2.39}"
电池,电池,20260817,3985000000.0,"{""change_pct"": 2.33}"
金属新材料,金属新材料,20260817,301000000.0,"{""change_pct"": 2.3}"
化学原料,化学原料,20260817,630000000.0,"{""change_pct"": 2.23}"
其他社会服务,其他社会服务,20260817,534000000.0,"{""change_pct"": 2.21}"
电网设备,电网设备,20260817,1630999999.9999998,"{""change_pct"": 2.19}"
白色家电,白色家电,20260817,66000000.0,"{""change_pct"": 1.94}"
军工电子,军工电子,20260817,685000000.0,"{""change_pct"": 1.94}"
农产品加工,农产品加工,20260817,239000000.0,"{""change_pct"": 1.93}"
石油加工贸易,石油加工贸易,20260817,105000000.0,"{""change_pct"": 1.87}"
家居用品,家居用品,20260817,163000000.0,"{""change_pct"": 1.87}"
服装家纺,服装家纺,20260817,214000000.0,"{""change_pct"": 1.84}"
港口航运,港口航运,20260817,1088000000.0,"{""change_pct"": 1.83}"
专用设备,专用设备,20260817,1359000000.0,"{""change_pct"": 1.79}"
汽车零部件,汽车零部件,20260817,1652000000.0,"{""change_pct"": 1.75}"
养殖业,养殖业,20260817,19000000.0,"{""change_pct"": 1.75}"
环境治理,环境治理,20260817,187000000.0,"{""change_pct"": 1.72}"
计算机设备,计算机设备,20260817,855000000.0000001,"{""change_pct"": 1.69}"
包装印刷,包装印刷,20260817,288000000.0,"{""change_pct"": 1.68}"
环保设备,环保设备,20260817,-340000000.0,"{""change_pct"": 1.64}"
工程机械,工程机械,20260817,-54000000.0,"{""change_pct"": 1.64}"
小家电,小家电,20260817,306000000.0,"{""change_pct"": 1.63}"
建筑装饰,建筑装饰,20260817,181000000.0,"{""change_pct"": 1.58}"
轨交设备,轨交设备,20260817,65000000.0,"{""change_pct"": 1.54}"
零售,零售,20260817,252999999.99999997,"{""change_pct"": 1.52}"
纺织制造,纺织制造,20260817,32000000.0,"{""change_pct"": 1.51}"
食品加工制造,食品加工制造,20260817,169000000.0,"{""change_pct"": 1.47}"
饮料制造,饮料制造,20260817,-2000000.0,"{""change_pct"": 1.41}"
建筑材料,建筑材料,20260817,4000000.0,"{""change_pct"": 1.38}"
汽车服务及其他,汽车服务及其他,20260817,195000000.0,"{""change_pct"": 1.38}"
物流,物流,20260817,108000000.0,"{""change_pct"": 1.36}"
钢铁,钢铁,20260817,85000000.0,"{""change_pct"": 1.35}"
综合,综合,20260817,342000000.0,"{""change_pct"": 1.34}"
