symbol_code,symbol_name,factor_date,factor_value,metadata_json
510050,50ETF,20260824,10102956.0,"{""rz_balance"": 1481600516.0, ""rz_buy"": 87114627.0, ""rz_repay"": 77011671.0, ""rq_balance"": 37710840.0}"
510100,SZ50ETF,20260824,-779405.0,"{""rz_balance"": 23073944.0, ""rz_buy"": 2406299.0, ""rz_repay"": 3185704.0, ""rq_balance"": 0.0}"
510150,消费ETF,20260824,246056.0,"{""rz_balance"": 27441313.0, ""rz_buy"": 1010525.0, ""rz_repay"": 764469.0, ""rq_balance"": 0.0}"
510170,商品ETF,20260824,1080602.0,"{""rz_balance"": 2528491.0, ""rz_buy"": 2583194.0, ""rz_repay"": 1502592.0, ""rq_balance"": 0.0}"
510180,180ETF,20260824,632167.0,"{""rz_balance"": 80539712.0, ""rz_buy"": 1978135.0, ""rz_repay"": 1345968.0, ""rq_balance"": 539600.0}"
510210,综指ETF,20260824,39115246.0,"{""rz_balance"": 235395185.0, ""rz_buy"": 111032248.0, ""rz_repay"": 71917002.0, ""rq_balance"": 0.0}"
510230,金融ETF,20260824,-2938480.0,"{""rz_balance"": 17155581.0, ""rz_buy"": 4012071.0, ""rz_repay"": 6950551.0, ""rq_balance"": 0.0}"
510300,300ETF,20260824,75576666.0,"{""rz_balance"": 2870973063.0, ""rz_buy"": 232002026.0, ""rz_repay"": 156425360.0, ""rq_balance"": 57313612.0}"
510310,HS300ETF,20260824,5497351.0,"{""rz_balance"": 273835751.0, ""rz_buy"": 17803933.0, ""rz_repay"": 12306582.0, ""rq_balance"": 2170500.0}"
510320,300中金,20260824,-71322.0,"{""rz_balance"": 1360206.0, ""rz_buy"": 137528.0, ""rz_repay"": 208850.0, ""rq_balance"": 0.0}"
510330,华夏300,20260824,2169681.0,"{""rz_balance"": 75042631.0, ""rz_buy"": 10941092.0, ""rz_repay"": 8771411.0, ""rq_balance"": 1595000.0}"
510350,工银300,20260824,1188946.0,"{""rz_balance"": 1879006.0, ""rz_buy"": 1361591.0, ""rz_repay"": 172645.0, ""rq_balance"": 0.0}"
510360,广发300,20260824,845015.0,"{""rz_balance"": 11103490.0, ""rz_buy"": 1631699.0, ""rz_repay"": 786684.0, ""rq_balance"": 0.0}"
510410,资源ETF,20260824,58584.0,"{""rz_balance"": 4541838.0, ""rz_buy"": 1517077.0, ""rz_repay"": 1458493.0, ""rq_balance"": 0.0}"
510500,500ETF,20260824,-29003384.0,"{""rz_balance"": 931749690.0, ""rz_buy"": 172041535.0, ""rz_repay"": 201044919.0, ""rq_balance"": 301779123.0}"
510510,广发500,20260824,1486473.0,"{""rz_balance"": 8786176.0, ""rz_buy"": 4165050.0, ""rz_repay"": 2678577.0, ""rq_balance"": 251200.0}"
